lastname,firstname,Ccode,Word Count,i1,i2,i3,i4a,i4b,i5ap,i5pr,i5re,i5op,i5th,i5pu,p1,p2,p3,p4,p5,name
Abacha,Sani,475,4238,0.7,0.45,0.238,0.3,0.6,0.5,0.05,0.3,0.15,0,0,0.440860215,0.207885305,0.168366285,0.17699115,0.970200658,Sani Abacha
Adams,John,2,12463,0.581395349,0.271317829,0.248458626,0.418604651,0.604651163,0.558139535,0.023255814,0.209302326,0.093023256,0.023255814,0.093023256,0.38974359,0.173504274,0.125727811,0.099307159,0.987514328,John Adams
Adams,JohnQuincy,2,34890,0.743589744,0.367521368,0.318343195,0.256410256,0.512820513,0.615384615,0.051282051,0.205128205,0.076923077,0,0.051282051,0.55505618,0.3082397,0.164684257,0.041980624,0.993086452,JohnQuincy Adams
al-Assad,Bashar,652,123997,0.404026846,0.175391499,0.181589298,0.595973154,0.585234899,0.495302013,0.036241611,0.170469799,0.165100671,0.010738255,0.122147651,0.237189322,0.099416999,0.09505234,0.186063936,0.982314188,Bashar al-Assad
al-Bashir,Omar,625,8919,0.393258427,0.134831461,0.235248075,0.606741573,0.494382022,0.550561798,0.02247191,0.123595506,0.168539326,0.011235955,0.123595506,0.256140351,0.114619883,0.086301016,0.237967914,0.979463127,Omar al-Bashir
Andropov,Yurii,365,5248,0.081081081,0.009009009,0.097151205,0.918918919,0.378378378,0.378378378,0.081081081,0.081081081,0.27027027,0.081081081,0.108108108,0.261538462,0.115384615,0.129325444,0.221556886,0.971347057,Yurii Andropov
Aquino,Corazon,840,21588,0.401960784,0.215686275,0.120472895,0.598039216,0.81372549,0.397058824,0.049019608,0.254901961,0.137254902,0.009803922,0.151960784,0.2890625,0.161458333,0.108395386,0.284916201,0.969116398,Corazon Aquino
Arroyo,Gloria,840,9097,0.493975904,0.24497992,0.103266076,0.506024096,0.674698795,0.409638554,0.120481928,0.21686747,0.060240964,0.072289157,0.120481928,0.182320442,0.033149171,0.101346113,0.314393939,0.968137396,Gloria Arroyo
Arthur,Chester,2,40145,0.801169591,0.333333333,0.487103724,0.198830409,0.432748538,0.736842105,0.005847953,0.157894737,0.035087719,0.005847953,0.058479532,0.452078032,0.193101498,0.163066989,0.126666667,0.979344848,Chester Arthur
Asquith,Herbert,200,952275,0.608997684,0.267394421,0.281118963,0.391002316,0.492557063,0.59642739,0.042176646,0.165894806,0.095104201,0.020013232,0.080383725,0.43438057,0.204229798,0.150693375,0.251937661,0.962034664,Herbert Asquith
Attlee,Clement,200,398558,0.600930233,0.269922481,0.292504402,0.399069767,0.468837209,0.602790698,0.034418605,0.163255814,0.118604651,0.009767442,0.071162791,0.40669358,0.20210965,0.127623786,0.218740462,0.972083514,Clement Attlee
Babangida ,Ibrahim,475,6431,0.489361702,0.205673759,0.187324581,0.510638298,0.553191489,0.510638298,0.085106383,0.14893617,0.127659574,0,0.127659574,0.27388535,0.101910828,0.103541726,0.230392157,0.976144798,Ibrahim Babangida 
