lastname,firstname,Ccode,Word Count,year,month,distrust,task,bace,igb,sc,cc,power,name
Adams,JohnQuincy,2,9211,1825,12,0.193333333,0.640186916,0.212765957,0.114285714,0.333333333,0.636585366,0.274509804,JohnQuincy Adams
Adams,JohnQuincy,2,8015,1826,12,0.07826087,0.678787879,0.152173913,0.13592233,0.444444444,0.677083333,0.266666667,JohnQuincy Adams
Adams,JohnQuincy,2,7228,1827,12,0.155555556,0.658064516,0.090909091,0.315789474,0.25,0.662379421,0.44,JohnQuincy Adams
Adams,JohnQuincy,2,7519,1828,12,0.152,0.657342657,0.166666667,0.070588235,0.142857143,0.643504532,0.3,JohnQuincy Adams
al-Assad,Bashar,652,7620,2000,7,0.23255814,0.687679083,0.394117647,0.276995305,0.237288136,0.585106383,0.375,Bashar al-Assad
al-Assad,Bashar,652,10449,2005,11,0.267657993,0.618025751,0.334355828,0.147826087,0.364864865,0.575039494,0.301538462,Bashar al-Assad
al-Assad,Bashar,652,4846,2006,1,0.25,0.673469388,0.32967033,0.2,0.294117647,0.585443038,0.27173913,Bashar al-Assad
al-Assad,Bashar,652,8228,2006,8,0.300925926,0.553672316,0.406451613,0.16091954,0.447368421,0.598165138,0.25,Bashar al-Assad
al-Assad,Bashar,652,10626,2010,5,0.197435897,0.522123894,0.347953216,0.120622568,0.388157895,0.632063075,0.224924012,Bashar al-Assad
al-Assad,Bashar,652,11706,2011,1,0.24137931,0.575630252,0.365853659,0.093103448,0.372781065,0.682672234,0.228323699,Bashar al-Assad
al-Assad,Bashar,652,5702,2011,12,0.397260274,0.433497537,0.424242424,0.062068966,0.286713287,0.570707071,0.219730942,Bashar al-Assad
al-Assad,Bashar,652,5520,2011,3,0.252252252,0.641350211,0.37254902,0.162921348,0.436619718,0.648793566,0.23,Bashar al-Assad
al-Assad,Bashar,652,6274,2011,4,0.201550388,0.745519713,0.352631579,0.070588235,0.52,0.595402299,0.273743017,Bashar al-Assad
al-Assad,Bashar,652,9694,2012,6,0.408376963,0.663573086,0.323651452,0.136752137,0.328767123,0.632798574,0.248979592,Bashar al-Assad
Andropov,Yurii,365,5248,1983,3,0.171270718,0.66509434,0.380434783,0.141843972,0.333333333,0.588859416,0.326086957,Yurii Andropov
Aquino,Corazon,840,4115,1988,7,0.1375,0.617647059,0.313559322,0.164383562,0.290322581,0.559782609,0.338983051,Corazon Aquino
Aquino,Corazon,840,6298,1990,7,0.2,0.673228346,0.334728033,0.186629526,0.212121212,0.574898785,0.348178138,Corazon Aquino
Aquino,Corazon,840,4062,1991,7,0.272727273,0.558139535,0.388888889,0.242424242,0.19047619,0.537777778,0.31496063,Corazon Aquino
Arroyo,Gloria,840,4994,2001,7,0.130434783,0.633333333,0.374100719,0.086614173,0.183333333,0.553333333,0.283687943,Gloria Arroyo
Arroyo,Gloria,840,4103,2002,7,0.424242424,0.58778626,0.4296875,0.206521739,0.219512195,0.51875,0.330708661,Gloria Arroyo
Arthur,Chester,2,13545,1881,12,0.205533597,0.712765957,0.166666667,0.138297872,0.302325581,0.663893511,0.238095238,Chester Arthur
Arthur,Chester,2,9919,1882,12,0.174129353,0.744939271,0.225806452,0.153846154,0.19,0.659448819,0.268817204,Chester Arthur
Arthur,Chester,2,7963,1883,12,0.185897436,0.713567839,0.166666667,0.05,0.264705882,0.649425287,0.263888889,Chester Arthur
Arthur,Chester,2,8718,1884,12,0.147928994,0.716049383,0.2,0.15,0.34375,0.660427807,0.281690141,Chester Arthur
