lastname,firstname,Ccode,Word Count,year,month,i1,i2,i3,i4a,i4b,i5ap,i5pr,i5re,i5op,i5th,i5pu,p1,p2,p3,p4,p5,name
Adams,JohnQuincy,2,7228,1827,12,0.75,0.25,0.7375,0.25,0,0.875,0,0,0.125,0,0,0.536842105,0.303508772,0.142116343,0.04040404,0.994257926,JohnQuincy Adams
Adams,JohnQuincy,2,7519,1828,12,0.818181818,0.484848485,0.226446281,0.181818182,0.909090909,0.454545455,0.090909091,0.363636364,0,0,0.090909091,0.527093596,0.320197044,0.144633454,0.051401869,0.99256557,JohnQuincy Adams
Adams,JohnQuincy,2,8015,1826,12,0.666666667,0.388888889,0.316666667,0.333333333,0.5,0.583333333,0,0.25,0.166666667,0,0,0.580838323,0.299401198,0.185829539,0.067039106,0.987542154,JohnQuincy Adams
Adams,JohnQuincy,2,9211,1825,12,1,0.466666667,0.616,0,0.4,0.8,0,0.2,0,0,0,0.561752988,0.294820717,0.199060332,0.01953125,0.996112103,JohnQuincy Adams
al-Assad,Bashar,652,4846,2006,1,0.368421053,0.245614035,0.15567867,0.631578947,0.526315789,0.421052632,0.052631579,0.210526316,0.263157895,0,0.052631579,-0.025974026,-0.095238095,0.07120931,0.10982659,0.992179324,Bashar al-Assad
al-Assad,Bashar,652,5520,2011,3,-0.024390244,-0.081300813,0.143367043,0.975609756,0.585365854,0.390243902,0,0.097560976,0.292682927,0.024390244,0.195121951,-0.124087591,-0.090024331,0.065650807,0.230337079,0.984878185,Bashar al-Assad
al-Assad,Bashar,652,5702,2011,12,0.714285714,0.428571429,0.283673469,0.285714286,0.714285714,0.535714286,0,0.321428571,0.107142857,0,0.035714286,-0.109243697,-0.207282913,0.164804745,0.19047619,0.96860862,Bashar al-Assad
al-Assad,Bashar,652,6274,2011,4,0.333333333,0.209876543,0.117695473,0.666666667,0.592592593,0.388888889,0.074074074,0.203703704,0.240740741,0,0.092592593,0.540372671,0.35610766,0.1246634,0.251162791,0.968689192,Bashar al-Assad
al-Assad,Bashar,652,7620,2000,7,0.4375,0.177083333,0.2171875,0.5625,0.59375,0.53125,0.015625,0.171875,0.140625,0.015625,0.125,0.549450549,0.34981685,0.143219418,0.260162602,0.962739664,Bashar al-Assad
al-Assad,Bashar,652,8228,2006,8,0.380952381,0.222222222,0.11292517,0.619047619,0.619047619,0.404761905,0.071428571,0.214285714,0.19047619,0.023809524,0.095238095,-0.04,-0.140740741,0.106038519,0.157303371,0.983319784,Bashar al-Assad
