,count,mean,std,min,25%,50%,75%,max
i1,23.0,0.5784115567391305,0.09964633199433585,0.267379679,0.5500380545,0.6009302329999999,0.6403517705,0.728591414
i2,23.0,0.2628779169999999,0.0734313087707794,0.058823529000000006,0.23882084050000002,0.265914689,0.2940747075,0.424332858
i3,23.0,0.2621443402173913,0.034429268467009416,0.16860648,0.24263936149999998,0.260205658,0.2829901725,0.342322705
i4a,23.0,0.4215884432608696,0.09964633199433585,0.271408586,0.35964822949999997,0.399069767,0.44996194549999996,0.732620321
i4b,23.0,0.524212740347826,0.07683310372658117,0.42395587100000004,0.48224267099999996,0.5093372039999999,0.538353418,0.74270144
i5ap,23.0,0.5724803513043478,0.034988082594631924,0.486631016,0.5596108185,0.5752290870000001,0.5963788325,0.643814027
i5pr,23.0,0.038537519826086955,0.00973972013408883,0.022016052,0.032273501499999996,0.037718904,0.044314203499999996,0.06579583900000001
i5re,23.0,0.17818790726086958,0.04840241502966339,0.101604278,0.15697648250000001,0.166617401,0.18882840549999996,0.316984559
i5op,23.0,0.11002154465217391,0.028742602281006925,0.074736765,0.0932607245,0.099564586,0.12280611899999999,0.181818182
i5th,23.0,0.016854214043478262,0.006267841025620794,0.006116208000000001,0.0126439905,0.01599064,0.0210985005,0.029411765
i5pu,23.0,0.08391846304347825,0.020164767428609617,0.054366160999999996,0.0778047445,0.081994928,0.09061718099999999,0.155080214
p1,23.0,0.388617856304348,0.0695966536667021,0.239282931,0.354595284,0.40669358,0.433017875,0.507374631
p2,23.0,0.18072135034782608,0.04385314783208931,0.083138478,0.1596702175,0.19102069800000002,0.21360885549999997,0.243362832
p3,23.0,0.133744898,0.020990872543523345,0.09960688599999999,0.11992692799999999,0.129206448,0.1455839675,0.174654635
p4,23.0,0.2537964843478261,0.04204604341798086,0.16755699300000002,0.2281578005,0.24946168,0.2792680825,0.336432687
p5,23.0,0.9658471898260867,0.00855233575310781,0.950392213,0.9592592235,0.9674100179999999,0.97228829,0.9799689840000001
