,count,mean,std,min,25%,50%,75%,max
i1,43.0,0.5958982154651163,0.10264742265910308,0.443037975,0.515712677,0.581395349,0.6646090535,0.801169591
i2,43.0,0.26183767967441857,0.05685085248529395,0.14871794900000002,0.22958316450000002,0.246710016,0.308403534,0.36752136799999996
i3,43.0,0.2798515990465116,0.10576127699829865,0.113425926,0.2050591185,0.268690083,0.3089801955,0.628143022
i4a,43.0,0.40410178453488377,0.10264742265910307,0.19883040899999999,0.3353909465,0.418604651,0.484287323,0.556962025
i4b,43.0,0.5747438459767443,0.11961357475255857,0.27450980399999997,0.511794059,0.559670782,0.630800287,0.893617021
i5ap,43.0,0.5776967082558141,0.08833863108127205,0.417721519,0.5254292955,0.577540107,0.6103526395,0.8235294120000001
i5pr,43.0,0.03337950918604651,0.02281490183676363,0.0,0.0160859065,0.03125,0.049064794499999995,0.125
i5re,43.0,0.18687289020930234,0.05061220429999694,0.039215686,0.157253668,0.175222278,0.2086851335,0.29787234
i5op,43.0,0.08503945890697676,0.02980103400579797,0.019607843,0.0678935105,0.092307692,0.1017041685,0.166666667
i5th,43.0,0.016512400651162787,0.012145486010409325,0.0,0.007744028,0.015384615,0.0252273825,0.055555556
i5pu,43.0,0.10049903267441863,0.029647831830582286,0.040441176,0.073778987,0.098039216,0.12029489400000001,0.161198288
p1,43.0,0.4000135595813953,0.07577230482168514,0.22912205600000002,0.3504972555,0.418181818,0.44991965,0.55505618
p2,43.0,0.1901165865116279,0.05097183734566564,0.057637402000000004,0.1632076255,0.200444022,0.2244525795,0.3082397
p3,43.0,0.1323037453255814,0.021002457196987644,0.10314940800000001,0.114130415,0.129867342,0.146939348,0.18841283399999997
p4,43.0,0.14861415332558137,0.08837872347611965,0.041980624,0.071145065,0.100184162,0.242676558,0.308611249
p5,43.0,0.9798777870232557,0.013406822338636265,0.94762003,0.9695811329999999,0.9862303,0.990380677,0.993962612
