,count,mean,std,min,25%,50%,75%,max
i1,561.0,0.531541446782531,0.18418498971711814,-0.23809523800000001,0.435897436,0.551561022,0.647058824,1.0
i2,561.0,0.235265072456328,0.11886839934896651,-0.317460317,0.181818182,0.242112986,0.295048494,0.548484848
i3,561.0,0.2494045755490195,0.10372521854044123,0.04,0.179515318,0.237734754,0.29354807899999996,0.73888
i4a,561.0,0.46646260271836026,0.17831003795505593,0.0,0.352941176,0.448438978,0.564102564,1.0
i4b,561.0,0.5639596799839574,0.15885912412665232,0.0,0.470588235,0.545454545,0.6575342470000001,1.0
i5ap,561.0,0.5420360619786093,0.10022243024460095,0.14285714300000002,0.47826087,0.545263158,0.599609375,0.88
i5pr,561.0,0.04251764528342248,0.032018347467642844,0.0,0.023809524,0.040816327,0.055555556,0.25
i5re,561.0,0.18121701615329752,0.06942191383597479,0.0,0.139784946,0.17191283300000001,0.21400778199999998,0.523809524
i5op,561.0,0.10734522263279846,0.054772833443775835,0.0,0.076923077,0.10204081599999999,0.132743363,0.37037037
i5th,561.0,0.023070201067736183,0.025452988277446766,0.0,0.00619195,0.017647059,0.030375699,0.184210526
i5pu,561.0,0.10381385293226386,0.06103484211936015,0.0,0.070175439,0.094623656,0.126654064,0.473684211
p1,561.0,0.3491778746060608,0.14046496916515833,-0.26829268300000003,0.27536231899999997,0.376558603,0.44547134899999996,0.725663717
p2,561.0,0.16038593649554356,0.10091722534692091,-0.292682927,0.113190731,0.177519578,0.226432532,0.486725664
p3,561.0,0.125830012912656,0.03071525049301433,0.055270655,0.10398601800000001,0.12404444099999999,0.144098765,0.26102600800000003
p4,561.0,0.20083948332442064,0.07976066708012186,0.023668638999999998,0.139817629,0.212598425,0.261528539,0.381818182
p5,561.0,0.9744644521532979,0.012870926713626973,0.9354112929999999,0.9658638509999999,0.97560483,0.984696206,0.996333528
