lastname,firstname,Ccode,Word Count,distrust,task,bace,igb,sc,cc,power,name
Abacha,Sani,475,4238,0.086021505,0.707006369,0.285714286,0.133333333,0.235294118,0.474654378,0.353658537,Sani Abacha
al-Assad,Bashar,652,123997,0.22172619,0.575184017,0.33863781,0.161032575,0.358846918,0.596857991,0.269666559,Bashar al-Assad
al-Bashir,Omar,625,8919,0.245967742,0.68627451,0.338461538,0.132352941,0.239130435,0.55078125,0.3,Omar al-Bashir
Andropov,Yurii,365,5248,0.171270718,0.66509434,0.380434783,0.141843972,0.333333333,0.588859416,0.326086957,Yurii Andropov
Aquino,Corazon,840,21588,0.192837466,0.634116193,0.337719298,0.182260024,0.230769231,0.553407935,0.336676218,Corazon Aquino
Arroyo,Gloria,840,9097,0.282722513,0.612099644,0.400749064,0.136986301,0.204225352,0.535483871,0.305970149,Gloria Arroyo
Babangida ,Ibrahim,475,6431,0.139705882,0.624454148,0.312,0.155080214,0.27027027,0.488023952,0.36,Ibrahim Babangida 
Barre ,Mohamed,520,7945,0.261603376,0.551246537,0.347058824,0.142241379,0.229166667,0.544757033,0.335227273,Mohamed Barre 
Bhutto,Zulfikar,770,26474,0.12936345,0.52685422,0.428395062,0.135472371,0.289473684,0.65258216,0.233799238,Zulfikar Bhutto
Bierut,Boleslaw,290,21426,0.348101266,0.888788427,0.362831858,0.119148936,0.333333333,0.550790068,0.308333333,Boleslaw Bierut
Brezhnev,Leonid ,365,31073,0.125944584,0.670305677,0.402730375,0.148558758,0.408602151,0.551742344,0.297979798,Leonid  Brezhnev
Castro,Fidel,40,3866012,0.28928459,0.683867619,0.375561786,0.131153974,0.449846427,0.598659089,0.243319553,Fidel Castro
Ceausescu,Nicolae,360,12286,0.082474227,0.549295775,0.369158879,0.157894737,0.4375,0.504599212,0.342857143,Nicolae Ceausescu
Chavez,Hugo,101,38670,0.249291785,0.45203252,0.374010554,0.127853881,0.330794342,0.566299665,0.206730769,Hugo Chavez
Ciller,Tansu,640,6697,0.147058824,0.56,0.35483871,0.201612903,0.303370787,0.606860158,0.365145228,Tansu Ciller
Desai ,Morarji,750,38852,0.174193548,0.681245367,0.370629371,0.12,0.426853707,0.602062589,0.284243048,Morarji Desai 
Estrada,Joseph,840,17422,0.211267606,0.586750789,0.333333333,0.118546845,0.172566372,0.606981982,0.283702213,Joseph Estrada
Faure,Edgard,220,4389,0.181818182,0.641860465,0.464285714,0.089552239,0.457142857,0.668831169,0.291139241,Edgard Faure
Ferdinand ,Francisco,230,6454,0.352112676,0.620512821,0.30075188,0.214592275,0.333333333,0.51744186,0.338235294,Francisco Ferdinand 
Franco,Francisco,230,4145,0.392405063,0.45112782,0.428571429,0.254901961,0.1875,0.553571429,0.307692308,Francisco Franco
Gaddafi,Muammar,620,20183,0.188319428,0.532724505,0.406196213,0.09947644,0.297297297,0.61615245,0.280858676,Muammar Gaddafi
Gandhi,Indira ,750,48850,0.202247191,0.647286822,0.375664894,0.146776406,0.339506173,0.621203271,0.27425876,Indira  Gandhi
Gandhi,Rajiv,750,51222,0.150717703,0.672681704,0.355458036,0.131363636,0.427561837,0.546780844,0.298167685,Rajiv Gandhi
Gierek,Edward,290,5697,0.119834711,0.592920354,0.430656934,0.182795699,0.181818182,0.54109589,0.364963504,Edward Gierek
Gomulka,Wladyslaw,290,5153,0.094972067,0.76371308,0.358974359,0.108333333,0.2,0.5875,0.328947368,Wladyslaw Gomulka
Gorbachev,Mikhail,365,21043,0.1456,0.703534778,0.428865979,0.1104,0.37398374,0.585130112,0.264705882,Mikhail Gorbachev
Guevara,Che,160,61710,0.233021077,0.644868735,0.369911504,0.106803797,0.355102041,0.595213587,0.25795053,Che Guevara
Guofeng,Hua,710,5446,0.136792453,0.791836735,0.37704918,0.217741935,0,0.417910448,0.327868852,Hua Guofeng
Gustav,Husak,315,50956,0.138720539,0.768450933,0.315412186,0.139906103,0.178571429,0.4856387,0.338568935,Husak Gustav
