lastname,firstname,Ccode,Word Count,i1,i2,i3,i4a,i4b,i5ap,i5pr,i5re,i5op,i5th,i5pu,p1,p2,p3,p4,p5,name
Abacha,Sani,475,4238,0.7,0.45,0.238,0.3,0.6,0.5,0.05,0.3,0.15,0,0,0.440860215,0.207885305,0.168366285,0.17699115,0.970200658,Sani Abacha
al-Assad,Bashar,652,123997,0.404026846,0.175391499,0.181589298,0.595973154,0.585234899,0.495302013,0.036241611,0.170469799,0.165100671,0.010738255,0.122147651,0.237189322,0.099416999,0.09505234,0.186063936,0.982314188,Bashar al-Assad
al-Bashir,Omar,625,8919,0.393258427,0.134831461,0.235248075,0.606741573,0.494382022,0.550561798,0.02247191,0.123595506,0.168539326,0.011235955,0.123595506,0.256140351,0.114619883,0.086301016,0.237967914,0.979463127,Omar al-Bashir
Andropov,Yurii,365,5248,0.081081081,0.009009009,0.097151205,0.918918919,0.378378378,0.378378378,0.081081081,0.081081081,0.27027027,0.081081081,0.108108108,0.261538462,0.115384615,0.129325444,0.221556886,0.971347057,Yurii Andropov
Aquino,Corazon,840,21588,0.401960784,0.215686275,0.120472895,0.598039216,0.81372549,0.397058824,0.049019608,0.254901961,0.137254902,0.009803922,0.151960784,0.2890625,0.161458333,0.108395386,0.284916201,0.969116398,Corazon Aquino
Arroyo,Gloria,840,9097,0.493975904,0.24497992,0.103266076,0.506024096,0.674698795,0.409638554,0.120481928,0.21686747,0.060240964,0.072289157,0.120481928,0.182320442,0.033149171,0.101346113,0.314393939,0.968137396,Gloria Arroyo
Babangida ,Ibrahim,475,6431,0.489361702,0.205673759,0.187324581,0.510638298,0.553191489,0.510638298,0.085106383,0.14893617,0.127659574,0,0.127659574,0.27388535,0.101910828,0.103541726,0.230392157,0.976144798,Ibrahim Babangida 
Barre ,Mohamed,520,7945,0.276595745,0.092198582,0.171027614,0.723404255,0.510638298,0.489361702,0,0.14893617,0.170212766,0.085106383,0.106382979,0.309090909,0.162121212,0.101041322,0.176029963,0.9822137,Mohamed Barre 
Bhutto,Zulfikar,770,26474,0.416666667,0.185763889,0.190755208,0.583333333,0.46875,0.515625,0.03125,0.161458333,0.151041667,0.067708333,0.072916667,0.154696133,0.020257827,0.123099112,0.209606987,0.974197566,Zulfikar Bhutto
Bierut,Boleslaw,290,21426,0.428571429,0.444444444,0.210884354,0.571428571,0.761904762,0.142857143,0.047619048,0.523809524,0.19047619,0,0.095238095,0.425605536,0.281430219,0.087309778,0.067741935,0.994085467,Boleslaw Bierut
Brezhnev,Leonid ,365,31073,0.509202454,0.255623722,0.198223494,0.490797546,0.527607362,0.515337423,0.049079755,0.190184049,0.147239264,0.024539877,0.073619632,0.377005348,0.18627451,0.121795018,0.178924259,0.978207917,Leonid  Brezhnev
Castro,Fidel,40,3866012,0.408327174,0.190194629,0.135664217,0.591672826,0.611185021,0.454446908,0.060064055,0.189652624,0.13466371,0.045232816,0.115939887,0.233841248,0.098594524,0.088445765,0.176484399,0.984390702,Fidel Castro
Ceausescu,Nicolae,360,12286,0.45,0.133333333,0.28075,0.55,0.25,0.6,0.0875,0.0375,0.15,0.0375,0.0875,0.379562044,0.218978102,0.093846236,0.225988701,0.978791811,Nicolae Ceausescu
Chavez,Hugo,101,38670,0.43620178,0.179030663,0.181262492,0.56379822,0.599406528,0.504451039,0.038575668,0.175074184,0.118694362,0.038575668,0.12462908,0.185877466,-0.000692281,0.135362946,0.259230769,0.964909759,Hugo Chavez
Ciller,Tansu,640,6697,0.545454545,0.333333333,0.18953168,0.454545455,0.848484848,0.439393939,0,0.333333333,0.106060606,0.03030303,0.090909091,0.159763314,0.102564103,0.087090788,0.280851064,0.97554046,Tansu Ciller
Desai ,Morarji,750,38852,0.614973262,0.295900178,0.273802511,0.385026738,0.513368984,0.582887701,0.032085561,0.192513369,0.112299465,0.016042781,0.064171123,0.524861878,0.30985267,0.137388969,0.205268935,0.971798313,Morarji Desai 
Estrada,Joseph,840,17422,0.458646617,0.248120301,0.112533213,0.541353383,0.616541353,0.421052632,0.097744361,0.210526316,0.135338346,0.037593985,0.097744361,0.319910515,0.125279642,0.113469363,0.229310345,0.973980301,Joseph Estrada
Faure,Edgard,220,4389,0.75,0.375,0.353125,0.25,0.625,0.625,0,0.25,0.0625,0,0.0625,0.12195122,0.048780488,0.096569502,0.115107914,0.988884086,Edgard Faure
Ferdinand ,Francisco,230,6454,0.0625,-0.010416667,0.05078125,0.9375,0.625,0.3125,0.09375,0.125,0.21875,0.0625,0.1875,0.172839506,0.014403292,0.06785551,0.164948454,0.988807339,Francisco Ferdinand 
Franco,Francisco,230,4145,0,-0.083333333,0.058333333,1,0.416666667,0.333333333,0.125,0.041666667,0.208333333,0.125,0.166666667,0.316239316,0.145299145,0.073416612,0.170212766,0.987503555,Francisco Franco
Gaddafi,Muammar,620,20183,0.150837989,0.076350093,0.123622858,0.849162011,0.491620112,0.396648045,0.033519553,0.145251397,0.279329609,0.044692737,0.100558659,-0.027692308,-0.12,0.097554556,0.215922799,0.978935747,Muammar Gaddafi
Gandhi,Indira ,750,48850,0.35347432,0.140986908,0.176502588,0.64652568,0.586102719,0.486404834,0.033232628,0.157099698,0.181268882,0.006042296,0.135951662,0.196794301,0.100920154,0.082256613,0.227647868,0.981274457,Indira  Gandhi
Gandhi,Rajiv,750,51222,0.463636364,0.226515152,0.17957438,0.536363636,0.563636364,0.493181818,0.056818182,0.181818182,0.163636364,0.004545455,0.1,0.34063745,0.187583001,0.08833828,0.304709141,0.973082518,Rajiv Gandhi
Gierek,Edward,290,5697,0.587301587,0.26984127,0.271352986,0.412698413,0.444444444,0.587301587,0.047619048,0.158730159,0.126984127,0.015873016,0.063492063,0.529411765,0.31372549,0.152018454,0.381818182,0.94195659,Edward Gierek
Gomulka,Wladyslaw,290,5153,0.5,0.260416667,0.109375,0.5,0.875,0.375,0.09375,0.28125,0.03125,0.0625,0.15625,0.484536082,0.29209622,0.121521947,0.248062016,0.969855021,Wladyslaw Gomulka
Gorbachev,Mikhail,365,21043,0.718518519,0.291358025,0.411884774,0.281481481,0.355555556,0.696296296,0.044444444,0.118518519,0.074074074,0.007407407,0.059259259,0.36643026,0.17178881,0.130975974,0.241935484,0.968312264,Mikhail Gorbachev
Guevara,Che,160,61710,0.342019544,0.136807818,0.146838693,0.657980456,0.586319218,0.462540717,0.052117264,0.156351792,0.169381107,0.022801303,0.136807818,0.08183401,-0.032501451,0.08382045,0.151231527,0.987323705,Che Guevara
Guofeng,Hua,710,5446,-0.130434783,0,0.119848771,0.869565217,0.782608696,0.086956522,0,0.347826087,0.260869565,0.043478261,0.260869565,0.028169014,0.021126761,0.086966872,0.139393939,0.987877345,Hua Guofeng
Gustav,Husak,315,50956,0.573604061,0.340101523,0.194516736,0.426395939,0.639593909,0.482233503,0.040609137,0.263959391,0.147208122,0.010152284,0.055837563,0.347234814,0.205500151,0.092285525,0.151538462,0.986015194,Husak Gustav
Habyrimana,Juvenal,517,11579,0.684210526,0.266666667,0.385440443,0.315789474,0.484210526,0.673684211,0.021052632,0.147368421,0.052631579,0.010526316,0.094736842,0.349056604,0.141509434,0.124336953,0.183044316,0.977240828,Juvenal Habyrimana
Honeker ,Erich,265,22474,0.791304348,0.402898551,0.30894518,0.208695652,0.469565217,0.608695652,0.086956522,0.2,0.069565217,0,0.034782609,0.408759124,0.217153285,0.110365496,0.173453997,0.980856664,Erich Honeker 
Houphouet-Boigny,Felix,437,8427,0.36,0.1,0.20248,0.64,0.5,0.53,0.04,0.11,0.14,0.04,0.14,0.330357143,0.145833333,0.101674107,0.308641975,0.968619103,Felix Houphouet-Boigny
Husak,Gustav,315,15333,0.728571429,0.330952381,0.418367347,0.271428571,0.357142857,0.692857143,0.021428571,0.15,0.107142857,0,0.028571429,0.347721823,0.179056755,0.109114435,0.251346499,0.972574469,Gustav Husak
Hussein,Saddam,645,82880,0.166666667,0.017006803,0.103803971,0.833333333,0.602040816,0.413265306,0.039115646,0.130952381,0.170068027,0.076530612,0.170068027,0.139513951,-0.010351035,0.086309801,0.209252669,0.981939444,Saddam Hussein
Izetbegovic,Aliija,346,11660,0.483870968,0.168458781,0.280194242,0.516129032,0.516129032,0.591397849,0.021505376,0.129032258,0.129032258,0,0.129032258,0.166666667,0.004273504,0.100493097,0.22962963,0.976923807,Aliija Izetbegovic
Jaruzelski,Wojciech,290,18276,0.438202247,0.161048689,0.185557379,0.561797753,0.719101124,0.494382022,0.04494382,0.179775281,0.101123596,0,0.179775281,0.279642058,0.093214019,0.111331321,0.166044776,0.981514016,Wojciech Jaruzelski
Jayewardene ,Junius ,780,20313,0.642857143,0.35515873,0.159608844,0.357142857,0.630952381,0.464285714,0.119047619,0.238095238,0.083333333,0.017857143,0.077380952,0.330693069,0.172277228,0.10526419,0.249628529,0.973723055,Junius  Jayewardene 
Kadar,Janos ,310,4929,0.59375,0.239583333,0.408789062,0.40625,0.25,0.6875,0.015625,0.09375,0.15625,0.015625,0.03125,0.361344538,0.168067227,0.107181696,0.349726776,0.962515691,Janos  Kadar
