lastname,firstname,Ccode,Word Count,year,month,distrust,task,bace,igb,sc,cc,power,name
al-Assad,Bashar,652,7620,2000,7,0.23255814,0.687679083,0.394117647,0.276995305,0.237288136,0.585106383,0.375,Bashar al-Assad
al-Assad,Bashar,652,10449,2005,11,0.267657993,0.618025751,0.334355828,0.147826087,0.364864865,0.575039494,0.301538462,Bashar al-Assad
al-Assad,Bashar,652,4846,2006,1,0.25,0.673469388,0.32967033,0.2,0.294117647,0.585443038,0.27173913,Bashar al-Assad
al-Assad,Bashar,652,8228,2006,8,0.300925926,0.553672316,0.406451613,0.16091954,0.447368421,0.598165138,0.25,Bashar al-Assad
al-Assad,Bashar,652,10626,2010,5,0.197435897,0.522123894,0.347953216,0.120622568,0.388157895,0.632063075,0.224924012,Bashar al-Assad
al-Assad,Bashar,652,11706,2011,1,0.24137931,0.575630252,0.365853659,0.093103448,0.372781065,0.682672234,0.228323699,Bashar al-Assad
al-Assad,Bashar,652,5702,2011,12,0.397260274,0.433497537,0.424242424,0.062068966,0.286713287,0.570707071,0.219730942,Bashar al-Assad
al-Assad,Bashar,652,5520,2011,3,0.252252252,0.641350211,0.37254902,0.162921348,0.436619718,0.648793566,0.23,Bashar al-Assad
al-Assad,Bashar,652,6274,2011,4,0.201550388,0.745519713,0.352631579,0.070588235,0.52,0.595402299,0.273743017,Bashar al-Assad
al-Assad,Bashar,652,9694,2012,6,0.408376963,0.663573086,0.323651452,0.136752137,0.328767123,0.632798574,0.248979592,Bashar al-Assad
Andropov,Yurii,365,5248,1983,3,0.171270718,0.66509434,0.380434783,0.141843972,0.333333333,0.588859416,0.326086957,Yurii Andropov
Aquino,Corazon,840,4115,1988,7,0.1375,0.617647059,0.313559322,0.164383562,0.290322581,0.559782609,0.338983051,Corazon Aquino
Aquino,Corazon,840,6298,1990,7,0.2,0.673228346,0.334728033,0.186629526,0.212121212,0.574898785,0.348178138,Corazon Aquino
Aquino,Corazon,840,4062,1991,7,0.272727273,0.558139535,0.388888889,0.242424242,0.19047619,0.537777778,0.31496063,Corazon Aquino
Arroyo,Gloria,840,4994,2001,7,0.130434783,0.633333333,0.374100719,0.086614173,0.183333333,0.553333333,0.283687943,Gloria Arroyo
Arroyo,Gloria,840,4103,2002,7,0.424242424,0.58778626,0.4296875,0.206521739,0.219512195,0.51875,0.330708661,Gloria Arroyo
Bhutto,Zulfikar,770,5229,1970,1,0.065217391,0.478527607,0.505494505,0.178571429,0.153846154,0.671755725,0.296703297,Zulfikar Bhutto
Bhutto,Zulfikar,770,4647,1971,12,0.182539683,0.49068323,0.47133758,0.133333333,0.333333333,0.718367347,0.220779221,Zulfikar Bhutto
Bhutto,Zulfikar,770,4508,1971,2,0.068965517,0.5,0.436170213,0.078947368,0.226415094,0.582608696,0.170454545,Zulfikar Bhutto
Bhutto,Zulfikar,770,6874,1973,1,0.088235294,0.574358974,0.387559809,0.147887324,0.466019417,0.666026871,0.231527094,Zulfikar Bhutto
Bierut,Boleslaw,290,21426,1950,7,0.348101266,0.888788427,0.362831858,0.119148936,0.333333333,0.550790068,0.308333333,Boleslaw Bierut
Brezhnev,Leonid ,365,4981,1970,8,0.111702128,0.658767773,0.373493976,0.135338346,0.363636364,0.557553957,0.337209302,Leonid  Brezhnev
Brezhnev,Leonid ,365,7142,1972,1,0.069400631,0.673352436,0.433070866,0.150753769,0.4,0.569444444,0.296875,Leonid  Brezhnev
Brezhnev,Leonid ,365,9610,1974,4,0.133333333,0.695852535,0.389162562,0.144827586,0.571428571,0.573502722,0.259803922,Leonid  Brezhnev
Brezhnev,Leonid ,365,5793,1976,11,0.198237885,0.583333333,0.414414414,0.126436782,0.258064516,0.511392405,0.3125,Leonid  Brezhnev
Castro,Fidel,40,33520,1959,1,0.341375151,0.454635108,0.423597679,0.17989418,0.358558559,0.532874946,0.285996055,Fidel Castro
Castro,Fidel,40,5950,1959,2,0.308823529,0.685393258,0.439613527,0.097560976,0.416666667,0.632352941,0.209183673,Fidel Castro
Castro,Fidel,40,14950,1960,2,0.424242424,0.744680851,0.463104326,0.084130019,0.166666667,0.592764378,0.260273973,Fidel Castro
Castro,Fidel,40,16584,1961,1,0.58190709,0.507352941,0.395209581,0.145695364,0.166666667,0.543280182,0.326347305,Fidel Castro
Castro,Fidel,40,28832,1961,3,0.627043091,0.538024972,0.4,0.121165644,0.35,0.545977011,0.29707113,Fidel Castro
Castro,Fidel,40,8544,1961,4,0.498113208,0.625,0.3625,0.057971014,0.3,0.533589251,0.266233766,Fidel Castro
