lastname,firstname,Ccode,Word Count,year,quarter,distrust,task,bace,igb,sc,cc,power,name
al-Assad,Bashar,652,7620,2000,3,0.23255814,0.687679083,0.394117647,0.276995305,0.237288136,0.585106383,0.375,Bashar al-Assad
al-Assad,Bashar,652,10449,2005,4,0.267657993,0.618025751,0.334355828,0.147826087,0.364864865,0.575039494,0.301538462,Bashar al-Assad
al-Assad,Bashar,652,4846,2006,1,0.25,0.673469388,0.32967033,0.2,0.294117647,0.585443038,0.27173913,Bashar al-Assad
al-Assad,Bashar,652,8228,2006,3,0.300925926,0.553672316,0.406451613,0.16091954,0.447368421,0.598165138,0.25,Bashar al-Assad
al-Assad,Bashar,652,4213,2009,1,0.491071429,0.543859649,0.276923077,0.106060606,1,0.578947368,0.363636364,Bashar al-Assad
al-Assad,Bashar,652,4314,2009,2,0.086092715,0.504098361,0.232876712,0.168421053,0.5,0.57254902,0.295774648,Bashar al-Assad
al-Assad,Bashar,652,14177,2010,2,0.185114504,0.508965517,0.365853659,0.132275132,0.376404494,0.622291022,0.240740741,Bashar al-Assad
al-Assad,Bashar,652,4638,2010,4,0.119047619,0.583333333,0.227272727,0.155737705,0.307692308,0.624087591,0.27184466,Bashar al-Assad
al-Assad,Bashar,652,17226,2011,1,0.24522293,0.597475456,0.368237347,0.11965812,0.391666667,0.673178062,0.228937729,Bashar al-Assad
al-Assad,Bashar,652,6274,2011,2,0.201550388,0.745519713,0.352631579,0.070588235,0.52,0.595402299,0.273743017,Bashar al-Assad
al-Assad,Bashar,652,5702,2011,4,0.397260274,0.433497537,0.424242424,0.062068966,0.286713287,0.570707071,0.219730942,Bashar al-Assad
al-Assad,Bashar,652,9694,2012,2,0.408376963,0.663573086,0.323651452,0.136752137,0.328767123,0.632798574,0.248979592,Bashar al-Assad
Andropov,Yurii,365,5248,1983,1,0.171270718,0.66509434,0.380434783,0.141843972,0.333333333,0.588859416,0.326086957,Yurii Andropov
Aquino,Corazon,840,4115,1988,3,0.1375,0.617647059,0.313559322,0.164383562,0.290322581,0.559782609,0.338983051,Corazon Aquino
Aquino,Corazon,840,6298,1990,3,0.2,0.673228346,0.334728033,0.186629526,0.212121212,0.574898785,0.348178138,Corazon Aquino
Aquino,Corazon,840,4062,1991,3,0.272727273,0.558139535,0.388888889,0.242424242,0.19047619,0.537777778,0.31496063,Corazon Aquino
Arroyo,Gloria,840,4994,2001,3,0.130434783,0.633333333,0.374100719,0.086614173,0.183333333,0.553333333,0.283687943,Gloria Arroyo
Arroyo,Gloria,840,4103,2002,3,0.424242424,0.58778626,0.4296875,0.206521739,0.219512195,0.51875,0.330708661,Gloria Arroyo
Bhutto,Zulfikar,770,5229,1970,1,0.065217391,0.478527607,0.505494505,0.178571429,0.153846154,0.671755725,0.296703297,Zulfikar Bhutto
Bhutto,Zulfikar,770,4508,1971,1,0.068965517,0.5,0.436170213,0.078947368,0.226415094,0.582608696,0.170454545,Zulfikar Bhutto
Bhutto,Zulfikar,770,4647,1971,4,0.182539683,0.49068323,0.47133758,0.133333333,0.333333333,0.718367347,0.220779221,Zulfikar Bhutto
Bhutto,Zulfikar,770,7420,1973,1,0.094339623,0.565217391,0.382075472,0.144827586,0.462264151,0.657992565,0.22815534,Zulfikar Bhutto
Bierut,Boleslaw,290,21426,1950,3,0.348101266,0.888788427,0.362831858,0.119148936,0.333333333,0.550790068,0.308333333,Boleslaw Bierut
Brezhnev,Leonid ,365,4981,1970,3,0.111702128,0.658767773,0.373493976,0.135338346,0.363636364,0.557553957,0.337209302,Leonid  Brezhnev
Brezhnev,Leonid ,365,7142,1972,1,0.069400631,0.673352436,0.433070866,0.150753769,0.4,0.569444444,0.296875,Leonid  Brezhnev
Brezhnev,Leonid ,365,9610,1974,2,0.133333333,0.695852535,0.389162562,0.144827586,0.571428571,0.573502722,0.259803922,Leonid  Brezhnev
Brezhnev,Leonid ,365,5793,1976,4,0.198237885,0.583333333,0.414414414,0.126436782,0.258064516,0.511392405,0.3125,Leonid  Brezhnev
Castro,Fidel,40,39470,1959,1,0.338907469,0.48909396,0.426269138,0.165217391,0.36523126,0.547714808,0.273553719,Fidel Castro
Castro,Fidel,40,14950,1960,1,0.424242424,0.744680851,0.463104326,0.084130019,0.166666667,0.592764378,0.260273973,Fidel Castro
Castro,Fidel,40,49400,1961,1,0.605012965,0.542767296,0.404395604,0.134328358,0.333333333,0.543609826,0.305396096,Fidel Castro
Castro,Fidel,40,45585,1961,2,0.461330935,0.557086614,0.331515812,0.148661127,0.434782609,0.538865546,0.260044643,Fidel Castro
Castro,Fidel,40,20107,1961,3,0.567010309,0.631793478,0.337931034,0.116550117,0.413793103,0.497764531,0.304964539,Fidel Castro
Castro,Fidel,40,11195,1962,2,0.513605442,0.763934426,0.333333333,0.136563877,0.380952381,0.533248082,0.289772727,Fidel Castro
Castro,Fidel,40,47427,1962,3,0.501538462,0.64737153,0.380866426,0.148044693,0.457894737,0.51121372,0.291360294,Fidel Castro
Castro,Fidel,40,20119,1962,4,0.426850258,0.579354839,0.396396396,0.179104478,0.5625,0.560106857,0.319148936,Fidel Castro
Castro,Fidel,40,26156,1963,1,0.485159817,0.657425743,0.379254457,0.112881806,0.435897436,0.560099133,0.317957166,Fidel Castro
Castro,Fidel,40,10017,1964,1,0.388535032,0.756440281,0.402097902,0.056603774,0.673913043,0.515272244,0.208029197,Fidel Castro
Castro,Fidel,40,40349,1965,1,0.4374034,0.726379441,0.412861137,0.116734694,0.535294118,0.581525312,0.254285714,Fidel Castro
Castro,Fidel,40,75820,1965,2,0.445995146,0.636622006,0.363099146,0.121052632,0.395121951,0.605248254,0.272303595,Fidel Castro
Castro,Fidel,40,33196,1965,3,0.390909091,0.684651163,0.363858364,0.122345804,0.515625,0.609263158,0.278271919,Fidel Castro
Castro,Fidel,40,38931,1965,4,0.278074866,0.693764799,0.412197687,0.127884615,0.460251046,0.598063822,0.267100977,Fidel Castro
Castro,Fidel,40,61731,1966,1,0.389159562,0.59248269,0.369606004,0.112727273,0.466666667,0.590758233,0.260827719,Fidel Castro
Castro,Fidel,40,37270,1966,2,0.478632479,0.679261863,0.38368984,0.131782946,0.425,0.622317597,0.244841816,Fidel Castro
Castro,Fidel,40,76291,1966,3,0.404548587,0.700774562,0.366294524,0.109916952,0.386634845,0.564800613,0.257252326,Fidel Castro
Castro,Fidel,40,30978,1966,4,0.35440613,0.76754386,0.424012158,0.112531969,0.386554622,0.606162735,0.275808937,Fidel Castro
Castro,Fidel,40,55915,1967,1,0.289535799,0.710649351,0.381209503,0.120138289,0.316901408,0.590771099,0.251959686,Fidel Castro
Castro,Fidel,40,47600,1967,2,0.399709302,0.68172043,0.403846154,0.092850511,0.35021097,0.602001291,0.206214689,Fidel Castro
Castro,Fidel,40,54006,1967,3,0.411809235,0.686733556,0.363148479,0.117558402,0.390410959,0.560578187,0.257195915,Fidel Castro
Castro,Fidel,40,10537,1967,4,0.223529412,0.785714286,0.451923077,0.117870722,0.40625,0.541125541,0.302564103,Fidel Castro
Castro,Fidel,40,60326,1968,1,0.330754352,0.690274841,0.343283582,0.11269722,0.435294118,0.590028355,0.224708171,Fidel Castro
Castro,Fidel,40,38859,1968,2,0.41314554,0.76244898,0.398360656,0.122009569,0.444444444,0.603861004,0.252491694,Fidel Castro
Castro,Fidel,40,53053,1968,3,0.377192982,0.703589109,0.379835873,0.09455843,0.486238532,0.567734352,0.212484994,Fidel Castro
Castro,Fidel,40,38333,1968,4,0.375389408,0.740444444,0.356282272,0.132176235,0.486111111,0.574762947,0.192920354,Fidel Castro
Castro,Fidel,40,35087,1969,1,0.206650831,0.802876481,0.368209256,0.113989637,0.434782609,0.567579505,0.22410148,Fidel Castro
Castro,Fidel,40,32749,1969,2,0.302469136,0.702048417,0.342105263,0.106821107,0.541666667,0.597469541,0.211567732,Fidel Castro
Castro,Fidel,40,11427,1969,3,0.514705882,0.756892231,0.45045045,0.057507987,0.571428571,0.553108808,0.216981132,Fidel Castro
Castro,Fidel,40,32455,1969,4,0.357320099,0.793137255,0.380062305,0.120049505,0.360465116,0.574780059,0.205211726,Fidel Castro
Castro,Fidel,40,13777,1971,1,0.340163934,0.787610619,0.39408867,0.161616162,0.25,0.582251082,0.328125,Fidel Castro
Castro,Fidel,40,80736,1971,2,0.351689612,0.769066287,0.367396594,0.111587983,0.5,0.580214894,0.258146965,Fidel Castro
Castro,Fidel,40,61228,1971,3,0.333333333,0.714412811,0.342557966,0.138221154,0.482993197,0.582701855,0.26303681,Fidel Castro
Castro,Fidel,40,121984,1971,4,0.354261663,0.627460753,0.357232311,0.130027827,0.373881932,0.573504385,0.212467363,Fidel Castro
Castro,Fidel,40,54466,1972,2,0.260273973,0.584116541,0.276595745,0.160848734,0.408163265,0.570427729,0.240140228,Fidel Castro
Castro,Fidel,40,29629,1972,3,0.253121453,0.580119966,0.340813464,0.131818182,0.316831683,0.546302051,0.242209632,Fidel Castro
Castro,Fidel,40,11581,1973,1,0.379146919,0.832214765,0.376404494,0.119521912,0.266666667,0.615384615,0.244186047,Fidel Castro
