lastname,firstname,Ccode,Word Count,year,i1,i2,i3,i4a,i4b,i5ap,i5pr,i5re,i5op,i5th,i5pu,p1,p2,p3,p4,p5,name
al-Assad,Bashar,652,10924,2000,0.259259259,0.041152263,0.166346594,0.740740741,0.691358025,0.469135802,0.024691358,0.135802469,0.148148148,0.012345679,0.209876543,0.416,0.232,0.1126912,0.244712991,0.972422999,Bashar al-Assad
al-Assad,Bashar,652,12657,2005,0.340909091,0.200757576,0.144008264,0.659090909,0.636363636,0.420454545,0.034090909,0.215909091,0.227272727,0,0.102272727,0.1898017,0.109537299,0.09201422,0.199546485,0.981638886,Bashar al-Assad
al-Assad,Bashar,652,13074,2006,0.37704918,0.229508197,0.124106423,0.62295082,0.590163934,0.409836066,0.06557377,0.213114754,0.213114754,0.016393443,0.081967213,-0.034300792,-0.122251539,0.08861119,0.138636364,0.987715267,Bashar al-Assad
al-Assad,Bashar,652,8119,2008,0.65,0.383333333,0.184,0.35,0.65,0.475,0.075,0.275,0.1,0.025,0.05,0.283018868,0.144654088,0.099305803,0.158730159,0.984237174,Bashar al-Assad
al-Assad,Bashar,652,12202,2009,0.434782609,0.202898551,0.177693762,0.565217391,0.52173913,0.5,0.043478261,0.173913043,0.152173913,0.043478261,0.086956522,0.243816254,0.078916372,0.124434067,0.139817629,0.982601924,Bashar al-Assad
al-Assad,Bashar,652,19850,2010,0.520661157,0.181818182,0.355617786,0.479338843,0.363636364,0.652892562,0.008264463,0.099173554,0.140495868,0.016528926,0.082644628,0.289473684,0.107142857,0.129077393,0.185298622,0.976082137,Bashar al-Assad
al-Assad,Bashar,652,29202,2011,0.333333333,0.144781145,0.156045301,0.666666667,0.666666667,0.454545455,0.025252525,0.186868687,0.181818182,0.005050505,0.146464646,0.241982507,0.097667638,0.107575925,0.2239819,0.97590494,Bashar al-Assad
al-Assad,Bashar,652,9694,2012,0.411764706,0.169934641,0.137254902,0.588235294,0.62745098,0.450980392,0.098039216,0.156862745,0.137254902,0,0.156862745,0.176470588,0.103199174,0.077510568,0.136363636,0.989430377,Bashar al-Assad
Andropov,Yurii,365,5248,1983,0.081081081,0.009009009,0.097151205,0.918918919,0.378378378,0.378378378,0.081081081,0.081081081,0.27027027,0.081081081,0.108108108,0.261538462,0.115384615,0.129325444,0.221556886,0.971347057,Yurii Andropov
Aquino,Corazon,840,4115,1988,0.384615385,0.239316239,0.165285996,0.615384615,0.666666667,0.435897436,0,0.256410256,0.205128205,0.025641026,0.076923077,0.302325581,0.124031008,0.129042726,0.312,0.95973867,Corazon Aquino
Aquino,Corazon,840,6298,1990,0.523809524,0.273809524,0.136054422,0.476190476,0.833333333,0.416666667,0.083333333,0.261904762,0.083333333,0,0.154761905,0.470588235,0.286764706,0.1691609,0.381818182,0.935411293,Corazon Aquino
Aquino,Corazon,840,4062,1991,0.071428571,-0.035714286,0.103061224,0.928571429,1,0.321428571,0,0.214285714,0.142857143,0.035714286,0.285714286,0.032786885,-0.005464481,0.077183553,0.186666667,0.985592403,Corazon Aquino
Arroyo,Gloria,840,4994,2001,0.545454545,0.272727273,0.095041322,0.454545455,0.545454545,0.386363636,0.204545455,0.181818182,0.022727273,0.113636364,0.090909091,0.294117647,0.133986928,0.089504037,0.301369863,0.973026181,Gloria Arroyo
Arroyo,Gloria,840,4103,2002,0.435897436,0.213675214,0.149506903,0.564102564,0.820512821,0.435897436,0.025641026,0.256410256,0.102564103,0.025641026,0.153846154,0.037974684,-0.097046414,0.146675212,0.330508475,0.951522599,Gloria Arroyo
Bhutto,Zulfikar,770,5229,1970,0.454545455,0.227272727,0.305785124,0.545454545,0.272727273,0.590909091,0,0.136363636,0.227272727,0.045454545,0,-0.084337349,-0.100401606,0.153433009,0.20952381,0.967852131,Zulfikar Bhutto
Bhutto,Zulfikar,770,9377,1971,0.209302326,0.046511628,0.158247701,0.790697674,0.465116279,0.476744186,0,0.127906977,0.174418605,0.11627907,0.104651163,0.122362869,-0.043600563,0.164108316,0.26625387,0.956305526,Zulfikar Bhutto
Bhutto,Zulfikar,770,7420,1973,0.581395349,0.248062016,0.20822066,0.418604651,0.558139535,0.534883721,0.093023256,0.162790698,0.069767442,0.023255814,0.11627907,0.346153846,0.131410256,0.154308432,0.171314741,0.973564691,Zulfikar Bhutto
Bierut,Boleslaw,290,21426,1950,0.428571429,0.444444444,0.210884354,0.571428571,0.761904762,0.142857143,0.047619048,0.523809524,0.19047619,0,0.095238095,0.425605536,0.281430219,0.087309778,0.067741935,0.994085467,Boleslaw Bierut
Brezhnev,Leonid ,365,8528,1970,0.659574468,0.34751773,0.30140335,0.340425532,0.468085106,0.595744681,0.021276596,0.212765957,0.127659574,0.021276596,0.021276596,0.39748954,0.237099024,0.113334851,0.164335664,0.981375042,Leonid  Brezhnev
Brezhnev,Leonid ,365,7142,1972,0.586206897,0.310344828,0.212366231,0.413793103,0.620689655,0.517241379,0.034482759,0.24137931,0.103448276,0.034482759,0.068965517,0.369047619,0.126984127,0.166326531,0.147208122,0.975515384,Leonid  Brezhnev
Brezhnev,Leonid ,365,9610,1974,0.355932203,0.169491525,0.119563344,0.644067797,0.644067797,0.423728814,0.06779661,0.186440678,0.169491525,0.016949153,0.13559322,0.326923077,0.147435897,0.110872781,0.220973783,0.975500022,Leonid  Brezhnev
Brezhnev,Leonid ,365,5793,1976,0.5,0.226190476,0.253061224,0.5,0.285714286,0.571428571,0.071428571,0.107142857,0.178571429,0.035714286,0.035714286,0.428571429,0.230576441,0.128271807,0.173913043,0.97769186,Leonid  Brezhnev
