lastname,firstname,Ccode,Word Count,year,quarter,distrust,task,bace,igb,sc,cc,power,name
Adams,JohnQuincy,2,9211,1825,4,0.193333333,0.640186916,0.212765957,0.114285714,0.333333333,0.636585366,0.274509804,JohnQuincy Adams
Adams,JohnQuincy,2,8015,1826,4,0.07826087,0.678787879,0.152173913,0.13592233,0.444444444,0.677083333,0.266666667,JohnQuincy Adams
Adams,JohnQuincy,2,7228,1827,4,0.155555556,0.658064516,0.090909091,0.315789474,0.25,0.662379421,0.44,JohnQuincy Adams
Adams,JohnQuincy,2,7519,1828,4,0.152,0.657342657,0.166666667,0.070588235,0.142857143,0.643504532,0.3,JohnQuincy Adams
al-Assad,Bashar,652,7620,2000,3,0.23255814,0.687679083,0.394117647,0.276995305,0.237288136,0.585106383,0.375,Bashar al-Assad
al-Assad,Bashar,652,10449,2005,4,0.267657993,0.618025751,0.334355828,0.147826087,0.364864865,0.575039494,0.301538462,Bashar al-Assad
al-Assad,Bashar,652,4846,2006,1,0.25,0.673469388,0.32967033,0.2,0.294117647,0.585443038,0.27173913,Bashar al-Assad
al-Assad,Bashar,652,8228,2006,3,0.300925926,0.553672316,0.406451613,0.16091954,0.447368421,0.598165138,0.25,Bashar al-Assad
al-Assad,Bashar,652,4213,2009,1,0.491071429,0.543859649,0.276923077,0.106060606,1,0.578947368,0.363636364,Bashar al-Assad
al-Assad,Bashar,652,4314,2009,2,0.086092715,0.504098361,0.232876712,0.168421053,0.5,0.57254902,0.295774648,Bashar al-Assad
al-Assad,Bashar,652,14177,2010,2,0.185114504,0.508965517,0.365853659,0.132275132,0.376404494,0.622291022,0.240740741,Bashar al-Assad
al-Assad,Bashar,652,4638,2010,4,0.119047619,0.583333333,0.227272727,0.155737705,0.307692308,0.624087591,0.27184466,Bashar al-Assad
al-Assad,Bashar,652,17226,2011,1,0.24522293,0.597475456,0.368237347,0.11965812,0.391666667,0.673178062,0.228937729,Bashar al-Assad
al-Assad,Bashar,652,6274,2011,2,0.201550388,0.745519713,0.352631579,0.070588235,0.52,0.595402299,0.273743017,Bashar al-Assad
al-Assad,Bashar,652,5702,2011,4,0.397260274,0.433497537,0.424242424,0.062068966,0.286713287,0.570707071,0.219730942,Bashar al-Assad
al-Assad,Bashar,652,9694,2012,2,0.408376963,0.663573086,0.323651452,0.136752137,0.328767123,0.632798574,0.248979592,Bashar al-Assad
Andropov,Yurii,365,5248,1983,1,0.171270718,0.66509434,0.380434783,0.141843972,0.333333333,0.588859416,0.326086957,Yurii Andropov
Aquino,Corazon,840,4115,1988,3,0.1375,0.617647059,0.313559322,0.164383562,0.290322581,0.559782609,0.338983051,Corazon Aquino
Aquino,Corazon,840,6298,1990,3,0.2,0.673228346,0.334728033,0.186629526,0.212121212,0.574898785,0.348178138,Corazon Aquino
Aquino,Corazon,840,4062,1991,3,0.272727273,0.558139535,0.388888889,0.242424242,0.19047619,0.537777778,0.31496063,Corazon Aquino
Arroyo,Gloria,840,4994,2001,3,0.130434783,0.633333333,0.374100719,0.086614173,0.183333333,0.553333333,0.283687943,Gloria Arroyo
Arroyo,Gloria,840,4103,2002,3,0.424242424,0.58778626,0.4296875,0.206521739,0.219512195,0.51875,0.330708661,Gloria Arroyo
Arthur,Chester,2,13545,1881,4,0.205533597,0.712765957,0.166666667,0.138297872,0.302325581,0.663893511,0.238095238,Chester Arthur
Arthur,Chester,2,9919,1882,4,0.174129353,0.744939271,0.225806452,0.153846154,0.19,0.659448819,0.268817204,Chester Arthur
Arthur,Chester,2,7963,1883,4,0.185897436,0.713567839,0.166666667,0.05,0.264705882,0.649425287,0.263888889,Chester Arthur
Arthur,Chester,2,8718,1884,4,0.147928994,0.716049383,0.2,0.15,0.34375,0.660427807,0.281690141,Chester Arthur
Asquith,Herbert,200,23112,1908,2,0.223076923,0.649093904,0.358936484,0.073059361,0.368770764,0.575757576,0.183486239,Herbert Asquith
Asquith,Herbert,200,13740,1908,3,0.12295082,0.763466042,0.338672769,0.062937063,0.411609499,0.611220472,0.24,Herbert Asquith
Asquith,Herbert,200,39663,1908,4,0.141353383,0.655723906,0.376902417,0.105919003,0.408737864,0.614336918,0.225535881,Herbert Asquith
Asquith,Herbert,200,12742,1909,1,0.188405797,0.677419355,0.340425532,0.101351351,0.301829268,0.549263873,0.226519337,Herbert Asquith
Asquith,Herbert,200,28611,1909,2,0.140952381,0.617604618,0.3515625,0.080188679,0.427170868,0.605923695,0.192,Herbert Asquith
Asquith,Herbert,200,57349,1909,3,0.159440559,0.667792032,0.346441948,0.114602588,0.380883418,0.600520957,0.217981889,Herbert Asquith
Asquith,Herbert,200,12854,1909,4,0.173184358,0.674121406,0.375375375,0.059322034,0.412751678,0.593418259,0.219435737,Herbert Asquith
Asquith,Herbert,200,23741,1910,1,0.178571429,0.691437803,0.411851852,0.062706271,0.377659574,0.596141879,0.212538226,Herbert Asquith
Asquith,Herbert,200,35541,1910,2,0.133561644,0.647169811,0.363045497,0.098484848,0.418300654,0.578162772,0.202898551,Herbert Asquith
Asquith,Herbert,200,33866,1910,3,0.137221269,0.690066225,0.342134213,0.092409241,0.410194175,0.616814159,0.219842165,Herbert Asquith
Asquith,Herbert,200,39927,1911,1,0.151057402,0.643678161,0.350148368,0.087209302,0.407725322,0.568740399,0.230237913,Herbert Asquith
Asquith,Herbert,200,47850,1911,2,0.123134328,0.696319018,0.347407407,0.077448747,0.41821112,0.624523321,0.200766284,Herbert Asquith
Asquith,Herbert,200,12241,1911,3,0.198067633,0.723237598,0.381766382,0.048951049,0.37037037,0.607650273,0.236686391,Herbert Asquith
Asquith,Herbert,200,25039,1911,4,0.086757991,0.662962963,0.339350181,0.070866142,0.430446194,0.584579977,0.219178082,Herbert Asquith
Asquith,Herbert,200,32538,1912,1,0.154362416,0.655172414,0.404524887,0.096418733,0.404040404,0.579716024,0.211895911,Herbert Asquith
Asquith,Herbert,200,32266,1912,2,0.117397454,0.646188851,0.36632537,0.04845815,0.411976048,0.595332453,0.212589074,Herbert Asquith
Asquith,Herbert,200,13524,1912,3,0.088372093,0.708737864,0.363057325,0.098214286,0.448924731,0.598243688,0.225950783,Herbert Asquith
Asquith,Herbert,200,56787,1912,4,0.10212766,0.714200832,0.342872867,0.070208729,0.42743417,0.609009457,0.212172924,Herbert Asquith
Asquith,Herbert,200,51075,1913,1,0.121465969,0.639027877,0.358142494,0.06,0.415584416,0.594339623,0.228127025,Herbert Asquith
Asquith,Herbert,200,37502,1913,2,0.128453039,0.668177697,0.36026936,0.078125,0.392643285,0.612152778,0.209059233,Herbert Asquith
Asquith,Herbert,200,18975,1913,3,0.06937799,0.608064516,0.355725191,0.112612613,0.392226148,0.619318182,0.316375199,Herbert Asquith
Asquith,Herbert,200,19978,1914,1,0.22556391,0.593137255,0.375193798,0.109289617,0.382352941,0.585631815,0.171288744,Herbert Asquith
Asquith,Herbert,200,34069,1914,2,0.180987203,0.681601525,0.359060403,0.097165992,0.427480916,0.595608782,0.218531469,Herbert Asquith
Asquith,Herbert,200,36068,1914,3,0.127659574,0.649272883,0.385082394,0.098191214,0.401574803,0.590873016,0.219839142,Herbert Asquith
Asquith,Herbert,200,15582,1914,4,0.284916201,0.575280899,0.377142857,0.090497738,0.427884615,0.568922306,0.226744186,Herbert Asquith
Asquith,Herbert,200,25908,1915,1,0.194202899,0.618012422,0.406504065,0.069078947,0.44991511,0.604034582,0.233983287,Herbert Asquith
Asquith,Herbert,200,22812,1915,2,0.189265537,0.636619718,0.361851332,0.073394495,0.394658754,0.579496624,0.246397695,Herbert Asquith
Asquith,Herbert,200,22832,1915,3,0.150943396,0.628389155,0.36351706,0.120634921,0.382697947,0.618226601,0.206566347,Herbert Asquith
Asquith,Herbert,200,6889,1915,4,0.137614679,0.610526316,0.325301205,0.125,0.408,0.564154786,0.26,Herbert Asquith
Asquith,Herbert,200,24504,1916,1,0.193905817,0.604806409,0.390849673,0.111498258,0.37254902,0.602941176,0.224274406,Herbert Asquith
Asquith,Herbert,200,27995,1916,2,0.154069767,0.621794872,0.370208105,0.176470588,0.380512821,0.581743167,0.225,Herbert Asquith
Asquith,Herbert,200,52605,1916,3,0.155477032,0.701567398,0.355692308,0.114,0.417040359,0.600422833,0.243638677,Herbert Asquith
Asquith,Herbert,200,14070,1916,4,0.222641509,0.708333333,0.337719298,0.058394161,0.354978355,0.61952862,0.240825688,Herbert Asquith
Attlee,Clement,200,15829,1945,3,0.121212121,0.634693878,0.330337079,0.14,0.516129032,0.537694013,0.242424242,Clement Attlee
Attlee,Clement,200,26902,1945,4,0.123913043,0.669102296,0.325769854,0.120567376,0.411428571,0.567535545,0.246153846,Clement Attlee
Attlee,Clement,200,20433,1946,1,0.113564669,0.706128134,0.360230548,0.121559633,0.481481481,0.55018315,0.260089686,Clement Attlee
Attlee,Clement,200,15141,1946,2,0.081180812,0.66322314,0.351598174,0.143939394,0.474747475,0.563088512,0.244604317,Clement Attlee
Attlee,Clement,200,47646,1946,4,0.085057471,0.665411174,0.333601286,0.121546961,0.414942529,0.580975111,0.234413965,Clement Attlee
Attlee,Clement,200,31666,1947,1,0.07816092,0.7109375,0.296743064,0.110429448,0.38781575,0.566579634,0.221227621,Clement Attlee
Attlee,Clement,200,11466,1947,2,0.02994012,0.663414634,0.25,0.093023256,0.415,0.606104651,0.181818182,Clement Attlee
Attlee,Clement,200,27081,1947,3,0.087649402,0.686295503,0.347322721,0.129979036,0.464454976,0.566828676,0.248888889,Clement Attlee
Attlee,Clement,200,20875,1947,4,0.101851852,0.647569444,0.349565217,0.105442177,0.446043165,0.550713749,0.264388489,Clement Attlee
Attlee,Clement,200,21145,1948,1,0.144200627,0.620645161,0.350565428,0.130790191,0.395,0.591511936,0.252072968,Clement Attlee
Attlee,Clement,200,9537,1948,2,0.108974359,0.737003058,0.323420074,0.096491228,0.446902655,0.556426332,0.231372549,Clement Attlee
Attlee,Clement,200,9530,1948,4,0.124183007,0.733096085,0.25862069,0.107142857,0.425742574,0.556313993,0.190909091,Clement Attlee
Attlee,Clement,200,11382,1949,1,0.129032258,0.750561798,0.321311475,0.119266055,0.454545455,0.594808126,0.19112628,Clement Attlee
Attlee,Clement,200,12636,1949,2,0.094674556,0.686170213,0.35694051,0.080882353,0.492805755,0.583647799,0.234604106,Clement Attlee
Attlee,Clement,200,5893,1949,3,0.186813187,0.780104712,0.272108844,0.098591549,0.35,0.484107579,0.174825175,Clement Attlee
Attlee,Clement,200,9747,1949,4,0.095238095,0.666666667,0.320557491,0.125,0.438596491,0.547425474,0.1875,Clement Attlee
Attlee,Clement,200,12320,1950,1,0.134408602,0.637096774,0.32808399,0.12244898,0.565055762,0.520089286,0.211956522,Clement Attlee
Attlee,Clement,200,13995,1950,2,0.083056478,0.706930693,0.305210918,0.166666667,0.444117647,0.517745303,0.208443272,Clement Attlee
Attlee,Clement,200,24871,1950,3,0.140756303,0.643504532,0.336990596,0.089371981,0.403153153,0.574712644,0.237179487,Clement Attlee
Attlee,Clement,200,18744,1950,4,0.068181818,0.679938744,0.29601518,0.125,0.389189189,0.559033989,0.228682171,Clement Attlee
Attlee,Clement,200,17151,1951,1,0.104294479,0.739197531,0.322175732,0.097378277,0.484662577,0.575892857,0.24893617,Clement Attlee
Attlee,Clement,200,6113,1951,2,0.176470588,0.781420765,0.312101911,0.111111111,0.503448276,0.587606838,0.218543046,Clement Attlee
Attlee,Clement,200,5672,1951,3,0.092592593,0.765363128,0.324468085,0.057692308,0.5,0.5975,0.241758242,Clement Attlee
Baldwin,Stanley,200,18406,1923,3,0.100323625,0.707055215,0.256214149,0.112745098,0.47260274,0.626794258,0.212723658,Stanley Baldwin
Baldwin,Stanley,200,7256,1924,1,0.130841121,0.675105485,0.342629482,0.099173554,0.336538462,0.606227106,0.197530864,Stanley Baldwin
Baldwin,Stanley,200,11793,1925,1,0.101010101,0.611398964,0.314136126,0.13986014,0.417142857,0.622401848,0.220994475,Stanley Baldwin
Baldwin,Stanley,200,13442,1925,2,0.063218391,0.686021505,0.313645621,0.057553957,0.427312775,0.631364562,0.244680851,Stanley Baldwin
Baldwin,Stanley,200,9868,1925,3,0.102941176,0.675675676,0.313888889,0.087719298,0.436842105,0.597811218,0.244252874,Stanley Baldwin
