lastname,firstname,Ccode,Word Count,i1,i2,i3,i4a,i4b,i5ap,i5pr,i5re,i5op,i5th,i5pu,p1,p2,p3,p4,p5,name
Asquith,Herbert,200,952275,0.608997684,0.267394421,0.281118963,0.391002316,0.492557063,0.59642739,0.042176646,0.165894806,0.095104201,0.020013232,0.080383725,0.43438057,0.204229798,0.150693375,0.251937661,0.962034664,Herbert Asquith
Attlee,Clement,200,398558,0.600930233,0.269922481,0.292504402,0.399069767,0.468837209,0.602790698,0.034418605,0.163255814,0.118604651,0.009767442,0.071162791,0.40669358,0.20210965,0.127623786,0.218740462,0.972083514,Clement Attlee
Baldwin,Stanley,200,426048,0.654311354,0.305501366,0.293737571,0.345688646,0.557159579,0.597737027,0.028482247,0.200936403,0.0823254,0.012875536,0.077643387,0.411780348,0.191020698,0.140041751,0.254165014,0.964406286,Stanley Baldwin
Blair,Tony,200,1118448,0.579487179,0.255958716,0.237480856,0.420512821,0.509337204,0.561296565,0.065795839,0.162651185,0.099564586,0.018674407,0.092017417,0.348578871,0.158150106,0.106687396,0.283609122,0.969742481,Tony Blair
Callaghan,James,200,417866,0.672708169,0.297084318,0.342322705,0.327291831,0.423955871,0.643814027,0.038350407,0.154189651,0.093249278,0.012608353,0.057788285,0.420836955,0.211805124,0.127748294,0.320994941,0.958993444,James Callaghan
Campbell,Henry,200,112876,0.642201835,0.291539246,0.283870606,0.357798165,0.504587156,0.596330275,0.051987768,0.172782875,0.093272171,0.006116208,0.079510703,0.428964253,0.215551482,0.14047456,0.230606488,0.967605655,Henry Campbell
Cecil,Robert,200,270824,0.447838617,0.179442843,0.238653323,0.552161383,0.457636888,0.557925072,0.031700288,0.134293948,0.160806916,0.02074928,0.094524496,0.254187373,0.094791091,0.101450479,0.242047991,0.975444115,Robert Cecil
Chamberlain,Neville,200,416122,0.556869882,0.265999393,0.224678734,0.443130118,0.607825296,0.536851683,0.033212011,0.208371247,0.108280255,0.017743403,0.095541401,0.383418486,0.177697786,0.11933564,0.20333025,0.975735454,Neville Chamberlain
Churchill,Winston,200,252695,0.587933248,0.26508344,0.248166159,0.412066752,0.540436457,0.566752246,0.046213094,0.181001284,0.094351733,0.022464698,0.089216945,0.360611697,0.161190329,0.126780279,0.243551665,0.969122452,Winston Churchill
Disraeli,Benjamin,200,298299,0.519571046,0.217336908,0.254663974,0.480428954,0.439678284,0.576407507,0.046648794,0.136729223,0.135656836,0.021447721,0.08310992,0.365562914,0.161865342,0.138136091,0.235926629,0.967410018,Benjamin Disraeli
Douglas-Home,Alec,200,85850,0.640677966,0.296610169,0.282109739,0.359322034,0.538983051,0.591525424,0.037288136,0.191525424,0.086440678,0.015254237,0.077966102,0.457800512,0.215473146,0.168657322,0.273909006,0.953803241,Alec Douglas-Home
Eden,Anthony,200,158277,0.609467456,0.263454494,0.294807748,0.390532544,0.483516484,0.60693153,0.038038884,0.159763314,0.100591716,0.012679628,0.081994928,0.472166331,0.216074223,0.174654635,0.284033613,0.950392213,Anthony Eden
George,David,200,461334,0.567862715,0.237519501,0.25340062,0.432137285,0.53276131,0.573712949,0.049141966,0.161076443,0.094773791,0.01599064,0.105304212,0.308128155,0.126369287,0.112936434,0.208947926,0.976402166,David George
Gladstone,William,200,213496,0.487889273,0.206459054,0.2466254,0.512110727,0.480968858,0.564878893,0.026816609,0.152249135,0.144463668,0.023356401,0.088235294,0.343472157,0.148338793,0.129206448,0.212891344,0.972493066,William Gladstone
Heath,Edward,200,464002,0.640025575,0.308930094,0.278583016,0.359974425,0.537723785,0.585358056,0.034207161,0.20044757,0.100063939,0.011508951,0.068414322,0.469769419,0.238798569,0.151074284,0.24946168,0.962312755,Edward Heath
Law,Bonar,200,37148,0.583941606,0.271289538,0.260205658,0.416058394,0.532846715,0.572992701,0.032846715,0.186131387,0.113138686,0.01459854,0.080291971,0.507374631,0.243362832,0.171958128,0.287815126,0.95050785,Bonar Law
MacDonald,Ramsay,200,436494,0.602489304,0.265914689,0.271925121,0.397510696,0.497082847,0.589264877,0.043173862,0.168805912,0.092959938,0.026059899,0.079735511,0.432864527,0.213807749,0.135869501,0.236088154,0.96792282,Ramsay MacDonald
MacMillan,Harold,200,668485,0.604599735,0.264337314,0.290455292,0.395400265,0.516585582,0.600840336,0.028748341,0.17271119,0.09752322,0.014595312,0.085581601,0.433171223,0.205349656,0.154102026,0.274927043,0.957633186,Harold MacMillan
Major,John,200,717724,0.716880758,0.424332858,0.232466832,0.283119242,0.74270144,0.499286363,0.042169456,0.316984559,0.075905021,0.011288439,0.054366161,0.385435169,0.182356424,0.120306376,0.336432687,0.959525003,John Major
Russell,John,200,516503,0.43960485,0.178266727,0.224140841,0.56039515,0.458015267,0.546475079,0.037718904,0.135608442,0.159856309,0.026942075,0.093399192,0.281091829,0.115118101,0.11954748,0.167556993,0.979968984,John Russell
Steel,David,200,52290,0.267379679,0.058823529,0.16860648,0.732620321,0.513368984,0.486631016,0.045454545,0.101604278,0.181818182,0.029411765,0.155080214,0.239282931,0.083138478,0.099606886,0.225709113,0.977517818,David Steel
Thatcher,Margaret,200,1258396,0.728591414,0.414868812,0.269095127,0.271408586,0.718209263,0.537589279,0.022016052,0.304690376,0.074736765,0.006553273,0.054414255,0.418835743,0.213409962,0.122899226,0.334911593,0.958839624,Margaret Thatcher
Wilson,Harold,200,1572877,0.543206227,0.24012218,0.259700658,0.456793773,0.502118435,0.575229087,0.029756626,0.166617401,0.127007587,0.016947483,0.084441817,0.373803021,0.176582432,0.136342257,0.259724639,0.964588557,Harold Wilson
