lastname,firstname,Ccode,Word Count,year,month,distrust,task,bace,igb,sc,cc,power,name
Asquith,Herbert,200,15731,1908,10,0.163551402,0.643478261,0.43832021,0.137931034,0.390029326,0.607244995,0.234972678,Herbert Asquith
Asquith,Herbert,200,17416,1908,11,0.145061728,0.653144016,0.355509356,0.080291971,0.434298441,0.617205998,0.217391304,Herbert Asquith
Asquith,Herbert,200,6516,1908,12,0.094488189,0.685106383,0.325490196,0.102941176,0.3875,0.622362869,0.226720648,Herbert Asquith
Asquith,Herbert,200,6146,1908,4,0.264,0.58490566,0.364130435,0.098039216,0.4375,0.576832151,0.106741573,Herbert Asquith
Asquith,Herbert,200,12994,1908,5,0.162037037,0.661064426,0.344059406,0.069444444,0.369318182,0.572972973,0.224806202,Herbert Asquith
Asquith,Herbert,200,13740,1908,7,0.12295082,0.763466042,0.338672769,0.062937063,0.411609499,0.611220472,0.24,Herbert Asquith
Asquith,Herbert,200,6403,1909,10,0.134020619,0.727272727,0.388888889,0.04109589,0.485294118,0.596846847,0.188571429,Herbert Asquith
Asquith,Herbert,200,6451,1909,11,0.219512195,0.614864865,0.359477124,0.088888889,0.351851852,0.590361446,0.256944444,Herbert Asquith
Asquith,Herbert,200,9553,1909,2,0.183673469,0.680412371,0.307692308,0.12,0.26754386,0.542682927,0.209486166,Herbert Asquith
Asquith,Herbert,200,11255,1909,4,0.085626911,0.626760563,0.382758621,0.072289157,0.457489879,0.602305476,0.222614841,Herbert Asquith
Asquith,Herbert,200,17009,1909,5,0.237113402,0.605063291,0.335470085,0.085271318,0.405701754,0.608560311,0.172489083,Herbert Asquith
Asquith,Herbert,200,18800,1909,7,0.186234818,0.649224806,0.357142857,0.116504854,0.400398406,0.609252669,0.237676056,Herbert Asquith
Asquith,Herbert,200,21038,1909,8,0.170289855,0.62704918,0.328413284,0.12716763,0.373673036,0.593008739,0.212523719,Herbert Asquith
Asquith,Herbert,200,17511,1909,9,0.109375,0.729559748,0.353813559,0.098765432,0.365196078,0.600328947,0.199556541,Herbert Asquith
Asquith,Herbert,200,8057,1910,2,0.148148148,0.671428571,0.41221374,0.06504065,0.41588785,0.556939502,0.189189189,Herbert Asquith
Asquith,Herbert,200,15684,1910,3,0.192982456,0.701711491,0.411622276,0.061111111,0.354285714,0.61722488,0.227848101,Herbert Asquith
Asquith,Herbert,200,25437,1910,4,0.152777778,0.666666667,0.367272727,0.101398601,0.432432432,0.566556656,0.182741117,Herbert Asquith
Asquith,Herbert,200,8334,1910,6,0.093137255,0.665271967,0.321266968,0.013157895,0.373134328,0.629370629,0.253456221,Herbert Asquith
Asquith,Herbert,200,33866,1910,7,0.137221269,0.690066225,0.342134213,0.092409241,0.410194175,0.616814159,0.219842165,Herbert Asquith
Asquith,Herbert,200,7809,1911,10,0.095588235,0.705627706,0.346570397,0.038961039,0.466135458,0.607279693,0.210332103,Herbert Asquith
Asquith,Herbert,200,9893,1911,11,0.069620253,0.667590028,0.325966851,0.058823529,0.423423423,0.568406206,0.214492754,Herbert Asquith
Asquith,Herbert,200,7337,1911,12,0.097222222,0.610091743,0.354166667,0.137931034,0.393258427,0.58382643,0.240641711,Herbert Asquith
Asquith,Herbert,200,24521,1911,2,0.17232376,0.627092846,0.350746269,0.078431373,0.410586552,0.577447336,0.220230474,Herbert Asquith
Asquith,Herbert,200,14930,1911,3,0.116788321,0.672413793,0.354596623,0.088082902,0.403887689,0.554179567,0.242661448,Herbert Asquith
Asquith,Herbert,200,33598,1911,4,0.13556338,0.692825112,0.3531961,0.079881657,0.427688504,0.622937626,0.197309417,Herbert Asquith
Asquith,Herbert,200,11998,1911,5,0.108247423,0.689855072,0.313513514,0.064102564,0.404699739,0.620915033,0.208913649,Herbert Asquith
Asquith,Herbert,200,6501,1911,7,0.266055046,0.735,0.353233831,0.034883721,0.348101266,0.609147609,0.25,Herbert Asquith
Asquith,Herbert,200,5740,1911,8,0.12244898,0.710382514,0.42,0.070175439,0.395683453,0.605990783,0.219178082,Herbert Asquith
Asquith,Herbert,200,18985,1912,10,0.136363636,0.700361011,0.369369369,0.052356021,0.451546392,0.610244989,0.223247232,Herbert Asquith
Asquith,Herbert,200,22272,1912,11,0.085657371,0.734104046,0.337278107,0.09178744,0.398319328,0.608778626,0.196946565,Herbert Asquith
Asquith,Herbert,200,15530,1912,12,0.093294461,0.700228833,0.324232082,0.062015504,0.43761302,0.607825296,0.219251337,Herbert Asquith
Asquith,Herbert,200,8657,1912,2,0.170212766,0.598214286,0.352941176,0.150943396,0.357723577,0.552136752,0.202290076,Herbert Asquith
Asquith,Herbert,200,23881,1912,3,0.147058824,0.669703872,0.421368547,0.073929961,0.419354839,0.588297872,0.214987715,Herbert Asquith
Asquith,Herbert,200,7036,1912,4,0.127777778,0.690217391,0.411764706,0.058823529,0.41025641,0.620614035,0.253424658,Herbert Asquith
Asquith,Herbert,200,13730,1912,5,0.094017094,0.611413043,0.371191136,0.023255814,0.420289855,0.583844581,0.193641618,Herbert Asquith
Asquith,Herbert,200,11500,1912,6,0.153409091,0.660550459,0.342465753,0.068493151,0.404825737,0.594982079,0.214285714,Herbert Asquith
Asquith,Herbert,200,10411,1912,7,0.100628931,0.678233438,0.350828729,0.102857143,0.477351916,0.596614951,0.218289086,Herbert Asquith
Asquith,Herbert,200,21200,1913,1,0.146118721,0.663230241,0.358680057,0.06640625,0.40443686,0.594936709,0.214705882,Herbert Asquith
Asquith,Herbert,200,8003,1913,2,0.073770492,0.662447257,0.343096234,0.034482759,0.429149798,0.631858407,0.25106383,Herbert Asquith
Asquith,Herbert,200,21872,1913,3,0.108860759,0.605172414,0.363207547,0.055813953,0.421338156,0.580191693,0.234076433,Herbert Asquith
Asquith,Herbert,200,4958,1913,4,0.12244898,0.754010695,0.261627907,0.038461538,0.374269006,0.618181818,0.267080745,Herbert Asquith
Asquith,Herbert,200,7170,1913,5,0.190909091,0.636363636,0.368421053,0.084337349,0.41697417,0.655284553,0.231578947,Herbert Asquith
Asquith,Herbert,200,25374,1913,6,0.11627907,0.655474453,0.380300958,0.081632653,0.387895461,0.597416021,0.186609687,Herbert Asquith
Asquith,Herbert,200,16053,1913,7,0.075630252,0.596116505,0.357009346,0.112820513,0.404017857,0.616033755,0.317738791,Herbert Asquith
Asquith,Herbert,200,15582,1914,11,0.284916201,0.575280899,0.377142857,0.090497738,0.427884615,0.568922306,0.226744186,Herbert Asquith
Asquith,Herbert,200,10184,1914,2,0.316176471,0.592592593,0.386597938,0.12295082,0.37283237,0.587421384,0.168044077,Herbert Asquith
Asquith,Herbert,200,9794,1914,3,0.130769231,0.593869732,0.357976654,0.081967213,0.394736842,0.583769634,0.176,Herbert Asquith
Asquith,Herbert,200,21074,1914,4,0.224358974,0.662068966,0.345070423,0.125,0.434965035,0.595717884,0.227272727,Herbert Asquith
Asquith,Herbert,200,11166,1914,5,0.124444444,0.722488038,0.38372093,0.081818182,0.429648241,0.604712042,0.209638554,Herbert Asquith
Asquith,Herbert,200,17746,1914,7,0.11884058,0.708542714,0.422222222,0.085714286,0.413427562,0.616541353,0.230088496,Herbert Asquith
Asquith,Herbert,200,8469,1914,8,0.159509202,0.585526316,0.31884058,0.147058824,0.349282297,0.523809524,0.228782288,Herbert Asquith
Asquith,Herbert,200,9853,1914,9,0.116751269,0.589552239,0.373287671,0.054054054,0.419087137,0.602721088,0.190812721,Herbert Asquith
Asquith,Herbert,200,5978,1915,12,0.159090909,0.596273292,0.325471698,0.136986301,0.411483254,0.554298643,0.258215962,Herbert Asquith
Asquith,Herbert,200,13792,1915,2,0.192307692,0.691056911,0.427860697,0.051612903,0.471875,0.597560976,0.236641221,Herbert Asquith
Asquith,Herbert,200,12116,1915,3,0.196319018,0.52,0.380952381,0.087248322,0.423791822,0.611044418,0.230769231,Herbert Asquith
Asquith,Herbert,200,8039,1915,5,0.228346457,0.668049793,0.360869565,0.080645161,0.382075472,0.555357143,0.247747748,Herbert Asquith
Asquith,Herbert,200,10935,1915,6,0.146341463,0.649275362,0.329608939,0.086538462,0.387811634,0.597402597,0.253561254,Herbert Asquith
Asquith,Herbert,200,15015,1915,7,0.136563877,0.654589372,0.354124748,0.129032258,0.368298368,0.617977528,0.208067941,Herbert Asquith
Asquith,Herbert,200,7817,1915,9,0.186813187,0.577464789,0.381132075,0.102040816,0.407114625,0.618705036,0.203846154,Herbert Asquith
Asquith,Herbert,200,9415,1916,1,0.165413534,0.590625,0.372611465,0.105882353,0.335483871,0.602857143,0.246794872,Herbert Asquith
Asquith,Herbert,200,8075,1916,10,0.244047619,0.653061224,0.345833333,0.070707071,0.397260274,0.580299786,0.259574468,Herbert Asquith
Asquith,Herbert,200,5310,1916,11,0.173913043,0.757894737,0.326203209,0.03030303,0.311627907,0.661333333,0.224137931,Herbert Asquith
Asquith,Herbert,200,13150,1916,2,0.192893401,0.613259669,0.404145078,0.117318436,0.399408284,0.603603604,0.204188482,Herbert Asquith
Asquith,Herbert,200,21977,1916,5,0.178438662,0.615803815,0.375675676,0.162650602,0.378690629,0.576695194,0.215384615,Herbert Asquith
