lastname,firstname,Ccode,Word Count,year,month,i1,i2,i3,i4a,i4b,i5ap,i5pr,i5re,i5op,i5th,i5pu,p1,p2,p3,p4,p5,name
Asquith,Herbert,200,15731,1908,10,0.575757576,0.262626263,0.233608815,0.424242424,0.636363636,0.545454545,0.03030303,0.212121212,0.075757576,0.03030303,0.106060606,0.464788732,0.210093897,0.155584209,0.188571429,0.970661263,Herbert Asquith
Asquith,Herbert,200,17416,1908,11,0.734693878,0.380952381,0.299541858,0.265306122,0.571428571,0.591836735,0.040816327,0.234693878,0.081632653,0,0.051020408,0.487309645,0.278341794,0.151011363,0.199186992,0.969920501,Herbert Asquith
Asquith,Herbert,200,6516,1908,12,0.6,0.26,0.26464,0.4,0.56,0.58,0.04,0.18,0.08,0.02,0.1,0.553191489,0.24822695,0.200362155,0.347222222,0.930429807,Herbert Asquith
Asquith,Herbert,200,6146,1908,4,0.470588235,0.078431373,0.387543253,0.529411765,0.411764706,0.676470588,0,0.058823529,0.058823529,0.058823529,0.147058824,0.571428571,0.336309524,0.178252551,0.232876712,0.958489132,Herbert Asquith
Asquith,Herbert,200,12994,1908,5,0.775280899,0.355805243,0.423709128,0.224719101,0.382022472,0.696629213,0.02247191,0.168539326,0.06741573,0.02247191,0.02247191,0.504065041,0.323848238,0.148007139,0.265671642,0.9606787,Herbert Asquith
Asquith,Herbert,200,13740,1908,7,0.65,0.320833333,0.274375,0.35,0.6,0.575,0.025,0.225,0.0875,0.0125,0.075,0.423357664,0.205596107,0.190164633,0.225988701,0.957024942,Herbert Asquith
Asquith,Herbert,200,6403,1909,10,0.696969697,0.272727273,0.411570248,0.303030303,0.363636364,0.696969697,0.03030303,0.121212121,0.060606061,0.03030303,0.060606061,0.372262774,0.189781022,0.141605839,0.194117647,0.972511808,Herbert Asquith
Asquith,Herbert,200,6451,1909,11,0.407407407,0.135802469,0.331687243,0.592592593,0.222222222,0.62962963,0,0.074074074,0.185185185,0.074074074,0.037037037,0.25,0.158854167,0.088134766,0.174193548,0.984647492,Herbert Asquith
Asquith,Herbert,200,9553,1909,2,0.509433962,0.163522013,0.279743681,0.490566038,0.41509434,0.603773585,0.056603774,0.094339623,0.094339623,0.037735849,0.113207547,0.240223464,0.083798883,0.102574826,0.228448276,0.976566958,Herbert Asquith
Asquith,Herbert,200,11255,1909,4,0.660377358,0.314465409,0.378853685,0.339622642,0.339622642,0.660377358,0.018867925,0.150943396,0.150943396,0,0.018867925,0.470899471,0.298059965,0.14638448,0.219008264,0.967940589,Herbert Asquith
Asquith,Herbert,200,17009,1909,5,0.543859649,0.204678363,0.315974146,0.456140351,0.49122807,0.622807018,0,0.149122807,0.096491228,0.035087719,0.096491228,0.504702194,0.278996865,0.159795993,0.263279446,0.957929,Herbert Asquith
Asquith,Herbert,200,18800,1909,7,0.690909091,0.245454545,0.441057851,0.309090909,0.309090909,0.718181818,0.045454545,0.081818182,0.063636364,0.018181818,0.072727273,0.352380952,0.173544974,0.111449735,0.258823529,0.971154186,Herbert Asquith
Asquith,Herbert,200,21038,1909,8,0.596899225,0.235142119,0.303551469,0.403100775,0.434108527,0.620155039,0.046511628,0.131782946,0.085271318,0.031007752,0.085271318,0.410852713,0.181739879,0.144730886,0.25,0.963817279,Herbert Asquith
Asquith,Herbert,200,17511,1909,9,0.64556962,0.261603376,0.325108156,0.35443038,0.481012658,0.632911392,0.037974684,0.151898734,0.063291139,0.025316456,0.088607595,0.394101877,0.188561215,0.139440375,0.174778761,0.975628784,Herbert Asquith
Asquith,Herbert,200,8057,1910,2,0.396226415,0.119496855,0.366037736,0.603773585,0.264150943,0.641509434,0,0.056603774,0.226415094,0,0.075471698,0.568965517,0.25,0.227170036,0.313609467,0.928757326,Herbert Asquith
Asquith,Herbert,200,15684,1910,3,0.521126761,0.230046948,0.194445547,0.478873239,0.676056338,0.507042254,0.056338028,0.197183099,0.098591549,0,0.14084507,0.312280702,0.112280702,0.137772853,0.199438202,0.97252283,Herbert Asquith
Asquith,Herbert,200,25437,1910,4,0.642857143,0.291666667,0.274744898,0.357142857,0.416666667,0.595238095,0.077380952,0.148809524,0.095238095,0.023809524,0.05952381,0.444444444,0.20609319,0.159525186,0.231404959,0.963085081,Herbert Asquith
Asquith,Herbert,200,8334,1910,6,0.65,0.266666667,0.2815,0.35,0.5,0.6,0.075,0.15,0.05,0.025,0.1,0.460122699,0.251533742,0.146915578,0.197044335,0.971051118,Herbert Asquith
Asquith,Herbert,200,33866,1910,7,0.651685393,0.265917603,0.330463325,0.348314607,0.494382022,0.634831461,0.039325843,0.151685393,0.073033708,0.005617978,0.095505618,0.389534884,0.173934109,0.149065373,0.205542725,0.969360697,Herbert Asquith
Asquith,Herbert,200,7809,1911,10,0.857142857,0.505952381,0.242346939,0.142857143,0.607142857,0.517857143,0.125,0.285714286,0.053571429,0,0.017857143,0.5,0.255555556,0.160666667,0.318181818,0.948878788,Herbert Asquith
Asquith,Herbert,200,9893,1911,11,0.855072464,0.342995169,0.527662256,0.144927536,0.289855072,0.768115942,0.057971014,0.101449275,0.028985507,0,0.043478261,0.615819209,0.293785311,0.223135114,0.280487805,0.937413322,Herbert Asquith
