lastname,firstname,Ccode,Word Count,year,quarter,distrust,task,bace,igb,sc,cc,power,name
Asquith,Herbert,200,23112,1908,2,0.223076923,0.649093904,0.358936484,0.073059361,0.368770764,0.575757576,0.183486239,Herbert Asquith
Asquith,Herbert,200,13740,1908,3,0.12295082,0.763466042,0.338672769,0.062937063,0.411609499,0.611220472,0.24,Herbert Asquith
Asquith,Herbert,200,39663,1908,4,0.141353383,0.655723906,0.376902417,0.105919003,0.408737864,0.614336918,0.225535881,Herbert Asquith
Asquith,Herbert,200,12742,1909,1,0.188405797,0.677419355,0.340425532,0.101351351,0.301829268,0.549263873,0.226519337,Herbert Asquith
Asquith,Herbert,200,28611,1909,2,0.140952381,0.617604618,0.3515625,0.080188679,0.427170868,0.605923695,0.192,Herbert Asquith
Asquith,Herbert,200,57349,1909,3,0.159440559,0.667792032,0.346441948,0.114602588,0.380883418,0.600520957,0.217981889,Herbert Asquith
Asquith,Herbert,200,12854,1909,4,0.173184358,0.674121406,0.375375375,0.059322034,0.412751678,0.593418259,0.219435737,Herbert Asquith
Asquith,Herbert,200,23741,1910,1,0.178571429,0.691437803,0.411851852,0.062706271,0.377659574,0.596141879,0.212538226,Herbert Asquith
Asquith,Herbert,200,35541,1910,2,0.133561644,0.647169811,0.363045497,0.098484848,0.418300654,0.578162772,0.202898551,Herbert Asquith
Asquith,Herbert,200,33866,1910,3,0.137221269,0.690066225,0.342134213,0.092409241,0.410194175,0.616814159,0.219842165,Herbert Asquith
Asquith,Herbert,200,39927,1911,1,0.151057402,0.643678161,0.350148368,0.087209302,0.407725322,0.568740399,0.230237913,Herbert Asquith
Asquith,Herbert,200,47850,1911,2,0.123134328,0.696319018,0.347407407,0.077448747,0.41821112,0.624523321,0.200766284,Herbert Asquith
Asquith,Herbert,200,12241,1911,3,0.198067633,0.723237598,0.381766382,0.048951049,0.37037037,0.607650273,0.236686391,Herbert Asquith
Asquith,Herbert,200,25039,1911,4,0.086757991,0.662962963,0.339350181,0.070866142,0.430446194,0.584579977,0.219178082,Herbert Asquith
Asquith,Herbert,200,32538,1912,1,0.154362416,0.655172414,0.404524887,0.096418733,0.404040404,0.579716024,0.211895911,Herbert Asquith
Asquith,Herbert,200,32266,1912,2,0.117397454,0.646188851,0.36632537,0.04845815,0.411976048,0.595332453,0.212589074,Herbert Asquith
Asquith,Herbert,200,13524,1912,3,0.088372093,0.708737864,0.363057325,0.098214286,0.448924731,0.598243688,0.225950783,Herbert Asquith
Asquith,Herbert,200,56787,1912,4,0.10212766,0.714200832,0.342872867,0.070208729,0.42743417,0.609009457,0.212172924,Herbert Asquith
Asquith,Herbert,200,51075,1913,1,0.121465969,0.639027877,0.358142494,0.06,0.415584416,0.594339623,0.228127025,Herbert Asquith
Asquith,Herbert,200,37502,1913,2,0.128453039,0.668177697,0.36026936,0.078125,0.392643285,0.612152778,0.209059233,Herbert Asquith
Asquith,Herbert,200,18975,1913,3,0.06937799,0.608064516,0.355725191,0.112612613,0.392226148,0.619318182,0.316375199,Herbert Asquith
Asquith,Herbert,200,19978,1914,1,0.22556391,0.593137255,0.375193798,0.109289617,0.382352941,0.585631815,0.171288744,Herbert Asquith
Asquith,Herbert,200,34069,1914,2,0.180987203,0.681601525,0.359060403,0.097165992,0.427480916,0.595608782,0.218531469,Herbert Asquith
Asquith,Herbert,200,36068,1914,3,0.127659574,0.649272883,0.385082394,0.098191214,0.401574803,0.590873016,0.219839142,Herbert Asquith
Asquith,Herbert,200,15582,1914,4,0.284916201,0.575280899,0.377142857,0.090497738,0.427884615,0.568922306,0.226744186,Herbert Asquith
Asquith,Herbert,200,25908,1915,1,0.194202899,0.618012422,0.406504065,0.069078947,0.44991511,0.604034582,0.233983287,Herbert Asquith
Asquith,Herbert,200,22812,1915,2,0.189265537,0.636619718,0.361851332,0.073394495,0.394658754,0.579496624,0.246397695,Herbert Asquith
Asquith,Herbert,200,22832,1915,3,0.150943396,0.628389155,0.36351706,0.120634921,0.382697947,0.618226601,0.206566347,Herbert Asquith
Asquith,Herbert,200,6889,1915,4,0.137614679,0.610526316,0.325301205,0.125,0.408,0.564154786,0.26,Herbert Asquith
Asquith,Herbert,200,24504,1916,1,0.193905817,0.604806409,0.390849673,0.111498258,0.37254902,0.602941176,0.224274406,Herbert Asquith
Asquith,Herbert,200,27995,1916,2,0.154069767,0.621794872,0.370208105,0.176470588,0.380512821,0.581743167,0.225,Herbert Asquith
Asquith,Herbert,200,52605,1916,3,0.155477032,0.701567398,0.355692308,0.114,0.417040359,0.600422833,0.243638677,Herbert Asquith
Asquith,Herbert,200,14070,1916,4,0.222641509,0.708333333,0.337719298,0.058394161,0.354978355,0.61952862,0.240825688,Herbert Asquith
Attlee,Clement,200,15829,1945,3,0.121212121,0.634693878,0.330337079,0.14,0.516129032,0.537694013,0.242424242,Clement Attlee
Attlee,Clement,200,26902,1945,4,0.123913043,0.669102296,0.325769854,0.120567376,0.411428571,0.567535545,0.246153846,Clement Attlee
Attlee,Clement,200,20433,1946,1,0.113564669,0.706128134,0.360230548,0.121559633,0.481481481,0.55018315,0.260089686,Clement Attlee
Attlee,Clement,200,15141,1946,2,0.081180812,0.66322314,0.351598174,0.143939394,0.474747475,0.563088512,0.244604317,Clement Attlee
Attlee,Clement,200,47646,1946,4,0.085057471,0.665411174,0.333601286,0.121546961,0.414942529,0.580975111,0.234413965,Clement Attlee
Attlee,Clement,200,31666,1947,1,0.07816092,0.7109375,0.296743064,0.110429448,0.38781575,0.566579634,0.221227621,Clement Attlee
Attlee,Clement,200,11466,1947,2,0.02994012,0.663414634,0.25,0.093023256,0.415,0.606104651,0.181818182,Clement Attlee
Attlee,Clement,200,27081,1947,3,0.087649402,0.686295503,0.347322721,0.129979036,0.464454976,0.566828676,0.248888889,Clement Attlee
Attlee,Clement,200,20875,1947,4,0.101851852,0.647569444,0.349565217,0.105442177,0.446043165,0.550713749,0.264388489,Clement Attlee
Attlee,Clement,200,21145,1948,1,0.144200627,0.620645161,0.350565428,0.130790191,0.395,0.591511936,0.252072968,Clement Attlee
Attlee,Clement,200,9537,1948,2,0.108974359,0.737003058,0.323420074,0.096491228,0.446902655,0.556426332,0.231372549,Clement Attlee
Attlee,Clement,200,9530,1948,4,0.124183007,0.733096085,0.25862069,0.107142857,0.425742574,0.556313993,0.190909091,Clement Attlee
Attlee,Clement,200,11382,1949,1,0.129032258,0.750561798,0.321311475,0.119266055,0.454545455,0.594808126,0.19112628,Clement Attlee
Attlee,Clement,200,12636,1949,2,0.094674556,0.686170213,0.35694051,0.080882353,0.492805755,0.583647799,0.234604106,Clement Attlee
Attlee,Clement,200,5893,1949,3,0.186813187,0.780104712,0.272108844,0.098591549,0.35,0.484107579,0.174825175,Clement Attlee
Attlee,Clement,200,9747,1949,4,0.095238095,0.666666667,0.320557491,0.125,0.438596491,0.547425474,0.1875,Clement Attlee
Attlee,Clement,200,12320,1950,1,0.134408602,0.637096774,0.32808399,0.12244898,0.565055762,0.520089286,0.211956522,Clement Attlee
Attlee,Clement,200,13995,1950,2,0.083056478,0.706930693,0.305210918,0.166666667,0.444117647,0.517745303,0.208443272,Clement Attlee
Attlee,Clement,200,24871,1950,3,0.140756303,0.643504532,0.336990596,0.089371981,0.403153153,0.574712644,0.237179487,Clement Attlee
Attlee,Clement,200,18744,1950,4,0.068181818,0.679938744,0.29601518,0.125,0.389189189,0.559033989,0.228682171,Clement Attlee
Attlee,Clement,200,17151,1951,1,0.104294479,0.739197531,0.322175732,0.097378277,0.484662577,0.575892857,0.24893617,Clement Attlee
Attlee,Clement,200,6113,1951,2,0.176470588,0.781420765,0.312101911,0.111111111,0.503448276,0.587606838,0.218543046,Clement Attlee
Attlee,Clement,200,5672,1951,3,0.092592593,0.765363128,0.324468085,0.057692308,0.5,0.5975,0.241758242,Clement Attlee
Baldwin,Stanley,200,18406,1923,3,0.100323625,0.707055215,0.256214149,0.112745098,0.47260274,0.626794258,0.212723658,Stanley Baldwin
Baldwin,Stanley,200,7256,1924,1,0.130841121,0.675105485,0.342629482,0.099173554,0.336538462,0.606227106,0.197530864,Stanley Baldwin
Baldwin,Stanley,200,11793,1925,1,0.101010101,0.611398964,0.314136126,0.13986014,0.417142857,0.622401848,0.220994475,Stanley Baldwin
Baldwin,Stanley,200,13442,1925,2,0.063218391,0.686021505,0.313645621,0.057553957,0.427312775,0.631364562,0.244680851,Stanley Baldwin
Baldwin,Stanley,200,9868,1925,3,0.102941176,0.675675676,0.313888889,0.087719298,0.436842105,0.597811218,0.244252874,Stanley Baldwin
Baldwin,Stanley,200,22792,1925,4,0.077694236,0.724725944,0.339237057,0.119469027,0.414084507,0.618867925,0.239160839,Stanley Baldwin
Baldwin,Stanley,200,26616,1926,1,0.067510549,0.663419913,0.334816463,0.08974359,0.4296875,0.590138675,0.252304147,Stanley Baldwin
Baldwin,Stanley,200,17195,1926,2,0.124528302,0.72046589,0.354026846,0.072289157,0.381882771,0.610738255,0.243055556,Stanley Baldwin
Baldwin,Stanley,200,21413,1926,3,0.102941176,0.756587202,0.323478261,0.072289157,0.470472441,0.637840975,0.194545455,Stanley Baldwin
Baldwin,Stanley,200,10365,1926,4,0.155102041,0.650568182,0.294117647,0.108433735,0.399361022,0.579320113,0.199356913,Stanley Baldwin
Baldwin,Stanley,200,13896,1927,1,0.133891213,0.693693694,0.351906158,0.080357143,0.480263158,0.591666667,0.215805471,Stanley Baldwin
Baldwin,Stanley,200,12995,1927,2,0.111111111,0.694235589,0.385572139,0.118811881,0.487671233,0.61668682,0.246073298,Stanley Baldwin
Baldwin,Stanley,200,5882,1927,3,0.12173913,0.777251185,0.333333333,0.073170732,0.393333333,0.626033058,0.198717949,Stanley Baldwin
Baldwin,Stanley,200,18571,1927,4,0.073604061,0.725085911,0.394990366,0.060344828,0.417142857,0.622464899,0.23246493,Stanley Baldwin
Baldwin,Stanley,200,20115,1928,1,0.111872146,0.683381089,0.324752475,0.075,0.45232816,0.594488189,0.213692946,Stanley Baldwin
Baldwin,Stanley,200,11694,1928,2,0.049242424,0.651041667,0.344173442,0.049382716,0.38147139,0.623718887,0.22752809,Stanley Baldwin
Baldwin,Stanley,200,21887,1928,4,0.130208333,0.625344353,0.368960469,0.092105263,0.488454707,0.60087995,0.204268293,Stanley Baldwin
Baldwin,Stanley,200,6524,1929,1,0.042016807,0.820175439,0.25308642,0,0.449704142,0.660569106,0.25477707,Stanley Baldwin
Baldwin,Stanley,200,13849,1935,3,0.071969697,0.685416667,0.295896328,0.114457831,0.446194226,0.594784353,0.256756757,Stanley Baldwin
Baldwin,Stanley,200,22985,1935,4,0.106796117,0.569428238,0.358722359,0.093103448,0.415841584,0.567893784,0.226295828,Stanley Baldwin
Baldwin,Stanley,200,15278,1936,1,0.162698413,0.671280277,0.333333333,0.084158416,0.472289157,0.60284951,0.219354839,Stanley Baldwin
Baldwin,Stanley,200,32357,1936,2,0.148531952,0.668959587,0.291625616,0.071428571,0.432098765,0.614013267,0.223602484,Stanley Baldwin
Baldwin,Stanley,200,5424,1936,3,0.03030303,0.740740741,0.3,0.022222222,0.362162162,0.583783784,0.24852071,Stanley Baldwin
Baldwin,Stanley,200,27360,1936,4,0.125269978,0.691248771,0.357142857,0.117845118,0.379907621,0.592592593,0.215277778,Stanley Baldwin
Baldwin,Stanley,200,21819,1937,1,0.124675325,0.681003584,0.355524079,0.109589041,0.458598726,0.614481409,0.263622975,Stanley Baldwin
Baldwin,Stanley,200,10840,1937,2,0.124401914,0.608579088,0.309133489,0.10619469,0.412887828,0.615916955,0.197080292,Stanley Baldwin
Blair,Tony,200,35929,1997,2,0.132780083,0.660839161,0.441825095,0.134819533,0.358865248,0.525534701,0.283018868,Tony Blair
Blair,Tony,200,22516,1997,3,0.102040816,0.616321559,0.441753172,0.112324493,0.334080717,0.517458101,0.279620853,Tony Blair
Blair,Tony,200,35052,1997,4,0.081471748,0.666908563,0.427350427,0.096584217,0.371329879,0.530401035,0.279049296,Tony Blair
Blair,Tony,200,49424,1998,1,0.175,0.592883307,0.379868185,0.110424028,0.350877193,0.511796162,0.26749226,Tony Blair
Blair,Tony,200,42774,1998,2,0.094704684,0.663253697,0.42985843,0.100529101,0.361256545,0.533936652,0.26746507,Tony Blair
Blair,Tony,200,17749,1998,3,0.209964413,0.587657784,0.384984026,0.100858369,0.375796178,0.496964441,0.271666667,Tony Blair
Blair,Tony,200,43607,1998,4,0.099389712,0.674907293,0.403311258,0.103964758,0.364022663,0.494126285,0.274038462,Tony Blair
Blair,Tony,200,43458,1999,1,0.109074244,0.667247387,0.427554981,0.09156845,0.36433121,0.522744221,0.268795742,Tony Blair
Blair,Tony,200,49232,1999,2,0.092865929,0.65004985,0.419565217,0.117865085,0.425149701,0.508244423,0.262716601,Tony Blair
Blair,Tony,200,17780,1999,3,0.149681529,0.643769968,0.416520211,0.118681319,0.407843137,0.536476868,0.240707965,Tony Blair
Blair,Tony,200,34763,1999,4,0.10251046,0.645288994,0.388987567,0.106407323,0.325630252,0.529356943,0.273559012,Tony Blair
Blair,Tony,200,35188,2000,1,0.128787879,0.609147609,0.426666667,0.106971154,0.387225549,0.549180328,0.273576097,Tony Blair
Blair,Tony,200,34455,2000,2,0.160349854,0.618138425,0.40417802,0.126943005,0.377224199,0.537454874,0.280867107,Tony Blair
Blair,Tony,200,38534,2000,3,0.151057402,0.629427793,0.418706294,0.128297362,0.351449275,0.564255319,0.275583483,Tony Blair
Blair,Tony,200,32895,2000,4,0.100137174,0.649762282,0.414441147,0.125661376,0.355555556,0.532589286,0.317297851,Tony Blair
Blair,Tony,200,32923,2001,1,0.127232143,0.643333333,0.39291598,0.115995116,0.362537764,0.5105713,0.244406196,Tony Blair
Blair,Tony,200,19516,2001,2,0.172297297,0.692206077,0.398002853,0.123076923,0.340599455,0.549668874,0.244444444,Tony Blair
Blair,Tony,200,9166,2001,3,0.277310924,0.610644258,0.413965087,0.106382979,0.333333333,0.518341308,0.264248705,Tony Blair
Blair,Tony,200,55814,2001,4,0.212955466,0.585365854,0.384535547,0.133753501,0.409141583,0.534833869,0.278077754,Tony Blair
Blair,Tony,200,33924,2002,1,0.133526851,0.662483487,0.394691781,0.108998733,0.380348653,0.53429101,0.265448216,Tony Blair
Blair,Tony,200,42955,2002,2,0.177514793,0.628323108,0.398869347,0.10724365,0.384615385,0.528735632,0.264495114,Tony Blair
Blair,Tony,200,26842,2002,3,0.182866557,0.658803707,0.411075612,0.093537415,0.391791045,0.533934252,0.264900662,Tony Blair
Blair,Tony,200,57442,2002,4,0.170967742,0.631711409,0.39781746,0.108327192,0.410185185,0.531133714,0.280620155,Tony Blair
Blair,Tony,200,47576,2003,1,0.174556213,0.605438687,0.43676815,0.079295154,0.423553719,0.507710916,0.248488513,Tony Blair
Blair,Tony,200,50459,2003,2,0.11790393,0.603309693,0.396140749,0.129496403,0.432821497,0.526471458,0.244604317,Tony Blair
Blair,Tony,200,21570,2003,3,0.200455581,0.601873536,0.384114583,0.109060403,0.374100719,0.546819157,0.248663102,Tony Blair
Blair,Tony,200,42603,2003,4,0.16553727,0.631019387,0.410887397,0.118778281,0.375959079,0.53580705,0.267334361,Tony Blair
Blair,Tony,200,42971,2004,1,0.263083451,0.587570621,0.379497624,0.093632959,0.368368368,0.528295606,0.242209632,Tony Blair
Blair,Tony,200,49385,2004,2,0.135617416,0.609633718,0.339012926,0.114490161,0.418432203,0.513222632,0.234830097,Tony Blair
Blair,Tony,200,32257,2004,3,0.2,0.637795276,0.399130435,0.111267606,0.366946779,0.549975857,0.25,Tony Blair
Blair,Tony,200,10021,2005,3,0.411392405,0.648093842,0.36,0.133333333,0.586538462,0.602620087,0.275510204,Tony Blair
Callaghan,James,200,35632,1976,2,0.086680761,0.632365875,0.280740741,0.099009901,0.414772727,0.60949979,0.238910506,James Callaghan
Callaghan,James,200,17402,1976,3,0.155462185,0.669039146,0.291788856,0.09,0.419847328,0.640776699,0.232628399,James Callaghan
Callaghan,James,200,50719,1976,4,0.132841328,0.674224344,0.291643298,0.098092643,0.366960054,0.618105516,0.232624928,James Callaghan
Callaghan,James,200,43163,1977,1,0.07977208,0.683056478,0.293706294,0.097133758,0.310049893,0.594326241,0.235140431,James Callaghan
Callaghan,James,200,31012,1977,2,0.089583333,0.679464286,0.303776683,0.106521739,0.359963269,0.588541667,0.252542373,James Callaghan
Callaghan,James,200,15702,1977,3,0.106741573,0.664670659,0.294010889,0.164772727,0.365758755,0.596456693,0.276951673,James Callaghan
Callaghan,James,200,27381,1977,4,0.101910828,0.681473456,0.329174664,0.1,0.374720358,0.597694524,0.257199603,James Callaghan
Callaghan,James,200,32674,1978,1,0.071428571,0.657009346,0.322142286,0.096418733,0.344343518,0.596351731,0.243442623,James Callaghan
Callaghan,James,200,47431,1978,2,0.10181311,0.635109718,0.30052356,0.111831442,0.373371105,0.613057325,0.233604336,James Callaghan
Callaghan,James,200,22879,1978,3,0.105740181,0.729765013,0.306849315,0.080996885,0.414211438,0.59917639,0.240223464,James Callaghan
Callaghan,James,200,34683,1978,4,0.121399177,0.65942029,0.298136646,0.08419244,0.365945437,0.589239966,0.25060048,James Callaghan
