lastname,firstname,Ccode,Word Count,year,quarter,i1,i2,i3,i4a,i4b,i5ap,i5pr,i5re,i5op,i5th,i5pu,p1,p2,p3,p4,p5,name
Asquith,Herbert,200,23112,1908,2,0.647058824,0.262254902,0.356141869,0.352941176,0.455882353,0.654411765,0.014705882,0.154411765,0.066176471,0.036764706,0.073529412,0.531034483,0.323371648,0.160402695,0.238178634,0.961795505,Herbert Asquith
Asquith,Herbert,200,13740,1908,3,0.65,0.320833333,0.274375,0.35,0.6,0.575,0.025,0.225,0.0875,0.0125,0.075,0.423357664,0.205596107,0.190164633,0.225988701,0.957024942,Herbert Asquith
Asquith,Herbert,200,39663,1908,4,0.654205607,0.316199377,0.268931784,0.345794393,0.588785047,0.574766355,0.037383178,0.214953271,0.079439252,0.014018692,0.079439252,0.487046632,0.249568221,0.152680609,0.21703854,0.966862424,Herbert Asquith
Asquith,Herbert,200,12742,1909,1,0.464788732,0.154929577,0.230628843,0.535211268,0.450704225,0.563380282,0.056338028,0.112676056,0.098591549,0.056338028,0.112676056,0.245762712,0.073446328,0.103662741,0.231270358,0.976025881,Herbert Asquith
Asquith,Herbert,200,28611,1909,2,0.580838323,0.239520958,0.33281222,0.419161677,0.443113772,0.634730539,0.005988024,0.149700599,0.113772455,0.023952096,0.071856287,0.487279843,0.281148076,0.150812076,0.246312684,0.962853073,Herbert Asquith
Asquith,Herbert,200,57349,1909,3,0.641509434,0.245283019,0.352865789,0.358490566,0.402515723,0.657232704,0.044025157,0.119496855,0.072327044,0.025157233,0.081761006,0.387906977,0.181705426,0.131742564,0.228284279,0.969925244,Herbert Asquith
Asquith,Herbert,200,12854,1909,4,0.566666667,0.211111111,0.368,0.433333333,0.3,0.666666667,0.016666667,0.1,0.116666667,0.05,0.05,0.313207547,0.174842767,0.109171947,0.184615385,0.979845179,Herbert Asquith
Asquith,Herbert,200,23741,1910,1,0.467741935,0.182795699,0.249687825,0.532258065,0.5,0.564516129,0.032258065,0.137096774,0.153225806,0,0.112903226,0.386533666,0.152119701,0.159647017,0.236190476,0.962292895,Herbert Asquith
Asquith,Herbert,200,35541,1910,2,0.638095238,0.284126984,0.268843537,0.361904762,0.447619048,0.59047619,0.076190476,0.152380952,0.085714286,0.023809524,0.071428571,0.456953642,0.222516556,0.148458401,0.21761658,0.96769299,Herbert Asquith
Asquith,Herbert,200,33866,1910,3,0.651685393,0.265917603,0.330463325,0.348314607,0.494382022,0.634831461,0.039325843,0.151685393,0.073033708,0.005617978,0.095505618,0.389534884,0.173934109,0.149065373,0.205542725,0.969360697,Herbert Asquith
Asquith,Herbert,200,39927,1911,1,0.533568905,0.261484099,0.188203124,0.466431095,0.607773852,0.505300353,0.053003534,0.208480565,0.109540636,0.028268551,0.09540636,0.39010989,0.171703297,0.15011623,0.27992087,0.957979334,Herbert Asquith
Asquith,Herbert,200,47850,1911,2,0.538961039,0.241341991,0.227154664,0.461038961,0.532467532,0.548701299,0.048701299,0.172077922,0.116883117,0.019480519,0.094155844,0.332586786,0.147816349,0.13492449,0.256452956,0.965398216,Herbert Asquith
Asquith,Herbert,200,12241,1911,3,0.741176471,0.380392157,0.294449827,0.258823529,0.588235294,0.588235294,0.047058824,0.235294118,0.070588235,0,0.058823529,0.39100346,0.176470588,0.164291615,0.227272727,0.962660997,Herbert Asquith
Asquith,Herbert,200,25039,1911,4,0.846153846,0.41025641,0.375345168,0.153846154,0.435897436,0.66025641,0.076923077,0.185897436,0.044871795,0,0.032051282,0.538461538,0.256410256,0.187989599,0.260869565,0.950959235,Herbert Asquith
Asquith,Herbert,200,32538,1912,1,0.534246575,0.214611872,0.304034528,0.465753425,0.438356164,0.611872146,0.02283105,0.132420091,0.141552511,0.00456621,0.086757991,0.522906793,0.241179568,0.194681162,0.257042254,0.949958715,Herbert Asquith
Asquith,Herbert,200,32266,1912,2,0.6,0.266666667,0.287484082,0.4,0.48,0.6,0.034285714,0.165714286,0.108571429,0.017142857,0.074285714,0.437288136,0.175141243,0.16137202,0.22875817,0.963084832,Herbert Asquith
Asquith,Herbert,200,13524,1912,3,0.555555556,0.285185185,0.212740741,0.444444444,0.688888889,0.511111111,0.022222222,0.244444444,0.111111111,0.011111111,0.1,0.480769231,0.261217949,0.161741864,0.302013423,0.951151786,Herbert Asquith
Asquith,Herbert,200,56787,1912,4,0.677884615,0.333333333,0.283325629,0.322115385,0.533653846,0.588942308,0.043269231,0.206730769,0.086538462,0.014423077,0.060096154,0.512241055,0.250784683,0.169608563,0.281461434,0.952261731,Herbert Asquith
Asquith,Herbert,200,51075,1913,1,0.593220339,0.262711864,0.278923681,0.406779661,0.491525424,0.593220339,0.036723164,0.166666667,0.107344633,0.016949153,0.079096045,0.402020202,0.191245791,0.153038261,0.263392857,0.959690815,Herbert Asquith
Asquith,Herbert,200,37502,1913,2,0.568965517,0.231321839,0.282639715,0.431034483,0.49137931,0.599137931,0.034482759,0.150862069,0.099137931,0.021551724,0.094827586,0.385542169,0.184236948,0.147151256,0.258928571,0.961898336,Herbert Asquith
Asquith,Herbert,200,18975,1913,3,0.668965517,0.287356322,0.332680143,0.331034483,0.372413793,0.64137931,0.062068966,0.131034483,0.089655172,0.020689655,0.055172414,0.520766773,0.252396166,0.184280742,0.316593886,0.941657844,Herbert Asquith
Asquith,Herbert,200,19978,1914,1,0.546875,0.239583333,0.245166016,0.453125,0.40625,0.5703125,0.0703125,0.1328125,0.1328125,0.0234375,0.0703125,0.436692506,0.200689061,0.163623981,0.248543689,0.959332292,Herbert Asquith
Asquith,Herbert,200,34069,1914,2,0.6,0.29929078,0.209836125,0.4,0.570212766,0.527659574,0.059574468,0.212765957,0.085106383,0.042553191,0.072340426,0.487022901,0.240203562,0.18240289,0.264044944,0.951837439,Herbert Asquith
Asquith,Herbert,200,36068,1914,3,0.568627451,0.232679739,0.282306805,0.431372549,0.478431373,0.6,0.031372549,0.152941176,0.094117647,0.035294118,0.08627451,0.5,0.220238095,0.17195775,0.292766935,0.949656457,Herbert Asquith
Asquith,Herbert,200,15582,1914,4,0.509090909,0.187878788,0.310743802,0.490909091,0.381818182,0.618181818,0.036363636,0.1,0.154545455,0,0.090909091,0.435897436,0.166666667,0.169329389,0.260663507,0.955862008,Herbert Asquith
Asquith,Herbert,200,25908,1915,1,0.409395973,0.192393736,0.136363227,0.590604027,0.684563758,0.44295302,0.060402685,0.201342282,0.140939597,0.013422819,0.140939597,0.420168067,0.204481793,0.138726079,0.2384,0.966927703,Herbert Asquith
Asquith,Herbert,200,22812,1915,2,0.666666667,0.280193237,0.328922495,0.333333333,0.420289855,0.637681159,0.057971014,0.137681159,0.079710145,0.014492754,0.072463768,0.455337691,0.221496006,0.152496903,0.231155779,0.96474946,Herbert Asquith
Asquith,Herbert,200,22832,1915,3,0.583333333,0.212962963,0.324074074,0.416666667,0.472222222,0.631944444,0.034722222,0.125,0.090277778,0.006944444,0.111111111,0.379807692,0.141025641,0.150772004,0.257142857,0.961230056,Herbert Asquith
Asquith,Herbert,200,6889,1915,4,0.636363636,0.290909091,0.319272727,0.363636364,0.509090909,0.618181818,0.018181818,0.181818182,0.109090909,0,0.072727273,0.418803419,0.145299145,0.194915626,0.319767442,0.937672329,Herbert Asquith
Asquith,Herbert,200,24504,1916,1,0.597633136,0.276134122,0.242631561,0.402366864,0.532544379,0.562130178,0.053254438,0.183431953,0.094674556,0.023668639,0.082840237,0.398797595,0.188376754,0.140755258,0.252994012,0.964389763,Herbert Asquith
Asquith,Herbert,200,27995,1916,2,0.66,0.276666667,0.33436,0.34,0.52,0.635,0.025,0.17,0.065,0.015,0.09,0.409893993,0.173144876,0.144489256,0.261096606,0.962274346,Herbert Asquith
Asquith,Herbert,200,52605,1916,3,0.712643678,0.288314176,0.405766944,0.287356322,0.367816092,0.692528736,0.037356322,0.126436782,0.063218391,0.022988506,0.057471264,0.449334698,0.205731832,0.145962878,0.262641509,0.961664089,Herbert Asquith
