lastname,firstname,Ccode,Word Count,year,distrust,task,bace,igb,sc,cc,power,name
Asquith,Herbert,200,76515,1908,0.16243264,0.674617462,0.363962349,0.086383602,0.397314769,0.602249677,0.215613383,Herbert Asquith
Asquith,Herbert,200,111556,1909,0.158671587,0.657785467,0.350113673,0.099116781,0.386990077,0.59539801,0.212630165,Herbert Asquith
Asquith,Herbert,200,93148,1910,0.145043247,0.671733772,0.368282601,0.085828343,0.405464007,0.596471885,0.211180124,Herbert Asquith
Asquith,Herbert,200,125057,1911,0.131691142,0.675303197,0.349742268,0.076923077,0.413275613,0.597969075,0.218191518,Herbert Asquith
Asquith,Herbert,200,135115,1912,0.114386792,0.683022571,0.365870787,0.078299776,0.420104439,0.597309881,0.21367936,Herbert Asquith
Asquith,Herbert,200,107552,1913,0.11349547,0.64317745,0.358418741,0.076687117,0.402755527,0.605151288,0.238253012,Herbert Asquith
Asquith,Herbert,200,105697,1914,0.176782557,0.639083969,0.373257468,0.098265896,0.410797394,0.587970698,0.211674528,Herbert Asquith
Asquith,Herbert,200,78441,1915,0.174955595,0.626439429,0.37205524,0.092693566,0.407289294,0.597371783,0.231926452,Herbert Asquith
Asquith,Herbert,200,119174,1916,0.17262232,0.663008565,0.364192604,0.117907801,0.391163793,0.598593257,0.234777839,Herbert Asquith
Attlee,Clement,200,42731,1945,0.122928177,0.657458564,0.327683616,0.130584192,0.447761194,0.557142857,0.244575937,Clement Attlee
Attlee,Clement,200,85303,1946,0.095205942,0.678435445,0.340749897,0.126044568,0.443367656,0.569874932,0.243046641,Clement Attlee
Attlee,Clement,200,91088,1947,0.081232493,0.684103261,0.321381723,0.116666667,0.424065421,0.567741935,0.237272727,Clement Attlee
Attlee,Clement,200,40589,1948,0.129746835,0.672389127,0.325971731,0.121908127,0.418549346,0.575163399,0.235779817,Clement Attlee
Attlee,Clement,200,39658,1949,0.120147874,0.716881151,0.326007326,0.105504587,0.448314607,0.563295615,0.202097235,Clement Attlee
Attlee,Clement,200,69930,1950,0.107224335,0.664684899,0.317598769,0.116487455,0.439915671,0.548038784,0.224165342,Clement Attlee
Attlee,Clement,200,29259,1951,0.115079365,0.745845552,0.319760479,0.087058824,0.494176373,0.579341317,0.23803681,Clement Attlee
Baldwin,Stanley,200,18406,1923,0.100323625,0.707055215,0.256214149,0.112745098,0.47260274,0.626794258,0.212723658,Stanley Baldwin
Baldwin,Stanley,200,7256,1924,0.130841121,0.675105485,0.342629482,0.099173554,0.336538462,0.606227106,0.197530864,Stanley Baldwin
Baldwin,Stanley,200,57895,1925,0.083792723,0.685602351,0.323335028,0.10619469,0.422386484,0.618853442,0.237994723,Stanley Baldwin
Baldwin,Stanley,200,75589,1926,0.104299363,0.702318624,0.331383201,0.083204931,0.422807018,0.607938218,0.229067245,Stanley Baldwin
Baldwin,Stanley,200,51344,1927,0.103349282,0.715770171,0.375,0.083783784,0.447916667,0.613284548,0.2284041,Stanley Baldwin
Baldwin,Stanley,200,54691,1928,0.101876676,0.650810811,0.3475,0.077568134,0.447813822,0.604322527,0.214983713,Stanley Baldwin
Baldwin,Stanley,200,7433,1929,0.040268456,0.809716599,0.255681818,0,0.446236559,0.653985507,0.261627907,Stanley Baldwin
Baldwin,Stanley,200,40356,1935,0.089030207,0.626538988,0.338983051,0.101010101,0.435497124,0.575468484,0.239941478,Stanley Baldwin
Baldwin,Stanley,200,80419,1936,0.134960517,0.681710214,0.322843823,0.088592233,0.41509434,0.602791014,0.221590909,Stanley Baldwin
Baldwin,Stanley,200,32659,1937,0.124579125,0.658677686,0.3380406,0.108433735,0.440305635,0.615,0.23853211,Stanley Baldwin
Blair,Tony,200,93497,1997,0.105369807,0.653072472,0.436754177,0.115542763,0.356647399,0.525488249,0.280750308,Tony Blair
Blair,Tony,200,153554,1998,0.129325513,0.635,0.401567457,0.104473752,0.360163205,0.511632591,0.269810591,Tony Blair
Blair,Tony,200,145233,1999,0.104088287,0.653551718,0.414878961,0.107643481,0.382815823,0.52106136,0.264444444,Tony Blair
Blair,Tony,200,141072,2000,0.134453782,0.626151013,0.416115042,0.121790858,0.367772512,0.546100866,0.286052569,Tony Blair
Blair,Tony,200,117419,2001,0.192564347,0.620904836,0.391939665,0.124354005,0.376811594,0.528883184,0.261595092,Tony Blair
Blair,Tony,200,161163,2002,0.167875648,0.641954268,0.399650044,0.105873058,0.393919793,0.531542786,0.27040724,Tony Blair
Blair,Tony,200,162208,2003,0.156503097,0.610557005,0.410467826,0.108398175,0.408538486,0.525690966,0.251862891,Tony Blair
Blair,Tony,200,124613,2004,0.183284457,0.60976112,0.368786127,0.10726512,0.385773429,0.527801129,0.24137931,Tony Blair
Blair,Tony,200,13024,2005,0.353233831,0.612903226,0.37994723,0.125,0.589403974,0.614074915,0.290322581,Tony Blair
Blair,Tony,200,6665,2006,0.424242424,0.658823529,0.424242424,0.142857143,0.529411765,0.633507853,0.310077519,Tony Blair
Callaghan,James,200,103753,1976,0.122047244,0.659259259,0.287811271,0.097289785,0.394768133,0.618866822,0.234815618,James Callaghan
Callaghan,James,200,117258,1977,0.090660841,0.679427019,0.304972628,0.107526882,0.346153846,0.593778472,0.250469925,James Callaghan
Callaghan,James,200,137667,1978,0.100200401,0.662101434,0.306043638,0.095061073,0.36915078,0.600749146,0.241153082,James Callaghan
Callaghan,James,200,59188,1979,0.110960758,0.676495726,0.314871795,0.110682111,0.387038159,0.585322945,0.264410365,James Callaghan
Campbell,Henry,200,56705,1906,0.188679245,0.702234637,0.304111245,0.092948718,0.373229462,0.622415414,0.205637412,Henry Campbell
Campbell,Henry,200,52785,1907,0.168789809,0.691798942,0.29787234,0.116666667,0.415108452,0.626496192,0.228325612,Henry Campbell
Cecil,Robert,200,16047,1885,0.310483871,0.637149028,0.31122449,0.103286385,0.398058252,0.651732883,0.27613941,Robert Cecil
Cecil,Robert,200,13508,1886,0.251141553,0.669833729,0.292237443,0.125541126,0.375404531,0.627722772,0.243436754,Robert Cecil
Cecil,Robert,200,21971,1887,0.232091691,0.645933014,0.301980198,0.144067797,0.334645669,0.61849357,0.253424658,Robert Cecil
Cecil,Robert,200,46594,1888,0.31369863,0.629249012,0.306486101,0.132701422,0.363143631,0.616055322,0.267113095,Robert Cecil
Cecil,Robert,200,29436,1889,0.208247423,0.661167513,0.275346852,0.127272727,0.357482185,0.607472325,0.281075028,Robert Cecil
Cecil,Robert,200,35869,1891,0.16496945,0.688183807,0.288614298,0.121276596,0.439511654,0.646953405,0.260223048,Robert Cecil
Cecil,Robert,200,22571,1896,0.206896552,0.611607143,0.295707472,0.088803089,0.413721414,0.650689035,0.235973597,Robert Cecil
Cecil,Robert,200,21793,1898,0.263473054,0.649825784,0.291066282,0.103896104,0.388686131,0.62591687,0.238964992,Robert Cecil
Cecil,Robert,200,24044,1900,0.246987952,0.596774194,0.325693607,0.089005236,0.339849624,0.611349036,0.247162673,Robert Cecil
Cecil,Robert,200,23711,1901,0.274834437,0.652968037,0.283149171,0.111111111,0.387323944,0.603514552,0.252148997,Robert Cecil
Cecil,Robert,200,13509,1902,0.268292683,0.575682382,0.287598945,0.206422018,0.357933579,0.594455852,0.260869565,Robert Cecil
Chamberlain,Neville,200,37600,1937,0.117117117,0.695195195,0.342708333,0.111864407,0.430351076,0.629352303,0.24186551,Neville Chamberlain
Chamberlain,Neville,200,165217,1938,0.119158155,0.691707783,0.372582002,0.112691466,0.434591961,0.606123688,0.228303532,Neville Chamberlain
Chamberlain,Neville,200,163240,1939,0.120849934,0.670560352,0.359962626,0.10410642,0.453521127,0.604307974,0.229297821,Neville Chamberlain
Chamberlain,Neville,200,50065,1940,0.147804054,0.635465116,0.372990354,0.111111111,0.408634538,0.577185185,0.266115702,Neville Chamberlain
Churchill,Winston,200,27616,1951,0.109540636,0.623820755,0.300813008,0.154,0.428120063,0.59423275,0.255702281,Winston Churchill
Churchill,Winston,200,91955,1952,0.154094133,0.642267671,0.322150072,0.124897959,0.429866206,0.559572461,0.20390537,Winston Churchill
Churchill,Winston,200,55955,1953,0.11797235,0.627740948,0.314133333,0.121394231,0.452877925,0.583838874,0.23013245,Winston Churchill
Churchill,Winston,200,60050,1954,0.100086281,0.656701031,0.318569904,0.119596542,0.417736289,0.560291771,0.210963455,Winston Churchill
Churchill,Winston,200,17119,1955,0.115789474,0.695736434,0.29601518,0.09375,0.445652174,0.58893617,0.18972332,Winston Churchill
Disraeli,Benjamin,200,79939,1868,0.172108844,0.655108645,0.307129094,0.104854369,0.409364859,0.602669039,0.216184054,Benjamin Disraeli
Disraeli,Benjamin,200,54620,1874,0.131238447,0.666917293,0.313176321,0.11774461,0.410164639,0.617739403,0.22324967,Benjamin Disraeli
Disraeli,Benjamin,200,78598,1875,0.175408426,0.655053974,0.32394958,0.095294118,0.386766076,0.626075571,0.233940972,Benjamin Disraeli
Disraeli,Benjamin,200,85142,1876,0.200566974,0.634928007,0.318074191,0.101325758,0.409288824,0.615757576,0.225426483,Benjamin Disraeli
Douglas-Home,Alec,200,24313,1963,0.160305344,0.569856986,0.327887981,0.135888502,0.485122898,0.564736842,0.197590361,Alec Douglas-Home
Douglas-Home,Alec,200,61537,1964,0.067164179,0.654189707,0.347389558,0.089337176,0.4875,0.583422804,0.2235196,Alec Douglas-Home
Eden,Anthony,200,63307,1955,0.076923077,0.610490112,0.372940156,0.103792415,0.485042735,0.552134211,0.22935368,Anthony Eden
Eden,Anthony,200,94970,1956,0.109079033,0.657970183,0.381700054,0.07416719,0.483235396,0.555492154,0.210467079,Anthony Eden
George,David,200,10714,1916,0.252252252,0.552325581,0.35443038,0.185185185,0.430379747,0.499367889,0.321192053,David George
George,David,200,40017,1917,0.2304,0.625856164,0.394934334,0.077601411,0.378571429,0.544011544,0.211350294,David George
George,David,200,64083,1918,0.17208966,0.64167916,0.347051597,0.154471545,0.36,0.553362405,0.227684347,David George
George,David,200,85912,1919,0.192307692,0.640266469,0.354923414,0.099056604,0.353145121,0.574507807,0.226294091,David George
George,David,200,125082,1920,0.163772691,0.671964241,0.340419336,0.103396226,0.360811253,0.586730616,0.225688073,David George
George,David,200,54995,1921,0.214925373,0.710976282,0.331639136,0.071566731,0.365546218,0.5614476,0.194993412,David George
George,David,200,80531,1922,0.157825802,0.655146506,0.348623853,0.131919906,0.400926999,0.59146561,0.238527484,David George
