lastname,firstname,Ccode,Word Count,year,i1,i2,i3,i4a,i4b,i5ap,i5pr,i5re,i5op,i5th,i5pu,p1,p2,p3,p4,p5,name
Asquith,Herbert,200,76515,1908,0.651162791,0.3,0.294485668,0.348837209,0.548837209,0.6,0.027906977,0.197674419,0.076744186,0.020930233,0.076744186,0.48818366,0.263110511,0.157836033,0.225013082,0.964484828,Herbert Asquith
Asquith,Herbert,200,111556,1909,0.597402597,0.229978355,0.332083825,0.402597403,0.409090909,0.641233766,0.032467532,0.125,0.090909091,0.030844156,0.079545455,0.386679444,0.192940425,0.126912511,0.227894932,0.971077282,Herbert Asquith
Asquith,Herbert,200,93148,1910,0.6015625,0.253255208,0.282510376,0.3984375,0.4765625,0.599609375,0.052734375,0.1484375,0.09765625,0.01171875,0.08984375,0.4164859,0.189081706,0.150004,0.217317487,0.967401508,Herbert Asquith
Asquith,Herbert,200,125057,1911,0.615384615,0.294070513,0.242424418,0.384615385,0.545673077,0.558894231,0.055288462,0.193509615,0.096153846,0.016826923,0.079326923,0.396258503,0.179138322,0.150135794,0.261306533,0.960768536,Herbert Asquith
Asquith,Herbert,200,135115,1912,0.615555556,0.286666667,0.278681481,0.384444444,0.515555556,0.588888889,0.034444444,0.184444444,0.106666667,0.012222222,0.073333333,0.494584838,0.231314347,0.172149407,0.265251989,0.954337027,Herbert Asquith
Asquith,Herbert,200,107552,1913,0.600547196,0.257637939,0.289711637,0.399452804,0.467852257,0.604651163,0.041039672,0.154582763,0.10123119,0.019151847,0.079343365,0.41535333,0.198610405,0.154997365,0.270941438,0.958004791,Herbert Asquith
Asquith,Herbert,200,105697,1914,0.565934066,0.248626374,0.251870245,0.434065934,0.480769231,0.574175824,0.048076923,0.160714286,0.107142857,0.03021978,0.07967033,0.473096447,0.214551607,0.171248937,0.269829503,0.953791984,Herbert Asquith
Asquith,Herbert,200,78441,1915,0.559670782,0.234567901,0.254839201,0.440329218,0.526748971,0.574074074,0.047325103,0.158436214,0.104938272,0.010288066,0.104938272,0.419618529,0.187102634,0.148877043,0.248720573,0.962971217,Herbert Asquith
Asquith,Herbert,200,119174,1916,0.662145499,0.284011508,0.324423578,0.337854501,0.468557337,0.631319359,0.038224414,0.161528977,0.0702836,0.025893958,0.072749692,0.423580786,0.191848617,0.140565588,0.261528539,0.963238087,Herbert Asquith
Attlee,Clement,200,42731,1945,0.583333333,0.276041667,0.273046875,0.416666667,0.552083333,0.578125,0.015625,0.197916667,0.119791667,0.010416667,0.078125,0.407319953,0.210547029,0.11960848,0.18479307,0.977897182,Clement Attlee
Attlee,Clement,200,85303,1946,0.6015625,0.272786458,0.296847534,0.3984375,0.453125,0.60546875,0.03515625,0.16015625,0.126953125,0.005859375,0.06640625,0.356308411,0.190031153,0.112968109,0.230215827,0.973992953,Clement Attlee
Attlee,Clement,200,91088,1947,0.593220339,0.261299435,0.307138753,0.406779661,0.415254237,0.616525424,0.031779661,0.148305085,0.125,0.019067797,0.059322034,0.471846847,0.246996997,0.139940194,0.209964413,0.970617539,Clement Attlee
