lastname,firstname,Ccode,Word Count,distrust,task,bace,igb,sc,cc,power,name
Adams,John,2,12463,0.223350254,0.47761194,0.253246753,0.164772727,0.267857143,0.639676113,0.358974359,John Adams
Adams,JohnQuincy,2,34890,0.149405772,0.629776021,0.172043011,0.125333333,0.205128205,0.64735837,0.292307692,JohnQuincy Adams
Arthur,Chester,2,40145,0.181001284,0.721126761,0.189910979,0.125874126,0.267295597,0.659202622,0.260997067,Chester Arthur
Buchanan,James,2,60490,0.242547425,0.703787879,0.18079096,0.150943396,0.29468599,0.580497569,0.23800738,James Buchanan
Bush,GeorgeH.W.,2,2974409,0.119386418,0.529736979,0.348155681,0.146115916,0.408195429,0.584647092,0.276167867,GeorgeH.W. Bush
Bush,GeorgeW,2,5594647,0.206884851,0.495095917,0.362094906,0.158646529,0.317862337,0.58501943,0.281751771,GeorgeW Bush
Carter,Jimmy,2,2803694,0.072585188,0.579725274,0.331050272,0.1570506,0.446612936,0.623901142,0.259755842,Jimmy Carter
Cleveland,Grover,2,120275,0.277542373,0.706439922,0.209059233,0.113861386,0.305769231,0.592149866,0.281142857,Grover Cleveland
Clinton,William,2,7514450,0.113834372,0.545640759,0.383698477,0.111498742,0.463504084,0.603302128,0.276317753,William Clinton
Coolidge,Calvin,2,287850,0.183465459,0.658285243,0.295038536,0.158613257,0.407061267,0.569260632,0.271524772,Calvin Coolidge
Eisenhower,Dwight,2,1422675,0.167053922,0.53420208,0.337055457,0.157176471,0.465704605,0.53133043,0.242098004,Dwight Eisenhower
Fillmore,Millard,2,32096,0.276707531,0.678743961,0.17921147,0.166037736,0.3,0.603212374,0.31010453,Millard Fillmore
Ford,Gerald,2,346163,0.098925203,0.590221568,0.32120354,0.171989876,0.448495716,0.596802842,0.270672306,Gerald Ford
Grant,Ulysses,2,75300,0.19566787,0.718214842,0.213414634,0.131147541,0.402535658,0.612903226,0.286567164,Ulysses Grant
Harding,Warren,2,89762,0.213213213,0.588443396,0.28252373,0.111609647,0.390804598,0.556890725,0.255630631,Warren Harding
Harris,Benjamin,2,60949,0.230620155,0.735312307,0.219739292,0.130081301,0.425714286,0.601094766,0.238721805,Benjamin Harris
Harrison,William,2,8469,0.295857988,0.541666667,0.220930233,0.207792208,0.243589744,0.594339623,0.359550562,William Harrison
Hayes,Rutherford,2,47108,0.176406926,0.709002094,0.189542484,0.161971831,0.260416667,0.580615942,0.258675079,Rutherford Hayes
Hoover,Herbert,2,334174,0.142367067,0.686348862,0.330075522,0.12300414,0.462950675,0.616139076,0.267598994,Herbert Hoover
Jackson,Andrew,2,88220,0.230018304,0.671171171,0.224797219,0.134786918,0.287709497,0.596153846,0.237983587,Andrew Jackson
Jefferson,Thomas,2,24594,0.296398892,0.491202346,0.261980831,0.166324435,0.279220779,0.616016427,0.298412698,Thomas Jefferson
Johnson,Andrew,2,39323,0.233681462,0.638429752,0.256603774,0.13592233,0.392857143,0.558880309,0.294545455,Andrew Johnson
Johnson,Lyndon,2,1160642,0.097878605,0.553105242,0.358148237,0.129922224,0.430262206,0.569802631,0.266158839,Lyndon Johnson
Kennedy,John,2,559143,0.106422179,0.612808488,0.321879008,0.131928446,0.571514303,0.612230658,0.25904565,John Kennedy
Lincoln,Abraham ,2,32548,0.295774648,0.674364896,0.269794721,0.144927536,0.382113821,0.618933205,0.232835821,Abraham  Lincoln
Madison,James,2,24056,0.421267894,0.569204152,0.148148148,0.163879599,0.225490196,0.638247012,0.253012048,James Madison
McKinley,William,2,82726,0.176234214,0.707247557,0.211438475,0.113832853,0.250632911,0.5595898,0.280991736,William McKinley
Monroe,James,2,50596,0.206566347,0.723651452,0.225058005,0.171641791,0.36318408,0.567205225,0.31678487,James Monroe
Nixon,Richard,2,685782,0.150901216,0.601984479,0.361581687,0.15019432,0.4303233,0.619180503,0.262004484,Richard Nixon
Obama,Barack,2,5296220,0.14133226,0.59224948,0.409383069,0.125479469,0.388443122,0.593709039,0.290255616,Barack Obama
Pierce,Franklin,2,45797,0.242740999,0.668439716,0.204013378,0.092307692,0.293103448,0.589714286,0.290849673,Franklin Pierce
