lastname,firstname,Ccode,Word Count,i1,i2,i3,i4a,i4b,i5ap,i5pr,i5re,i5op,i5th,i5pu,p1,p2,p3,p4,p5,name
Adams,John,2,12463,0.581395349,0.271317829,0.248458626,0.418604651,0.604651163,0.558139535,0.023255814,0.209302326,0.093023256,0.023255814,0.093023256,0.38974359,0.173504274,0.125727811,0.099307159,0.987514328,John Adams
Adams,JohnQuincy,2,34890,0.743589744,0.367521368,0.318343195,0.256410256,0.512820513,0.615384615,0.051282051,0.205128205,0.076923077,0,0.051282051,0.55505618,0.3082397,0.164684257,0.041980624,0.993086452,JohnQuincy Adams
Arthur,Chester,2,40145,0.801169591,0.333333333,0.487103724,0.198830409,0.432748538,0.736842105,0.005847953,0.157894737,0.035087719,0.005847953,0.058479532,0.452078032,0.193101498,0.163066989,0.126666667,0.979344848,Chester Arthur
Buchanan,James,2,60490,0.623036649,0.258289703,0.290545764,0.376963351,0.64921466,0.591623037,0.015706806,0.204188482,0.036649215,0.031413613,0.120418848,0.229122056,0.057637402,0.111934577,0.092763477,0.989616559,James Buchanan
Bush,GeorgeH.W.,2,2974409,0.538310079,0.200586165,0.268690083,0.461689921,0.481379638,0.591268629,0.046372679,0.131513732,0.094069321,0.027599552,0.109176087,0.516476909,0.232219187,0.188412834,0.27800638,0.94762003,GeorgeH.W. Bush
Bush,GeorgeW,2,5594647,0.622441471,0.246710016,0.31061903,0.377558529,0.467600727,0.623853073,0.046552837,0.140814825,0.071270892,0.024522833,0.092985539,0.458730368,0.218150076,0.145607116,0.294374304,0.957137007,GeorgeW Bush
Carter,Jimmy,2,2803694,0.521221272,0.231490801,0.205638204,0.478778728,0.55762456,0.529818822,0.055569535,0.175222278,0.110216407,0.025582956,0.103590002,0.440655462,0.224192277,0.129867342,0.278544894,0.963826115,Jimmy Carter
Cleveland,Grover,2,120275,0.666666667,0.281045752,0.336691016,0.333333333,0.549019608,0.633986928,0.019607843,0.179738562,0.058823529,0.013071895,0.094771242,0.36475707,0.169446459,0.123399492,0.068872384,0.991501183,Grover Cleveland
Clinton,William,2,7514450,0.592561785,0.239373476,0.288835237,0.407438215,0.485034752,0.605320664,0.04524115,0.145719079,0.089396738,0.017524073,0.096798297,0.482258278,0.230971416,0.157313354,0.28990003,0.954394854,William Clinton
Coolidge,Calvin,2,287850,0.527777778,0.253637566,0.194536565,0.472222222,0.783730159,0.488095238,0.024801587,0.250992063,0.083333333,0.011904762,0.140873016,0.428099174,0.242607897,0.130659017,0.12191582,0.984070599,Calvin Coolidge
Eisenhower,Dwight,2,1422675,0.582780125,0.251022598,0.271695205,0.417219875,0.515389258,0.587809294,0.036310601,0.167270167,0.098471133,0.019714343,0.090424462,0.461170128,0.21270546,0.161394831,0.23969911,0.961313803,Dwight Eisenhower
Fillmore,Millard,2,32096,0.784946237,0.318996416,0.467776622,0.215053763,0.516129032,0.720430108,0,0.172043011,0.021505376,0,0.086021505,0.415794481,0.200444022,0.143850857,0.081293706,0.988305831,Millard Fillmore
Ford,Gerald,2,346163,0.544623656,0.235125448,0.24553642,0.455376344,0.469892473,0.569354839,0.051612903,0.151344086,0.117741935,0.026344086,0.083602151,0.448524118,0.216422686,0.141817734,0.308611249,0.956233452,Gerald Ford
Grant,Ulysses,2,75300,0.779411765,0.346813725,0.438765138,0.220588235,0.419117647,0.705882353,0.014705882,0.169117647,0.058823529,0.011029412,0.040441176,0.443307409,0.226361032,0.134403407,0.100184162,0.986534907,Ulysses Grant
Harding,Warren,2,89762,0.488752556,0.227675528,0.184653795,0.511247444,0.613496933,0.503067485,0.040899796,0.200408998,0.114519427,0.034764826,0.106339468,0.368510638,0.188368794,0.109525903,0.172243748,0.981134848,Warren Harding
Harris,Benjamin,2,60949,0.593582888,0.262032086,0.27407704,0.406417112,0.631016043,0.577540107,0.016042781,0.203208556,0.085561497,0.005347594,0.112299465,0.432632177,0.235550502,0.123644404,0.096094553,0.988118446,Benjamin Harris
Harrison,William,2,8469,0.555555556,0.351851852,0.17037037,0.444444444,0.666666667,0.444444444,0.055555556,0.277777778,0.166666667,0,0.055555556,0.305785124,0.125344353,0.123748378,0.069230769,0.991432805,William Harrison
Hayes,Rutherford,2,47108,0.797297297,0.353603604,0.432870709,0.202702703,0.513513514,0.695945946,0.006756757,0.195945946,0.027027027,0.013513514,0.060810811,0.494071146,0.251427317,0.155002161,0.088835534,0.9862303,Rutherford Hayes
Hoover,Herbert,2,334174,0.615681234,0.317266495,0.205349224,0.384318766,0.70437018,0.505784062,0.052699229,0.249357326,0.079691517,0.009640103,0.102827763,0.388007302,0.220381033,0.11519473,0.179324651,0.979342745,Herbert Hoover
Jackson,Andrew,2,88220,0.66255144,0.315500686,0.307341361,0.33744856,0.559670782,0.604938272,0.016460905,0.209876543,0.086419753,0.012345679,0.069958848,0.447476126,0.213278763,0.143184022,0.076535433,0.989041349,Andrew Jackson
Jefferson,Thomas,2,24594,0.53125,0.223958333,0.2453125,0.46875,0.5625,0.5625,0.03125,0.171875,0.109375,0.015625,0.109375,0.384236453,0.153940887,0.129767769,0.073059361,0.99051925,Thomas Jefferson
Johnson,Andrew,2,39323,0.443037975,0.232067511,0.128985739,0.556962025,0.784810127,0.417721519,0.050632911,0.253164557,0.113924051,0.025316456,0.139240506,0.244408946,0.085197018,0.10375578,0.059353869,0.993841693,Andrew Johnson
Johnson,Lyndon,2,1160642,0.579345822,0.238635996,0.256069564,0.420654178,0.518295642,0.57847229,0.054935456,0.156265165,0.082306124,0.025138309,0.102882656,0.451315182,0.226888171,0.13234691,0.283774479,0.962443325,Lyndon Johnson
Kennedy,John,2,559143,0.462672373,0.165557141,0.212339549,0.537327627,0.658107466,0.52853067,0.034950071,0.167855445,0.09320019,0.014265335,0.161198288,0.375272162,0.189191291,0.1130661,0.24645494,0.972134301,John Kennedy
Lincoln,Abraham ,2,32548,0.660714286,0.336309524,0.291709184,0.339285714,0.625,0.580357143,0.008928571,0.241071429,0.098214286,0,0.071428571,0.418181818,0.215948963,0.129327625,0.096802074,0.987480818,Abraham  Lincoln
Madison,James,2,24056,0.574468085,0.29787234,0.201448619,0.425531915,0.893617021,0.468085106,0.021276596,0.29787234,0.063829787,0,0.14893617,0.28042328,0.119047619,0.103149408,0.058530511,0.993962612,James Madison
McKinley,William,2,82726,0.673469388,0.350340136,0.282798834,0.326530612,0.673469388,0.566326531,0.005102041,0.265306122,0.076530612,0.015306122,0.071428571,0.455982752,0.230806085,0.148310058,0.065793891,0.990242104,William McKinley
Monroe,James,2,50596,0.544554455,0.306930693,0.173963337,0.455445545,0.831683168,0.445544554,0.02970297,0.297029703,0.099009901,0.00990099,0.118811881,0.465648855,0.20610687,0.174697824,0.055986696,0.990219246,James Monroe
Nixon,Richard,2,685782,0.501538462,0.202564103,0.209845032,0.498461538,0.55965812,0.536239316,0.054871795,0.15965812,0.101367521,0.027692308,0.12017094,0.4363272,0.210987632,0.132974569,0.262132007,0.965143109,Richard Nixon
Obama,Barack,2,5296220,0.449131204,0.183685361,0.167356121,0.550868796,0.626698575,0.490458849,0.059202997,0.174903756,0.106794298,0.030194569,0.138445531,0.413704984,0.194765964,0.130162545,0.255943885,0.966685693,Barack Obama
Pierce,Franklin,2,45797,0.510204082,0.238095238,0.204331529,0.489795918,0.693877551,0.510204082,0.020408163,0.224489796,0.102040816,0.020408163,0.12244898,0.285519126,0.119535519,0.106159858,0.062740077,0.993339522,Franklin Pierce
Polk,James,2,78118,0.487179487,0.148717949,0.297830375,0.512820513,0.564102564,0.605128205,0.005128205,0.133333333,0.092307692,0.015384615,0.148717949,0.25755287,0.087865055,0.110865865,0.068589518,0.992395764,James Polk
Reagan,Ronald,2,3718434,0.465941906,0.168427609,0.204927019,0.534058094,0.607915747,0.528520469,0.048717513,0.155732971,0.094411415,0.02439273,0.148224902,0.384918352,0.161913086,0.134221443,0.245654006,0.967027965,Ronald Reagan
Roosevelt,Franklin,2,1021925,0.496162173,0.206980253,0.203413375,0.503837827,0.630584531,0.522338122,0.043101752,0.182641212,0.100964377,0.018303484,0.132651053,0.33643292,0.151272588,0.108442885,0.195844897,0.978762014,Franklin Roosevelt
Roosevelt,Theodore,2,159228,0.639065817,0.30856334,0.281896493,0.360934183,0.55626327,0.585987261,0.025477707,0.208067941,0.095541401,0.014861996,0.070063694,0.332796781,0.175117371,0.109341732,0.08656497,0.990534836,Theodore Roosevelt
Taft,William,2,83409,0.742971888,0.305220884,0.438602603,0.257028112,0.457831325,0.706827309,0.008032129,0.156626506,0.052208835,0.004016064,0.072289157,0.421336654,0.224712882,0.129166415,0.093679458,0.98789976,William Taft
Taylor,Zachary,2,8795,0.764705882,0.222222222,0.628143022,0.235294118,0.274509804,0.823529412,0.019607843,0.039215686,0.019607843,0,0.098039216,0.513513514,0.274131274,0.153858768,0.164516129,0.974687751,Zachary Taylor
Truman,Harry,2,1079816,0.547628485,0.232351257,0.243883025,0.452371515,0.510767605,0.566521337,0.049412076,0.15788083,0.107940283,0.020742502,0.097502973,0.359042346,0.160765811,0.11880695,0.22787897,0.972926395,Harry Truman
