lastname,firstname,Ccode,Word Count,year,month,distrust,task,bace,igb,sc,cc,power,name
Adams,JohnQuincy,2,9211,1825,12,0.193333333,0.640186916,0.212765957,0.114285714,0.333333333,0.636585366,0.274509804,JohnQuincy Adams
Adams,JohnQuincy,2,8015,1826,12,0.07826087,0.678787879,0.152173913,0.13592233,0.444444444,0.677083333,0.266666667,JohnQuincy Adams
Adams,JohnQuincy,2,7228,1827,12,0.155555556,0.658064516,0.090909091,0.315789474,0.25,0.662379421,0.44,JohnQuincy Adams
Adams,JohnQuincy,2,7519,1828,12,0.152,0.657342657,0.166666667,0.070588235,0.142857143,0.643504532,0.3,JohnQuincy Adams
Arthur,Chester,2,13545,1881,12,0.205533597,0.712765957,0.166666667,0.138297872,0.302325581,0.663893511,0.238095238,Chester Arthur
Arthur,Chester,2,9919,1882,12,0.174129353,0.744939271,0.225806452,0.153846154,0.19,0.659448819,0.268817204,Chester Arthur
Arthur,Chester,2,7963,1883,12,0.185897436,0.713567839,0.166666667,0.05,0.264705882,0.649425287,0.263888889,Chester Arthur
Arthur,Chester,2,8718,1884,12,0.147928994,0.716049383,0.2,0.15,0.34375,0.660427807,0.281690141,Chester Arthur
Buchanan,James,2,13927,1857,12,0.219178082,0.714285714,0.195121951,0.139072848,0.3625,0.585365854,0.278688525,James Buchanan
Buchanan,James,2,16713,1858,12,0.188264059,0.743002545,0.204225352,0.1,0.303571429,0.615472127,0.236842105,James Buchanan
Buchanan,James,2,12734,1859,12,0.308917197,0.721003135,0.109090909,0.165048544,0.273684211,0.57489301,0.1875,James Buchanan
Buchanan,James,2,14280,1860,12,0.249382716,0.656666667,0.211382114,0.211864407,0.278846154,0.554794521,0.243902439,James Buchanan
Bush,GeorgeH.W.,2,16688,1989,1,0.151057402,0.493006993,0.34109589,0.122507123,0.446808511,0.590296496,0.257790368,GeorgeH.W. Bush
Bush,GeorgeH.W.,2,42062,1989,10,0.081612586,0.502538071,0.329345088,0.142322097,0.434782609,0.569237148,0.250159949,GeorgeH.W. Bush
Bush,GeorgeH.W.,2,58846,1989,11,0.103564223,0.494845361,0.321336761,0.158415842,0.349931787,0.558293839,0.24789916,GeorgeH.W. Bush
Bush,GeorgeH.W.,2,44238,1989,12,0.113157895,0.519818064,0.333333333,0.116062176,0.435335689,0.626461988,0.243812533,GeorgeH.W. Bush
Bush,GeorgeH.W.,2,47967,1989,2,0.092936803,0.553012048,0.347119645,0.141856392,0.416493416,0.580657069,0.262418465,GeorgeH.W. Bush
Bush,GeorgeH.W.,2,77188,1989,3,0.123310811,0.592095451,0.349385908,0.125,0.434640523,0.590846366,0.265897858,GeorgeH.W. Bush
Bush,GeorgeH.W.,2,58963,1989,4,0.120839363,0.512999071,0.383814482,0.151223776,0.362115127,0.554075484,0.282608696,GeorgeH.W. Bush
Bush,GeorgeH.W.,2,57587,1989,5,0.125590817,0.492587279,0.342985522,0.133905579,0.365273775,0.554212933,0.253164557,GeorgeH.W. Bush
Bush,GeorgeH.W.,2,69035,1989,6,0.158017493,0.518326865,0.349919094,0.142045455,0.374208405,0.556706652,0.254983389,GeorgeH.W. Bush
Bush,GeorgeH.W.,2,48466,1989,7,0.086726998,0.547127719,0.341630367,0.171974522,0.367857143,0.609996065,0.22935197,GeorgeH.W. Bush
Bush,GeorgeH.W.,2,25640,1989,8,0.131147541,0.58353222,0.331963001,0.118942731,0.380263158,0.606727829,0.245464248,GeorgeH.W. Bush
