lastname,firstname,Ccode,Word Count,year,month,i1,i2,i3,i4a,i4b,i5ap,i5pr,i5re,i5op,i5th,i5pu,p1,p2,p3,p4,p5,name
Adams,JohnQuincy,2,9211,1825,12,1,0.466666667,0.616,0,0.4,0.8,0,0.2,0,0,0,0.561752988,0.294820717,0.199060332,0.01953125,0.996112103,JohnQuincy Adams
Adams,JohnQuincy,2,8015,1826,12,0.666666667,0.388888889,0.316666667,0.333333333,0.5,0.583333333,0,0.25,0.166666667,0,0,0.580838323,0.299401198,0.185829539,0.067039106,0.987542154,JohnQuincy Adams
Adams,JohnQuincy,2,7228,1827,12,0.75,0.25,0.7375,0.25,0,0.875,0,0,0.125,0,0,0.536842105,0.303508772,0.142116343,0.04040404,0.994257926,JohnQuincy Adams
Adams,JohnQuincy,2,7519,1828,12,0.818181818,0.484848485,0.226446281,0.181818182,0.909090909,0.454545455,0.090909091,0.363636364,0,0,0.090909091,0.527093596,0.320197044,0.144633454,0.051401869,0.99256557,JohnQuincy Adams
Arthur,Chester,2,13545,1881,12,0.824561404,0.32748538,0.538319483,0.175438596,0.350877193,0.771929825,0.01754386,0.122807018,0.035087719,0,0.052631579,0.390625,0.147569444,0.162711589,0.129251701,0.97896925,Chester Arthur
Arthur,Chester,2,9919,1882,12,0.75,0.3125,0.442708333,0.25,0.458333333,0.708333333,0,0.166666667,0.041666667,0.020833333,0.0625,0.474103586,0.197875166,0.169270329,0.160535117,0.972826168,Chester Arthur
Arthur,Chester,2,7963,1883,12,0.793103448,0.356321839,0.472057075,0.206896552,0.413793103,0.724137931,0,0.172413793,0.068965517,0,0.034482759,0.444839858,0.18742586,0.156272084,0.093548387,0.985380999,Chester Arthur
Arthur,Chester,2,8718,1884,12,0.837837838,0.351351351,0.489846603,0.162162162,0.540540541,0.72972973,0,0.189189189,0,0,0.081081081,0.52851711,0.261089987,0.171628909,0.123333333,0.978832435,Chester Arthur
Buchanan,James,2,13927,1857,12,0.6,0.233333333,0.28672,0.4,0.56,0.6,0.04,0.16,0.06,0.02,0.12,0.315533981,0.104368932,0.128320294,0.108225108,0.986112522,James Buchanan
Buchanan,James,2,16713,1858,12,0.688888889,0.355555556,0.254518519,0.311111111,0.755555556,0.533333333,0.022222222,0.288888889,0.022222222,0.044444444,0.088888889,0.26705653,0.07797271,0.111940996,0.080645161,0.9909725,James Buchanan
Buchanan,James,2,12734,1859,12,0.674418605,0.23255814,0.424986479,0.325581395,0.511627907,0.697674419,0,0.139534884,0.023255814,0.023255814,0.11627907,0.111638955,-0.019794141,0.110052415,0.092672414,0.989801177,James Buchanan
Buchanan,James,2,14280,1860,12,0.45,0.158333333,0.2125,0.55,0.85,0.5,0,0.225,0.05,0.025,0.2,0.171764706,0.019607843,0.10736609,0.086021505,0.990764207,James Buchanan
Bush,GeorgeH.W.,2,16688,1989,1,0.773049645,0.375886525,0.35174287,0.226950355,0.425531915,0.645390071,0.056737589,0.184397163,0.070921986,0.014184397,0.028368794,0.527272727,0.268398268,0.180364986,0.268060837,0.951651211,GeorgeH.W. Bush
Bush,GeorgeH.W.,2,42062,1989,10,0.724489796,0.265306122,0.437265723,0.275510204,0.352040816,0.714285714,0.053571429,0.094387755,0.048469388,0.007653061,0.081632653,0.568627451,0.248988484,0.226271424,0.267942584,0.93937225,GeorgeH.W. Bush
Bush,GeorgeH.W.,2,58846,1989,11,0.6375,0.242361111,0.346020833,0.3625,0.508333333,0.645833333,0.029166667,0.14375,0.064583333,0.00625,0.110416667,0.529337539,0.229863302,0.204700534,0.232445521,0.952418278,GeorgeH.W. Bush
Bush,GeorgeH.W.,2,44238,1989,12,0.587677725,0.210110585,0.326281979,0.412322275,0.379146919,0.639810427,0.05450237,0.099526066,0.085308057,0.030805687,0.090047393,0.49796748,0.191056911,0.208995142,0.300142248,0.937271728,GeorgeH.W. Bush
Bush,GeorgeH.W.,2,47967,1989,2,0.628282828,0.273400673,0.300956229,0.371717172,0.404040404,0.616161616,0.058585859,0.139393939,0.103030303,0.02020202,0.062626263,0.547956631,0.268001112,0.184925442,0.292207792,0.945963345,GeorgeH.W. Bush
Bush,GeorgeH.W.,2,77188,1989,3,0.564383562,0.221461187,0.272397823,0.435616438,0.473972603,0.593150685,0.056164384,0.132876712,0.1,0.01369863,0.104109589,0.492440605,0.226601872,0.167118613,0.282726569,0.952751128,GeorgeH.W. Bush
Bush,GeorgeH.W.,2,58963,1989,4,0.673758865,0.294917258,0.345390071,0.326241135,0.407801418,0.647163121,0.042553191,0.147163121,0.093971631,0.012411348,0.056737589,0.550488599,0.262323561,0.181273775,0.268699381,0.951291849,GeorgeH.W. Bush
Bush,GeorgeH.W.,2,57587,1989,5,0.735349716,0.31821046,0.394307482,0.264650284,0.378071834,0.68241966,0.043478261,0.141776938,0.071833648,0.013232514,0.047258979,0.495256167,0.21315623,0.194351328,0.2507109,0.951274004,GeorgeH.W. Bush
Bush,GeorgeH.W.,2,69035,1989,6,0.6,0.2359375,0.3115,0.4,0.43125,0.625,0.0484375,0.1265625,0.0953125,0.015625,0.0890625,0.526633718,0.228262859,0.198781197,0.260056887,0.948305581,GeorgeH.W. Bush
Bush,GeorgeH.W.,2,48466,1989,7,0.541561713,0.183039463,0.307283214,0.458438287,0.473551637,0.619647355,0.037783375,0.113350126,0.095717884,0.010075567,0.123425693,0.564356436,0.280528053,0.18844231,0.246737104,0.95350429,GeorgeH.W. Bush
Bush,GeorgeH.W.,2,25640,1989,8,0.478632479,0.156695157,0.21240412,0.521367521,0.52991453,0.542735043,0.076923077,0.11965812,0.081196581,0.034188034,0.145299145,0.437062937,0.160839161,0.172245587,0.290322581,0.949993217,GeorgeH.W. Bush
Bush,GeorgeH.W.,2,61421,1989,9,0.633752244,0.275882705,0.291748241,0.366247756,0.502692998,0.60502693,0.041292639,0.170556553,0.07540395,0.026929982,0.080789946,0.577817531,0.271914132,0.208100333,0.249328559,0.948114644,GeorgeH.W. Bush
Bush,GeorgeH.W.,2,46381,1990,1,0.610766046,0.255348516,0.262116945,0.389233954,0.525879917,0.581780538,0.068322981,0.155279503,0.078674948,0.008281573,0.107660455,0.58476475,0.299477222,0.19763916,0.265093304,0.947607182,GeorgeH.W. Bush
