lastname,firstname,Ccode,Word Count,year,quarter,distrust,task,bace,igb,sc,cc,power,name
Adams,JohnQuincy,2,9211,1825,4,0.193333333,0.640186916,0.212765957,0.114285714,0.333333333,0.636585366,0.274509804,JohnQuincy Adams
Adams,JohnQuincy,2,8015,1826,4,0.07826087,0.678787879,0.152173913,0.13592233,0.444444444,0.677083333,0.266666667,JohnQuincy Adams
Adams,JohnQuincy,2,7228,1827,4,0.155555556,0.658064516,0.090909091,0.315789474,0.25,0.662379421,0.44,JohnQuincy Adams
Adams,JohnQuincy,2,7519,1828,4,0.152,0.657342657,0.166666667,0.070588235,0.142857143,0.643504532,0.3,JohnQuincy Adams
Arthur,Chester,2,13545,1881,4,0.205533597,0.712765957,0.166666667,0.138297872,0.302325581,0.663893511,0.238095238,Chester Arthur
Arthur,Chester,2,9919,1882,4,0.174129353,0.744939271,0.225806452,0.153846154,0.19,0.659448819,0.268817204,Chester Arthur
Arthur,Chester,2,7963,1883,4,0.185897436,0.713567839,0.166666667,0.05,0.264705882,0.649425287,0.263888889,Chester Arthur
Arthur,Chester,2,8718,1884,4,0.147928994,0.716049383,0.2,0.15,0.34375,0.660427807,0.281690141,Chester Arthur
Buchanan,James,2,13927,1857,4,0.219178082,0.714285714,0.195121951,0.139072848,0.3625,0.585365854,0.278688525,James Buchanan
Buchanan,James,2,16713,1858,4,0.188264059,0.743002545,0.204225352,0.1,0.303571429,0.615472127,0.236842105,James Buchanan
Buchanan,James,2,12734,1859,4,0.308917197,0.721003135,0.109090909,0.165048544,0.273684211,0.57489301,0.1875,James Buchanan
Buchanan,James,2,14280,1860,4,0.249382716,0.656666667,0.211382114,0.211864407,0.278846154,0.554794521,0.243902439,James Buchanan
Bush,GeorgeH.W.,2,141843,1989,1,0.115928369,0.567358567,0.347566183,0.130820399,0.429983128,0.587392901,0.263690269,GeorgeH.W. Bush
Bush,GeorgeH.W.,2,185585,1989,2,0.136304063,0.508379037,0.358682453,0.142319075,0.367612037,0.555094607,0.263288393,GeorgeH.W. Bush
Bush,GeorgeH.W.,2,135527,1989,3,0.104495386,0.555947685,0.33223413,0.137065637,0.38445985,0.606297129,0.243773744,GeorgeH.W. Bush
Bush,GeorgeH.W.,2,145146,1989,4,0.100439078,0.504940305,0.327952113,0.139048991,0.404464067,0.583904728,0.247111442,GeorgeH.W. Bush
Bush,GeorgeH.W.,2,163636,1990,1,0.104223944,0.545617174,0.324244771,0.149202733,0.405477622,0.599916736,0.269625652,GeorgeH.W. Bush
Bush,GeorgeH.W.,2,184551,1990,2,0.105953582,0.548314607,0.329547109,0.149292823,0.389526393,0.578662873,0.248994189,GeorgeH.W. Bush
Bush,GeorgeH.W.,2,153161,1990,3,0.104710821,0.521198417,0.336100963,0.146488294,0.430240395,0.571412705,0.252875507,GeorgeH.W. Bush
Bush,GeorgeH.W.,2,212423,1990,4,0.124040528,0.537039732,0.322645528,0.14793176,0.397691674,0.566007573,0.266885326,GeorgeH.W. Bush
Bush,GeorgeH.W.,2,116968,1991,1,0.124959003,0.495454545,0.341035516,0.151824818,0.458306189,0.558975834,0.239149496,GeorgeH.W. Bush
Bush,GeorgeH.W.,2,165980,1991,2,0.118095238,0.533587919,0.346697769,0.138584247,0.384851811,0.582265182,0.265123226,GeorgeH.W. Bush
Bush,GeorgeH.W.,2,188017,1991,3,0.106740378,0.528896937,0.320777161,0.130805687,0.449132492,0.600640637,0.25259749,GeorgeH.W. Bush
Bush,GeorgeH.W.,2,185404,1991,4,0.124425887,0.522034434,0.33589404,0.140946777,0.432229742,0.600518931,0.283272283,GeorgeH.W. Bush
Bush,GeorgeH.W.,2,242342,1992,1,0.112673581,0.555468135,0.376688537,0.15010675,0.393244873,0.566712623,0.303778784,GeorgeH.W. Bush
Bush,GeorgeH.W.,2,238817,1992,2,0.116697248,0.527822674,0.354281066,0.141093184,0.432974065,0.588082517,0.302564103,GeorgeH.W. Bush
Bush,GeorgeH.W.,2,296155,1992,3,0.153332386,0.537782139,0.38266524,0.159572845,0.375361272,0.588224778,0.297640044,GeorgeH.W. Bush
Bush,GeorgeH.W.,2,206129,1992,4,0.13050571,0.478348439,0.378078818,0.161072363,0.427623538,0.619156818,0.332219405,GeorgeH.W. Bush
Bush,GeorgeH.W.,2,12725,1993,1,0.084795322,0.463087248,0.334065934,0.234567901,0.375,0.531520396,0.258503401,GeorgeH.W. Bush
Bush,GeorgeW,2,191268,2001,1,0.100543478,0.542857143,0.361050856,0.12368932,0.337351779,0.549404762,0.257620452,GeorgeW Bush
Bush,GeorgeW,2,188891,2001,2,0.087998347,0.503586207,0.351689781,0.129835933,0.317112177,0.555996338,0.235075653,GeorgeW Bush
Bush,GeorgeW,2,16217,2001,3,0.178111588,0.536661466,0.326433121,0.099557522,0.370558376,0.602162162,0.219672131,GeorgeW Bush
Bush,GeorgeW,2,12697,2001,4,0.266839378,0.557142857,0.318181818,0.098701299,0.371212121,0.589358799,0.247464503,GeorgeW Bush
Bush,GeorgeW,2,271293,2002,1,0.257942387,0.475451725,0.371192945,0.181737137,0.301652893,0.562325516,0.294185567,GeorgeW Bush
Bush,GeorgeW,2,257180,2002,2,0.217881531,0.438371655,0.361668287,0.193133047,0.293464858,0.547825432,0.289224446,GeorgeW Bush
Bush,GeorgeW,2,305077,2002,3,0.241984105,0.433501684,0.363447096,0.196221088,0.292661994,0.574564631,0.310847356,GeorgeW Bush
Bush,GeorgeW,2,270652,2002,4,0.20372212,0.447576203,0.349054017,0.185681761,0.294639556,0.580844133,0.319243604,GeorgeW Bush
Bush,GeorgeW,2,20669,2003,1,0.187823834,0.520174482,0.389301634,0.153321976,0.395759717,0.552169898,0.298642534,GeorgeW Bush
Bush,GeorgeW,2,18504,2003,2,0.149134487,0.504522613,0.333333333,0.157996146,0.349056604,0.568478261,0.298076923,GeorgeW Bush
Bush,GeorgeW,2,23401,2003,3,0.1612529,0.550819672,0.323684211,0.162361624,0.418660287,0.537147737,0.28229028,GeorgeW Bush
Bush,GeorgeW,2,18778,2003,4,0.211267606,0.539387309,0.352040816,0.149253731,0.406091371,0.575661376,0.290657439,GeorgeW Bush
Bush,GeorgeW,2,217866,2004,1,0.24229584,0.499154385,0.373597827,0.149342891,0.286501377,0.571029568,0.291349982,GeorgeW Bush
Bush,GeorgeW,2,344265,2004,2,0.206907444,0.462661871,0.361097077,0.168421053,0.322463297,0.582581667,0.293152901,GeorgeW Bush
Bush,GeorgeW,2,535406,2004,3,0.267960062,0.480015391,0.417067406,0.152849107,0.32529668,0.578110754,0.320772786,GeorgeW Bush
Bush,GeorgeW,2,24543,2004,4,0.120529801,0.617250674,0.307167235,0.139534884,0.359605911,0.594573025,0.245614035,GeorgeW Bush
Bush,GeorgeW,2,286940,2005,1,0.136423262,0.486754967,0.335372165,0.139489194,0.33535382,0.5996656,0.248990579,GeorgeW Bush
Bush,GeorgeW,2,292973,2005,2,0.149813767,0.506621699,0.351493681,0.148550725,0.323074591,0.607302867,0.254602429,GeorgeW Bush
Bush,GeorgeW,2,162525,2005,3,0.222864019,0.475317989,0.367944251,0.176067973,0.305252387,0.592043564,0.283872107,GeorgeW Bush
Bush,GeorgeW,2,191810,2005,4,0.288624511,0.506134201,0.367521368,0.178102818,0.310894309,0.562993607,0.307923269,GeorgeW Bush
Bush,GeorgeW,2,341172,2006,1,0.225030675,0.514326433,0.356415167,0.147928994,0.331334932,0.618220983,0.277661472,GeorgeW Bush
Bush,GeorgeW,2,323041,2006,2,0.167210973,0.503910615,0.349205021,0.142054165,0.318074772,0.610794269,0.267940552,GeorgeW Bush
Bush,GeorgeW,2,217172,2006,3,0.271530712,0.5262232,0.354672173,0.155913978,0.312710329,0.590796689,0.267983259,GeorgeW Bush
Bush,GeorgeW,2,261906,2006,4,0.230532544,0.515896099,0.357394543,0.1513435,0.333584479,0.595919449,0.275433734,GeorgeW Bush
Bush,GeorgeW,2,168428,2007,1,0.159887495,0.512926725,0.34303566,0.139130435,0.323216602,0.601655934,0.247751938,GeorgeW Bush
Bush,GeorgeW,2,218246,2007,2,0.217555373,0.517650977,0.331790317,0.141406683,0.31619256,0.593842692,0.250572082,GeorgeW Bush
Bush,GeorgeW,2,157672,2007,3,0.232110092,0.547619048,0.350181818,0.153846154,0.348573281,0.629052632,0.264971439,GeorgeW Bush
Bush,GeorgeW,2,143294,2007,4,0.150362772,0.501379198,0.361016225,0.144441022,0.272270115,0.611164892,0.249513934,GeorgeW Bush
Bush,GeorgeW,2,43999,2008,1,0.158273381,0.546046046,0.380159787,0.19095941,0.327649208,0.591780822,0.280267559,GeorgeW Bush
Bush,GeorgeW,2,42879,2008,2,0.103859649,0.609171443,0.307250538,0.126058325,0.342002601,0.570171579,0.235077377,GeorgeW Bush
Bush,GeorgeW,2,17951,2008,3,0.127764128,0.641577061,0.312599681,0.137767221,0.371352785,0.624026696,0.289473684,GeorgeW Bush
Bush,GeorgeW,2,5821,2009,1,0.223076923,0.561085973,0.25,0.243243243,0.376237624,0.578651685,0.268656716,GeorgeW Bush
Carter,Jimmy,2,4741,1976,3,0.086956522,0.466292135,0.4,0.235,0.438596491,0.487603306,0.35,Jimmy Carter
Carter,Jimmy,2,144384,1977,1,0.054685275,0.608650875,0.322965703,0.129013255,0.486934204,0.64264102,0.2496045,Jimmy Carter
Carter,Jimmy,2,189075,1977,2,0.065550578,0.601254902,0.318254604,0.143321153,0.502054232,0.64944552,0.244320557,Jimmy Carter
Carter,Jimmy,2,114934,1977,3,0.072323666,0.57195122,0.321704461,0.151347361,0.455139847,0.626222806,0.231127198,Jimmy Carter
Carter,Jimmy,2,137632,1977,4,0.060442526,0.566842568,0.323606435,0.146213292,0.470099222,0.642139223,0.243200631,Jimmy Carter
Carter,Jimmy,2,179084,1978,1,0.066913637,0.598208771,0.327836311,0.14838416,0.44518655,0.626372549,0.261150512,Jimmy Carter
Carter,Jimmy,2,179519,1978,2,0.079263977,0.582324265,0.320294524,0.16744186,0.470518023,0.632322471,0.249446728,Jimmy Carter
Carter,Jimmy,2,119401,1978,3,0.069373942,0.56196191,0.332303255,0.179380785,0.440552995,0.62971968,0.267271157,Jimmy Carter
Carter,Jimmy,2,175641,1978,4,0.080547818,0.582175534,0.337426817,0.167411712,0.443743428,0.634308255,0.260328743,Jimmy Carter
Carter,Jimmy,2,142163,1979,1,0.060898402,0.594604651,0.335451837,0.158424141,0.425909228,0.617482951,0.272858023,Jimmy Carter
Carter,Jimmy,2,144403,1979,2,0.075975359,0.586446741,0.327589545,0.156385752,0.436718068,0.617514711,0.252688172,Jimmy Carter
Carter,Jimmy,2,125708,1979,3,0.065815324,0.554625867,0.341209625,0.167366359,0.440501792,0.598384226,0.280260499,Jimmy Carter
Carter,Jimmy,2,106597,1979,4,0.08,0.544293478,0.324379637,0.164765101,0.440606571,0.613337608,0.276494024,Jimmy Carter
Carter,Jimmy,2,155530,1980,1,0.078014184,0.608311518,0.329711502,0.154044973,0.422887017,0.6182359,0.275418028,Jimmy Carter
Carter,Jimmy,2,194778,1980,2,0.085555793,0.578733644,0.332232592,0.16045066,0.44064963,0.629058936,0.263810093,Jimmy Carter
Carter,Jimmy,2,273861,1980,3,0.066062375,0.576560789,0.338185015,0.155219406,0.440802037,0.611111111,0.26134264,Jimmy Carter
Carter,Jimmy,2,370701,1980,4,0.081750307,0.548867037,0.341289995,0.156571562,0.418080309,0.613268832,0.258632414,Jimmy Carter
Carter,Jimmy,2,45542,1981,1,0.072657744,0.620978405,0.340572557,0.179226069,0.329470199,0.584350721,0.333663366,Jimmy Carter
Cleveland,Grover,2,20192,1885,4,0.292307692,0.690789474,0.176470588,0.12195122,0.345238095,0.601832994,0.268656716,Grover Cleveland
Cleveland,Grover,2,15645,1886,4,0.217777778,0.706365503,0.174757282,0.120300752,0.372093023,0.594850949,0.321100917,Grover Cleveland
Cleveland,Grover,2,5437,1887,4,0.351351351,0.761904762,0.242424242,0.108108108,0.3,0.542944785,0.121212121,Grover Cleveland
Cleveland,Grover,2,13664,1888,4,0.277777778,0.685851319,0.208791209,0.098360656,0.26984127,0.574861368,0.244680851,Grover Cleveland
Cleveland,Grover,2,13155,1893,4,0.285087719,0.74015748,0.310810811,0.126213592,0.265306122,0.532258065,0.333333333,Grover Cleveland
