lastname,firstname,Ccode,Word Count,year,quarter,i1,i2,i3,i4a,i4b,i5ap,i5pr,i5re,i5op,i5th,i5pu,p1,p2,p3,p4,p5,name
Adams,JohnQuincy,2,9211,1825,4,1,0.466666667,0.616,0,0.4,0.8,0,0.2,0,0,0,0.561752988,0.294820717,0.199060332,0.01953125,0.996112103,JohnQuincy Adams
Adams,JohnQuincy,2,8015,1826,4,0.666666667,0.388888889,0.316666667,0.333333333,0.5,0.583333333,0,0.25,0.166666667,0,0,0.580838323,0.299401198,0.185829539,0.067039106,0.987542154,JohnQuincy Adams
Adams,JohnQuincy,2,7228,1827,4,0.75,0.25,0.7375,0.25,0,0.875,0,0,0.125,0,0,0.536842105,0.303508772,0.142116343,0.04040404,0.994257926,JohnQuincy Adams
Adams,JohnQuincy,2,7519,1828,4,0.818181818,0.484848485,0.226446281,0.181818182,0.909090909,0.454545455,0.090909091,0.363636364,0,0,0.090909091,0.527093596,0.320197044,0.144633454,0.051401869,0.99256557,JohnQuincy Adams
Arthur,Chester,2,13545,1881,4,0.824561404,0.32748538,0.538319483,0.175438596,0.350877193,0.771929825,0.01754386,0.122807018,0.035087719,0,0.052631579,0.390625,0.147569444,0.162711589,0.129251701,0.97896925,Chester Arthur
Arthur,Chester,2,9919,1882,4,0.75,0.3125,0.442708333,0.25,0.458333333,0.708333333,0,0.166666667,0.041666667,0.020833333,0.0625,0.474103586,0.197875166,0.169270329,0.160535117,0.972826168,Chester Arthur
Arthur,Chester,2,7963,1883,4,0.793103448,0.356321839,0.472057075,0.206896552,0.413793103,0.724137931,0,0.172413793,0.068965517,0,0.034482759,0.444839858,0.18742586,0.156272084,0.093548387,0.985380999,Chester Arthur
Arthur,Chester,2,8718,1884,4,0.837837838,0.351351351,0.489846603,0.162162162,0.540540541,0.72972973,0,0.189189189,0,0,0.081081081,0.52851711,0.261089987,0.171628909,0.123333333,0.978832435,Chester Arthur
Buchanan,James,2,13927,1857,4,0.6,0.233333333,0.28672,0.4,0.56,0.6,0.04,0.16,0.06,0.02,0.12,0.315533981,0.104368932,0.128320294,0.108225108,0.986112522,James Buchanan
Buchanan,James,2,16713,1858,4,0.688888889,0.355555556,0.254518519,0.311111111,0.755555556,0.533333333,0.022222222,0.288888889,0.022222222,0.044444444,0.088888889,0.26705653,0.07797271,0.111940996,0.080645161,0.9909725,James Buchanan
Buchanan,James,2,12734,1859,4,0.674418605,0.23255814,0.424986479,0.325581395,0.511627907,0.697674419,0,0.139534884,0.023255814,0.023255814,0.11627907,0.111638955,-0.019794141,0.110052415,0.092672414,0.989801177,James Buchanan
Buchanan,James,2,14280,1860,4,0.45,0.158333333,0.2125,0.55,0.85,0.5,0,0.225,0.05,0.025,0.2,0.171764706,0.019607843,0.10736609,0.086021505,0.990764207,James Buchanan
Bush,GeorgeH.W.,2,141843,1989,1,0.609077599,0.256222548,0.289368452,0.390922401,0.44363104,0.606881406,0.057101025,0.140556369,0.098096633,0.016105417,0.081259151,0.515715949,0.245731471,0.173871668,0.284464806,0.95053963,GeorgeH.W. Bush
