lastname,firstname,Ccode,Word Count,year,distrust,task,bace,igb,sc,cc,power,name
Adams,John,2,7417,1797,0.229007634,0.465,0.240963855,0.19047619,0.324324324,0.637860082,0.364705882,John Adams
Adams,JohnQuincy,2,12128,1825,0.182242991,0.574324324,0.207317073,0.100671141,0.170212766,0.620183486,0.258823529,JohnQuincy Adams
Adams,JohnQuincy,2,8015,1826,0.07826087,0.678787879,0.152173913,0.13592233,0.444444444,0.677083333,0.266666667,JohnQuincy Adams
Adams,JohnQuincy,2,7228,1827,0.155555556,0.658064516,0.090909091,0.315789474,0.25,0.662379421,0.44,JohnQuincy Adams
Adams,JohnQuincy,2,7519,1828,0.152,0.657342657,0.166666667,0.070588235,0.142857143,0.643504532,0.3,JohnQuincy Adams
Arthur,Chester,2,13545,1881,0.205533597,0.712765957,0.166666667,0.138297872,0.302325581,0.663893511,0.238095238,Chester Arthur
Arthur,Chester,2,9919,1882,0.174129353,0.744939271,0.225806452,0.153846154,0.19,0.659448819,0.268817204,Chester Arthur
Arthur,Chester,2,7963,1883,0.185897436,0.713567839,0.166666667,0.05,0.264705882,0.649425287,0.263888889,Chester Arthur
Arthur,Chester,2,8718,1884,0.147928994,0.716049383,0.2,0.15,0.34375,0.660427807,0.281690141,Chester Arthur
Buchanan,James,2,16763,1857,0.238505747,0.681818182,0.185897436,0.148514851,0.32038835,0.576368876,0.270967742,James Buchanan
Buchanan,James,2,16713,1858,0.188264059,0.743002545,0.204225352,0.1,0.303571429,0.615472127,0.236842105,James Buchanan
Buchanan,James,2,12734,1859,0.308917197,0.721003135,0.109090909,0.165048544,0.273684211,0.57489301,0.1875,James Buchanan
Buchanan,James,2,14280,1860,0.249382716,0.656666667,0.211382114,0.211864407,0.278846154,0.554794521,0.243902439,James Buchanan
Bush,GeorgeH.W.,2,608101,1989,0.11582227,0.532123103,0.342774465,0.1375,0.39627154,0.581341194,0.255349693,GeorgeH.W. Bush
Bush,GeorgeH.W.,2,713771,1990,0.11129669,0.53864092,0.32763707,0.148297829,0.40479798,0.57838312,0.260060325,GeorgeH.W. Bush
Bush,GeorgeH.W.,2,656369,1991,0.117962632,0.5220752,0.335284626,0.139419482,0.429475886,0.58851849,0.262145244,GeorgeH.W. Bush
Bush,GeorgeH.W.,2,983443,1992,0.129827375,0.527925072,0.373410209,0.152578735,0.403932183,0.589467713,0.307801102,GeorgeH.W. Bush
Bush,GeorgeH.W.,2,12725,1993,0.084795322,0.463087248,0.334065934,0.234567901,0.375,0.531520396,0.258503401,GeorgeH.W. Bush
Bush,GeorgeW,2,409073,2001,0.104609383,0.525416383,0.354350792,0.124588063,0.330757801,0.556029487,0.245987037,GeorgeW Bush
Bush,GeorgeW,2,1104202,2002,0.229847617,0.448491272,0.36172165,0.189406648,0.295711584,0.567030104,0.303393298,GeorgeW Bush
Bush,GeorgeW,2,81352,2003,0.175595238,0.52990608,0.348889725,0.156328795,0.394904459,0.556931294,0.29204893,GeorgeW Bush
Bush,GeorgeW,2,1122080,2004,0.238266758,0.481602468,0.39108942,0.156339099,0.318755775,0.578494866,0.306150819,GeorgeW Bush
Bush,GeorgeW,2,934248,2005,0.193393713,0.495016611,0.352120383,0.158437515,0.32294258,0.593899751,0.267833901,GeorgeW Bush
Bush,GeorgeW,2,1143291,2006,0.221414713,0.514178241,0.354308204,0.148697074,0.324940354,0.606123855,0.27266459,GeorgeW Bush
Bush,GeorgeW,2,687640,2007,0.192827933,0.520005538,0.344395489,0.144166415,0.316518576,0.607444072,0.252831118,GeorgeW Bush
Bush,GeorgeW,2,106940,2008,0.130669204,0.586270872,0.34000556,0.153522205,0.34409136,0.586686174,0.26344086,GeorgeW Bush
Bush,GeorgeW,2,5821,2009,0.223076923,0.561085973,0.25,0.243243243,0.376237624,0.578651685,0.268656716,GeorgeW Bush
Carter,Jimmy,2,4741,1976,0.086956522,0.466292135,0.4,0.235,0.438596491,0.487603306,0.35,Jimmy Carter
Carter,Jimmy,2,586025,1977,0.062872781,0.589143777,0.321345555,0.142096039,0.482028652,0.641538115,0.24309823,Jimmy Carter
Carter,Jimmy,2,653645,1978,0.074394792,0.583385024,0.329428285,0.164628239,0.450275074,0.630797822,0.259020619,Jimmy Carter
Carter,Jimmy,2,518871,1979,0.070391061,0.573070608,0.332389702,0.161648877,0.435362173,0.612030522,0.269840393,Jimmy Carter
Carter,Jimmy,2,994870,1980,0.077899619,0.573125707,0.336976571,0.156582487,0.429008094,0.616547966,0.26288778,Jimmy Carter
Carter,Jimmy,2,45542,1981,0.072657744,0.620978405,0.340572557,0.179226069,0.329470199,0.584350721,0.333663366,Jimmy Carter
Cleveland,Grover,2,21883,1885,0.298295455,0.671619614,0.181818182,0.12371134,0.319148936,0.585594013,0.296774194,Grover Cleveland
Cleveland,Grover,2,15645,1886,0.217777778,0.706365503,0.174757282,0.120300752,0.372093023,0.594850949,0.321100917,Grover Cleveland
Cleveland,Grover,2,5437,1887,0.351351351,0.761904762,0.242424242,0.108108108,0.3,0.542944785,0.121212121,Grover Cleveland
Cleveland,Grover,2,13664,1888,0.277777778,0.685851319,0.208791209,0.098360656,0.26984127,0.574861368,0.244680851,Grover Cleveland
Cleveland,Grover,2,15183,1893,0.3125,0.684782609,0.295454545,0.160714286,0.215189873,0.521079258,0.362962963,Grover Cleveland
Cleveland,Grover,2,16956,1894,0.205574913,0.751515152,0.145631068,0.075,0.259259259,0.617378049,0.245098039,Grover Cleveland
Cleveland,Grover,2,15128,1895,0.349137931,0.746411483,0.19047619,0.119341564,0.288135593,0.646983312,0.263513514,Grover Cleveland
Cleveland,Grover,2,16379,1896,0.260162602,0.698630137,0.255102041,0.082278481,0.458333333,0.606866002,0.252525253,Grover Cleveland
Clinton,William,2,665146,1993,0.107460437,0.621086519,0.371656345,0.100964473,0.50768,0.642957323,0.276494078,William Clinton
Clinton,William,2,608970,1994,0.101028934,0.582026947,0.361852038,0.115108827,0.509840241,0.614387903,0.273819742,William Clinton
Clinton,William,2,340337,1995,0.100614532,0.566074313,0.381657557,0.109132803,0.487073093,0.602999856,0.280862781,William Clinton
Clinton,William,2,662901,1996,0.116789805,0.532408524,0.401020719,0.11537006,0.443673469,0.582042564,0.274848506,William Clinton
Clinton,William,2,810777,1997,0.098347441,0.562462362,0.372622511,0.117123144,0.464160926,0.59291983,0.277975416,William Clinton
Clinton,William,2,1230128,1998,0.106061764,0.523582973,0.390225835,0.121550171,0.442275897,0.584848645,0.280495395,William Clinton
Clinton,William,2,1390170,1999,0.125647756,0.515989046,0.398059719,0.108545667,0.448492349,0.600163464,0.281684005,William Clinton
Clinton,William,2,1718306,2000,0.127105133,0.533845207,0.380263498,0.104770017,0.458749893,0.610578688,0.270857127,William Clinton
Clinton,William,2,87715,2001,0.113585746,0.499652536,0.373509262,0.100744133,0.391319091,0.60895906,0.238220584,William Clinton
Coolidge,Calvin,2,6772,1923,0.188235294,0.645756458,0.273584906,0.118644068,0.5,0.497368421,0.212962963,Calvin Coolidge
