lastname,firstname,Ccode,Word Count,year,i1,i2,i3,i4a,i4b,i5ap,i5pr,i5re,i5op,i5th,i5pu,p1,p2,p3,p4,p5,name
Adams,John,2,7417,1797,0.391304348,0.188405797,0.160680529,0.608695652,0.52173913,0.47826087,0.043478261,0.173913043,0.173913043,0.043478261,0.086956522,0.407725322,0.204577969,0.123579362,0.08984375,0.988897167,John Adams
Adams,JohnQuincy,2,12128,1825,0.75,0.291666667,0.325,0.25,0.5,0.625,0.125,0.125,0,0,0.125,0.56969697,0.308080808,0.190016529,0.023668639,0.995502567,JohnQuincy Adams
Adams,JohnQuincy,2,8015,1826,0.666666667,0.388888889,0.316666667,0.333333333,0.5,0.583333333,0,0.25,0.166666667,0,0,0.580838323,0.299401198,0.185829539,0.067039106,0.987542154,JohnQuincy Adams
Adams,JohnQuincy,2,7228,1827,0.75,0.25,0.7375,0.25,0,0.875,0,0,0.125,0,0,0.536842105,0.303508772,0.142116343,0.04040404,0.994257926,JohnQuincy Adams
Adams,JohnQuincy,2,7519,1828,0.818181818,0.484848485,0.226446281,0.181818182,0.909090909,0.454545455,0.090909091,0.363636364,0,0,0.090909091,0.527093596,0.320197044,0.144633454,0.051401869,0.99256557,JohnQuincy Adams
Arthur,Chester,2,13545,1881,0.824561404,0.32748538,0.538319483,0.175438596,0.350877193,0.771929825,0.01754386,0.122807018,0.035087719,0,0.052631579,0.390625,0.147569444,0.162711589,0.129251701,0.97896925,Chester Arthur
Arthur,Chester,2,9919,1882,0.75,0.3125,0.442708333,0.25,0.458333333,0.708333333,0,0.166666667,0.041666667,0.020833333,0.0625,0.474103586,0.197875166,0.169270329,0.160535117,0.972826168,Chester Arthur
Arthur,Chester,2,7963,1883,0.793103448,0.356321839,0.472057075,0.206896552,0.413793103,0.724137931,0,0.172413793,0.068965517,0,0.034482759,0.444839858,0.18742586,0.156272084,0.093548387,0.985380999,Chester Arthur
Arthur,Chester,2,8718,1884,0.837837838,0.351351351,0.489846603,0.162162162,0.540540541,0.72972973,0,0.189189189,0,0,0.081081081,0.52851711,0.261089987,0.171628909,0.123333333,0.978832435,Chester Arthur
Buchanan,James,2,16763,1857,0.650793651,0.26984127,0.312471655,0.349206349,0.53968254,0.619047619,0.031746032,0.174603175,0.047619048,0.031746032,0.095238095,0.335952849,0.132940406,0.128507301,0.11013986,0.985846224,James Buchanan
Buchanan,James,2,16713,1858,0.688888889,0.355555556,0.254518519,0.311111111,0.755555556,0.533333333,0.022222222,0.288888889,0.022222222,0.044444444,0.088888889,0.26705653,0.07797271,0.111940996,0.080645161,0.9909725,James Buchanan
Buchanan,James,2,12734,1859,0.674418605,0.23255814,0.424986479,0.325581395,0.511627907,0.697674419,0,0.139534884,0.023255814,0.023255814,0.11627907,0.111638955,-0.019794141,0.110052415,0.092672414,0.989801177,James Buchanan
Buchanan,James,2,14280,1860,0.45,0.158333333,0.2125,0.55,0.85,0.5,0,0.225,0.05,0.025,0.2,0.171764706,0.019607843,0.10736609,0.086021505,0.990764207,James Buchanan
Bush,GeorgeH.W.,2,608101,1989,0.627665293,0.25222481,0.320621759,0.372334707,0.438272711,0.631607239,0.048378427,0.133846981,0.084393478,0.016484501,0.085289375,0.529921158,0.239541597,0.192391164,0.26506768,0.94900332,GeorgeH.W. Bush
Bush,GeorgeH.W.,2,713771,1990,0.560360876,0.190510287,0.32059593,0.439639124,0.453100387,0.631533725,0.037806101,0.110840613,0.0872118,0.016898181,0.11570958,0.525423729,0.232982724,0.201013783,0.275659245,0.944588692,GeorgeH.W. Bush
Bush,GeorgeH.W.,2,656369,1991,0.570489174,0.215290029,0.292357598,0.429510826,0.46255012,0.610585405,0.045068164,0.129591018,0.087570168,0.025501203,0.101684042,0.521858249,0.233392893,0.194263695,0.270792617,0.947394826,GeorgeH.W. Bush
Bush,GeorgeH.W.,2,983443,1992,0.454769815,0.169973106,0.199707409,0.545230185,0.536877076,0.529852871,0.052017086,0.14551495,0.107641196,0.042050308,0.122923588,0.497787697,0.226203062,0.173470848,0.292038587,0.949339819,GeorgeH.W. Bush
Bush,GeorgeH.W.,2,12725,1993,0.756097561,0.306233062,0.5085465,0.243902439,0.243902439,0.756097561,0.024390244,0.097560976,0.089430894,0.008130081,0.024390244,0.558739255,0.251193887,0.227434914,0.26059322,0.940732003,GeorgeH.W. Bush
Bush,GeorgeW,2,409073,2001,0.691746096,0.29561279,0.333674388,0.308253904,0.455485703,0.639221253,0.052524843,0.154126952,0.062056378,0.018454675,0.073615899,0.597409806,0.303052729,0.195078097,0.31325837,0.938890153,GeorgeW Bush
Bush,GeorgeW,2,1104202,2002,0.646390374,0.244986631,0.359394285,0.353609626,0.422192513,0.660895722,0.038435829,0.123863636,0.06644385,0.023128342,0.08723262,0.462712314,0.20975982,0.156182875,0.3316779,0.948197592,GeorgeW Bush
Bush,GeorgeW,2,81352,2003,0.604519774,0.24519774,0.250017811,0.395480226,0.544632768,0.572881356,0.068926554,0.160451977,0.050847458,0.035028249,0.111864407,0.325955734,0.1253074,0.106837133,0.228859581,0.975549299,GeorgeW Bush
Bush,GeorgeW,2,1122080,2004,0.574576994,0.239561117,0.244636076,0.425423006,0.526517844,0.568747334,0.058154415,0.160386748,0.080762121,0.029077207,0.102872174,0.43330841,0.214156454,0.131135733,0.313784103,0.958851692,GeorgeW Bush
Bush,GeorgeW,2,934248,2005,0.642759961,0.252769679,0.33269811,0.357240039,0.462585034,0.639941691,0.042274052,0.139164237,0.065694849,0.02079689,0.09212828,0.511942467,0.248823142,0.15845076,0.277156786,0.956084296,GeorgeW Bush
Bush,GeorgeW,2,1143291,2006,0.575214218,0.216888818,0.283077906,0.424785782,0.486353539,0.6032212,0.047365916,0.137019994,0.072596001,0.033640114,0.106156776,0.410662397,0.188637846,0.133745696,0.272048349,0.963614704,GeorgeW Bush
Bush,GeorgeW,2,687640,2007,0.66378085,0.268294784,0.357750286,0.33621915,0.431321876,0.657578499,0.037343326,0.136968601,0.076624887,0.01279235,0.078692338,0.437935709,0.207284405,0.142916637,0.272547984,0.961048359,GeorgeW Bush
Bush,GeorgeW,2,106940,2008,0.679104478,0.275808458,0.34815034,0.320895522,0.404850746,0.652985075,0.058768657,0.127798507,0.069029851,0.016791045,0.074626866,0.512043072,0.259374705,0.153001745,0.232992828,0.964351691,GeorgeW Bush
Bush,GeorgeW,2,5821,2009,0.5,0.287878788,0.152066116,0.5,0.590909091,0.454545455,0.068181818,0.227272727,0.159090909,0.022727273,0.068181818,0.420454545,0.138257576,0.193052686,0.2,0.961389463,GeorgeW Bush
