lastname,firstname,Ccode,Word Count,year,distrust,task,bace,igb,sc,cc,power,name
Adams,John,2,7417,1797,0.229007634,0.465,0.240963855,0.19047619,0.324324324,0.637860082,0.364705882,John Adams
Adams,JohnQuincy,2,12128,1825,0.182242991,0.574324324,0.207317073,0.100671141,0.170212766,0.620183486,0.258823529,JohnQuincy Adams
Adams,JohnQuincy,2,8015,1826,0.07826087,0.678787879,0.152173913,0.13592233,0.444444444,0.677083333,0.266666667,JohnQuincy Adams
Adams,JohnQuincy,2,7228,1827,0.155555556,0.658064516,0.090909091,0.315789474,0.25,0.662379421,0.44,JohnQuincy Adams
Adams,JohnQuincy,2,7519,1828,0.152,0.657342657,0.166666667,0.070588235,0.142857143,0.643504532,0.3,JohnQuincy Adams
al-Assad,Bashar,652,10924,2000,0.202290076,0.646017699,0.369458128,0.257352941,0.217391304,0.581027668,0.344497608,Bashar al-Assad
al-Assad,Bashar,652,12657,2005,0.247678019,0.647166362,0.309973046,0.152424942,0.333333333,0.562582345,0.304812834,Bashar al-Assad
al-Assad,Bashar,652,13074,2006,0.282738095,0.596363636,0.37804878,0.17472119,0.4,0.593495935,0.258064516,Bashar al-Assad
al-Assad,Bashar,652,8119,2008,0.142180095,0.514412417,0.211678832,0.25,0.636363636,0.495901639,0.353741497,Bashar al-Assad
al-Assad,Bashar,652,12202,2009,0.191646192,0.510673235,0.25257732,0.193103448,0.5,0.566395664,0.338541667,Bashar al-Assad
al-Assad,Bashar,652,19850,2010,0.162516383,0.533009709,0.334476844,0.140151515,0.378238342,0.624521073,0.240574506,Bashar al-Assad
al-Assad,Bashar,652,29202,2011,0.273344652,0.6041841,0.378269618,0.098339719,0.37182448,0.638760407,0.235232068,Bashar al-Assad
al-Assad,Bashar,652,9694,2012,0.408376963,0.663573086,0.323651452,0.136752137,0.328767123,0.632798574,0.248979592,Bashar al-Assad
Andropov,Yurii,365,5248,1983,0.171270718,0.66509434,0.380434783,0.141843972,0.333333333,0.588859416,0.326086957,Yurii Andropov
Aquino,Corazon,840,4115,1988,0.1375,0.617647059,0.313559322,0.164383562,0.290322581,0.559782609,0.338983051,Corazon Aquino
Aquino,Corazon,840,6298,1990,0.2,0.673228346,0.334728033,0.186629526,0.212121212,0.574898785,0.348178138,Corazon Aquino
Aquino,Corazon,840,4062,1991,0.272727273,0.558139535,0.388888889,0.242424242,0.19047619,0.537777778,0.31496063,Corazon Aquino
Arroyo,Gloria,840,4994,2001,0.130434783,0.633333333,0.374100719,0.086614173,0.183333333,0.553333333,0.283687943,Gloria Arroyo
Arroyo,Gloria,840,4103,2002,0.424242424,0.58778626,0.4296875,0.206521739,0.219512195,0.51875,0.330708661,Gloria Arroyo
Arthur,Chester,2,13545,1881,0.205533597,0.712765957,0.166666667,0.138297872,0.302325581,0.663893511,0.238095238,Chester Arthur
Arthur,Chester,2,9919,1882,0.174129353,0.744939271,0.225806452,0.153846154,0.19,0.659448819,0.268817204,Chester Arthur
Arthur,Chester,2,7963,1883,0.185897436,0.713567839,0.166666667,0.05,0.264705882,0.649425287,0.263888889,Chester Arthur
Arthur,Chester,2,8718,1884,0.147928994,0.716049383,0.2,0.15,0.34375,0.660427807,0.281690141,Chester Arthur
Asquith,Herbert,200,76515,1908,0.16243264,0.674617462,0.363962349,0.086383602,0.397314769,0.602249677,0.215613383,Herbert Asquith
Asquith,Herbert,200,111556,1909,0.158671587,0.657785467,0.350113673,0.099116781,0.386990077,0.59539801,0.212630165,Herbert Asquith
Asquith,Herbert,200,93148,1910,0.145043247,0.671733772,0.368282601,0.085828343,0.405464007,0.596471885,0.211180124,Herbert Asquith
Asquith,Herbert,200,125057,1911,0.131691142,0.675303197,0.349742268,0.076923077,0.413275613,0.597969075,0.218191518,Herbert Asquith
Asquith,Herbert,200,135115,1912,0.114386792,0.683022571,0.365870787,0.078299776,0.420104439,0.597309881,0.21367936,Herbert Asquith
Asquith,Herbert,200,107552,1913,0.11349547,0.64317745,0.358418741,0.076687117,0.402755527,0.605151288,0.238253012,Herbert Asquith
Asquith,Herbert,200,105697,1914,0.176782557,0.639083969,0.373257468,0.098265896,0.410797394,0.587970698,0.211674528,Herbert Asquith
Asquith,Herbert,200,78441,1915,0.174955595,0.626439429,0.37205524,0.092693566,0.407289294,0.597371783,0.231926452,Herbert Asquith
Asquith,Herbert,200,119174,1916,0.17262232,0.663008565,0.364192604,0.117907801,0.391163793,0.598593257,0.234777839,Herbert Asquith
Attlee,Clement,200,42731,1945,0.122928177,0.657458564,0.327683616,0.130584192,0.447761194,0.557142857,0.244575937,Clement Attlee
Attlee,Clement,200,85303,1946,0.095205942,0.678435445,0.340749897,0.126044568,0.443367656,0.569874932,0.243046641,Clement Attlee
Attlee,Clement,200,91088,1947,0.081232493,0.684103261,0.321381723,0.116666667,0.424065421,0.567741935,0.237272727,Clement Attlee
Attlee,Clement,200,40589,1948,0.129746835,0.672389127,0.325971731,0.121908127,0.418549346,0.575163399,0.235779817,Clement Attlee
Attlee,Clement,200,39658,1949,0.120147874,0.716881151,0.326007326,0.105504587,0.448314607,0.563295615,0.202097235,Clement Attlee
Attlee,Clement,200,69930,1950,0.107224335,0.664684899,0.317598769,0.116487455,0.439915671,0.548038784,0.224165342,Clement Attlee
Attlee,Clement,200,29259,1951,0.115079365,0.745845552,0.319760479,0.087058824,0.494176373,0.579341317,0.23803681,Clement Attlee
Baldwin,Stanley,200,18406,1923,0.100323625,0.707055215,0.256214149,0.112745098,0.47260274,0.626794258,0.212723658,Stanley Baldwin
Baldwin,Stanley,200,7256,1924,0.130841121,0.675105485,0.342629482,0.099173554,0.336538462,0.606227106,0.197530864,Stanley Baldwin
Baldwin,Stanley,200,57895,1925,0.083792723,0.685602351,0.323335028,0.10619469,0.422386484,0.618853442,0.237994723,Stanley Baldwin
Baldwin,Stanley,200,75589,1926,0.104299363,0.702318624,0.331383201,0.083204931,0.422807018,0.607938218,0.229067245,Stanley Baldwin
Baldwin,Stanley,200,51344,1927,0.103349282,0.715770171,0.375,0.083783784,0.447916667,0.613284548,0.2284041,Stanley Baldwin
Baldwin,Stanley,200,54691,1928,0.101876676,0.650810811,0.3475,0.077568134,0.447813822,0.604322527,0.214983713,Stanley Baldwin
Baldwin,Stanley,200,7433,1929,0.040268456,0.809716599,0.255681818,0,0.446236559,0.653985507,0.261627907,Stanley Baldwin
Baldwin,Stanley,200,40356,1935,0.089030207,0.626538988,0.338983051,0.101010101,0.435497124,0.575468484,0.239941478,Stanley Baldwin
Baldwin,Stanley,200,80419,1936,0.134960517,0.681710214,0.322843823,0.088592233,0.41509434,0.602791014,0.221590909,Stanley Baldwin
Baldwin,Stanley,200,32659,1937,0.124579125,0.658677686,0.3380406,0.108433735,0.440305635,0.615,0.23853211,Stanley Baldwin
Bhutto,Zulfikar,770,5229,1970,0.065217391,0.478527607,0.505494505,0.178571429,0.153846154,0.671755725,0.296703297,Zulfikar Bhutto
Bhutto,Zulfikar,770,9377,1971,0.143518519,0.493197279,0.449567723,0.095652174,0.281105991,0.651991614,0.195783133,Zulfikar Bhutto
