lastname,firstname,Ccode,Word Count,year,i1,i2,i3,i4a,i4b,i5ap,i5pr,i5re,i5op,i5th,i5pu,p1,p2,p3,p4,p5,name
Adams,John,2,7417,1797,0.391304348,0.188405797,0.160680529,0.608695652,0.52173913,0.47826087,0.043478261,0.173913043,0.173913043,0.043478261,0.086956522,0.407725322,0.204577969,0.123579362,0.08984375,0.988897167,John Adams
Adams,JohnQuincy,2,12128,1825,0.75,0.291666667,0.325,0.25,0.5,0.625,0.125,0.125,0,0,0.125,0.56969697,0.308080808,0.190016529,0.023668639,0.995502567,JohnQuincy Adams
Adams,JohnQuincy,2,8015,1826,0.666666667,0.388888889,0.316666667,0.333333333,0.5,0.583333333,0,0.25,0.166666667,0,0,0.580838323,0.299401198,0.185829539,0.067039106,0.987542154,JohnQuincy Adams
Adams,JohnQuincy,2,7228,1827,0.75,0.25,0.7375,0.25,0,0.875,0,0,0.125,0,0,0.536842105,0.303508772,0.142116343,0.04040404,0.994257926,JohnQuincy Adams
Adams,JohnQuincy,2,7519,1828,0.818181818,0.484848485,0.226446281,0.181818182,0.909090909,0.454545455,0.090909091,0.363636364,0,0,0.090909091,0.527093596,0.320197044,0.144633454,0.051401869,0.99256557,JohnQuincy Adams
al-Assad,Bashar,652,10924,2000,0.259259259,0.041152263,0.166346594,0.740740741,0.691358025,0.469135802,0.024691358,0.135802469,0.148148148,0.012345679,0.209876543,0.416,0.232,0.1126912,0.244712991,0.972422999,Bashar al-Assad
al-Assad,Bashar,652,12657,2005,0.340909091,0.200757576,0.144008264,0.659090909,0.636363636,0.420454545,0.034090909,0.215909091,0.227272727,0,0.102272727,0.1898017,0.109537299,0.09201422,0.199546485,0.981638886,Bashar al-Assad
al-Assad,Bashar,652,13074,2006,0.37704918,0.229508197,0.124106423,0.62295082,0.590163934,0.409836066,0.06557377,0.213114754,0.213114754,0.016393443,0.081967213,-0.034300792,-0.122251539,0.08861119,0.138636364,0.987715267,Bashar al-Assad
al-Assad,Bashar,652,8119,2008,0.65,0.383333333,0.184,0.35,0.65,0.475,0.075,0.275,0.1,0.025,0.05,0.283018868,0.144654088,0.099305803,0.158730159,0.984237174,Bashar al-Assad
al-Assad,Bashar,652,12202,2009,0.434782609,0.202898551,0.177693762,0.565217391,0.52173913,0.5,0.043478261,0.173913043,0.152173913,0.043478261,0.086956522,0.243816254,0.078916372,0.124434067,0.139817629,0.982601924,Bashar al-Assad
al-Assad,Bashar,652,19850,2010,0.520661157,0.181818182,0.355617786,0.479338843,0.363636364,0.652892562,0.008264463,0.099173554,0.140495868,0.016528926,0.082644628,0.289473684,0.107142857,0.129077393,0.185298622,0.976082137,Bashar al-Assad
al-Assad,Bashar,652,29202,2011,0.333333333,0.144781145,0.156045301,0.666666667,0.666666667,0.454545455,0.025252525,0.186868687,0.181818182,0.005050505,0.146464646,0.241982507,0.097667638,0.107575925,0.2239819,0.97590494,Bashar al-Assad
al-Assad,Bashar,652,9694,2012,0.411764706,0.169934641,0.137254902,0.588235294,0.62745098,0.450980392,0.098039216,0.156862745,0.137254902,0,0.156862745,0.176470588,0.103199174,0.077510568,0.136363636,0.989430377,Bashar al-Assad
Andropov,Yurii,365,5248,1983,0.081081081,0.009009009,0.097151205,0.918918919,0.378378378,0.378378378,0.081081081,0.081081081,0.27027027,0.081081081,0.108108108,0.261538462,0.115384615,0.129325444,0.221556886,0.971347057,Yurii Andropov
Aquino,Corazon,840,4115,1988,0.384615385,0.239316239,0.165285996,0.615384615,0.666666667,0.435897436,0,0.256410256,0.205128205,0.025641026,0.076923077,0.302325581,0.124031008,0.129042726,0.312,0.95973867,Corazon Aquino
Aquino,Corazon,840,6298,1990,0.523809524,0.273809524,0.136054422,0.476190476,0.833333333,0.416666667,0.083333333,0.261904762,0.083333333,0,0.154761905,0.470588235,0.286764706,0.1691609,0.381818182,0.935411293,Corazon Aquino
Aquino,Corazon,840,4062,1991,0.071428571,-0.035714286,0.103061224,0.928571429,1,0.321428571,0,0.214285714,0.142857143,0.035714286,0.285714286,0.032786885,-0.005464481,0.077183553,0.186666667,0.985592403,Corazon Aquino
Arroyo,Gloria,840,4994,2001,0.545454545,0.272727273,0.095041322,0.454545455,0.545454545,0.386363636,0.204545455,0.181818182,0.022727273,0.113636364,0.090909091,0.294117647,0.133986928,0.089504037,0.301369863,0.973026181,Gloria Arroyo
Arroyo,Gloria,840,4103,2002,0.435897436,0.213675214,0.149506903,0.564102564,0.820512821,0.435897436,0.025641026,0.256410256,0.102564103,0.025641026,0.153846154,0.037974684,-0.097046414,0.146675212,0.330508475,0.951522599,Gloria Arroyo
Arthur,Chester,2,13545,1881,0.824561404,0.32748538,0.538319483,0.175438596,0.350877193,0.771929825,0.01754386,0.122807018,0.035087719,0,0.052631579,0.390625,0.147569444,0.162711589,0.129251701,0.97896925,Chester Arthur
Arthur,Chester,2,9919,1882,0.75,0.3125,0.442708333,0.25,0.458333333,0.708333333,0,0.166666667,0.041666667,0.020833333,0.0625,0.474103586,0.197875166,0.169270329,0.160535117,0.972826168,Chester Arthur
Arthur,Chester,2,7963,1883,0.793103448,0.356321839,0.472057075,0.206896552,0.413793103,0.724137931,0,0.172413793,0.068965517,0,0.034482759,0.444839858,0.18742586,0.156272084,0.093548387,0.985380999,Chester Arthur
Arthur,Chester,2,8718,1884,0.837837838,0.351351351,0.489846603,0.162162162,0.540540541,0.72972973,0,0.189189189,0,0,0.081081081,0.52851711,0.261089987,0.171628909,0.123333333,0.978832435,Chester Arthur
Asquith,Herbert,200,76515,1908,0.651162791,0.3,0.294485668,0.348837209,0.548837209,0.6,0.027906977,0.197674419,0.076744186,0.020930233,0.076744186,0.48818366,0.263110511,0.157836033,0.225013082,0.964484828,Herbert Asquith
Asquith,Herbert,200,111556,1909,0.597402597,0.229978355,0.332083825,0.402597403,0.409090909,0.641233766,0.032467532,0.125,0.090909091,0.030844156,0.079545455,0.386679444,0.192940425,0.126912511,0.227894932,0.971077282,Herbert Asquith
Asquith,Herbert,200,93148,1910,0.6015625,0.253255208,0.282510376,0.3984375,0.4765625,0.599609375,0.052734375,0.1484375,0.09765625,0.01171875,0.08984375,0.4164859,0.189081706,0.150004,0.217317487,0.967401508,Herbert Asquith
Asquith,Herbert,200,125057,1911,0.615384615,0.294070513,0.242424418,0.384615385,0.545673077,0.558894231,0.055288462,0.193509615,0.096153846,0.016826923,0.079326923,0.396258503,0.179138322,0.150135794,0.261306533,0.960768536,Herbert Asquith
